source,target,relation
ref_mario_benedetti_entrevistado,categoria_personales_y_biograficas,belongs_to
ref_nacimiento_14_de_septiembre_de_1920,categoria_personales_y_biograficas,belongs_to
ref_lugar_de_nacimiento_paso_de_los_toros_uruguay,categoria_personales_y_biograficas,belongs_to
ref_departamento_de_tacuarembo,categoria_personales_y_biograficas,belongs_to
ref_rio_negro_uruguay,categoria_personales_y_biograficas,belongs_to
ref_nombre_anterior_del_pueblo_santa_isabel,categoria_personales_y_biograficas,belongs_to
ref_traslado_a_montevideo_1924,categoria_personales_y_biograficas,belongs_to
ref_padre_breno_benedetti_quimico_farmaceutico,categoria_personales_y_biograficas,belongs_to
ref_madre_matilde_farrugia_madrilena,categoria_personales_y_biograficas,belongs_to
ref_abuelos_paternos_italianos,categoria_personales_y_biograficas,belongs_to
ref_abuela_materna_francesa,categoria_personales_y_biograficas,belongs_to
ref_bisabuela_uruguaya_hija_de_medico_uruguayo,categoria_personales_y_biograficas,belongs_to
ref_quiebra_de_la_farmacia_paterna_miseria,categoria_personales_y_biograficas,belongs_to
ref_vivienda_precaria_chabola_de_lata,categoria_personales_y_biograficas,belongs_to
ref_colegio_aleman_discriminacion_a_b,categoria_personales_y_biograficas,belongs_to
ref_saludo_nazi_obligatorio,categoria_personales_y_biograficas,belongs_to
ref_salida_del_colegio_por_el_nazismo,categoria_personales_y_biograficas,belongs_to
ref_secundaria_en_liceo_del_estado,categoria_personales_y_biograficas,belongs_to
ref_trabajo_desde_los_14_anos_taquigrafo_cajero_vendedor,categoria_personales_y_biograficas,belongs_to
ref_empleado_publico_contaduria_general_de_la_nacion,categoria_personales_y_biograficas,belongs_to
ref_empresa_inmobiliaria_de_pinche_a_gerente,categoria_personales_y_biograficas,belongs_to
ref_matrimonio_con_luz_lopez_alegre_1946,categoria_personales_y_biograficas,belongs_to
ref_hermano_ocho_anos_menor_idoneo_en_quimica,categoria_personales_y_biograficas,belongs_to
ref_generacion_del_45_colegas,categoria_personales_y_biograficas,belongs_to
ref_viaje_a_europa_museos_rembrandt,categoria_personales_y_biograficas,belongs_to
ref_poema_despues_del_amor_viene_la_soledad,categoria_culturales_y_artisticas,belongs_to
ref_poemas_de_la_oficina_1956,categoria_culturales_y_artisticas,belongs_to
ref_la_tregua_novela,categoria_culturales_y_artisticas,belongs_to
ref_montevideo_cuentos,categoria_culturales_y_artisticas,belongs_to
ref_quien_de_nosotros_novela,categoria_culturales_y_artisticas,belongs_to
ref_gracias_por_el_fuego_novela,categoria_culturales_y_artisticas,belongs_to
ref_el_pais_de_la_cola_de_paja_ensayo,categoria_culturales_y_artisticas,belongs_to
ref_marcel_proust_y_otros_ensayos_ensayo,categoria_culturales_y_artisticas,belongs_to
ref_el_ultimo_viaje_y_otros_cuentos,categoria_culturales_y_artisticas,belongs_to
ref_esta_manana_cuentos,categoria_culturales_y_artisticas,belongs_to
ref_solo_mientras_tanto_poesia,categoria_culturales_y_artisticas,belongs_to
ref_ustedes_por_ejemplo_teatro,categoria_culturales_y_artisticas,belongs_to
ref_el_reportaje_teatro,categoria_culturales_y_artisticas,belongs_to
ref_ida_y_vuelta_teatro,categoria_culturales_y_artisticas,belongs_to
ref_arraigo_y_evasion_en_la_literatura_hispanoamericana_ensayo,categoria_culturales_y_artisticas,belongs_to
ref_variaciones_criticas_estudios_sobre_su_obra,categoria_culturales_y_artisticas,belongs_to
ref_mario_benedetti_hasta_aqui_antologia,categoria_culturales_y_artisticas,belongs_to
ref_letras_del_continente_mestizo_ensayo,categoria_culturales_y_artisticas,belongs_to
ref_los_poetas_comunicantes_entrevistas,categoria_culturales_y_artisticas,belongs_to
ref_terremoto_y_despues_textos,categoria_culturales_y_artisticas,belongs_to
ref_cronicas_del_71,categoria_culturales_y_artisticas,belongs_to
ref_letras_de_emergencia,categoria_culturales_y_artisticas,belongs_to
ref_poema_cumpleanos_en_manhattan,categoria_culturales_y_artisticas,belongs_to
ref_marginalia_revista,categoria_culturales_y_artisticas,belongs_to
ref_numero_revista,categoria_culturales_y_artisticas,belongs_to
ref_cir_revista,categoria_culturales_y_artisticas,belongs_to
ref_sur_revista_argentina,categoria_culturales_y_artisticas,belongs_to
ref_casa_de_las_americas_editorial_institucion,categoria_culturales_y_artisticas,belongs_to
ref_peloduro_revista,categoria_culturales_y_artisticas,belongs_to
ref_la_manana_periodico,categoria_culturales_y_artisticas,belongs_to
ref_el_dia_periodico,categoria_culturales_y_artisticas,belongs_to
ref_tribuna_popular_periodico,categoria_culturales_y_artisticas,belongs_to
ref_marcha_semanario,categoria_culturales_y_artisticas,belongs_to
ref_carlos_quijano_director_de_marcha,categoria_culturales_y_artisticas,belongs_to
ref_cancion_te_quiero,categoria_culturales_y_artisticas,belongs_to
ref_nacha_guevara_canta_a_benedetti_lp,categoria_culturales_y_artisticas,belongs_to
ref_nacha_guevara_interprete,categoria_culturales_y_artisticas,belongs_to
ref_rembrandt_museos_europeos,categoria_culturales_y_artisticas,belongs_to
ref_julio_verne,categoria_culturales_y_artisticas,belongs_to
ref_emilio_salgari,categoria_culturales_y_artisticas,belongs_to
