id,label,type,group,note
categoria_pensamiento_y_conocimiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
categoria_contexto_sociohistorico,Contexto socio-histórico,category,Contexto socio-histórico,
categoria_personales_y_biograficas,Personales y biográficas,category,Personales y biográficas,
categoria_culturales_y_artisticas,Culturales y artísticas,category,Culturales y artísticas,
ref_mario_benedetti_entrevistado,Mario Benedetti (entrevistado),reference,Personales y biográficas,"…de la tuya, otra vez estás vos, aunque sea preguntándote a solas, ¿qué vendrá después de la soledad? Este es Mario Benedetti, el gran escritor uruguayo, el hombre que ha sorprendido a sus lectores y a sus críticos y estudiosos, que so…"
ref_nacimiento_14_de_septiembre_de_1920,Nacimiento: 14 de septiembre de 1920,reference,Personales y biográficas,"…critores más leídos en toda América y que, sin embargo, aquí es sólo parcialmente conocido. Nace Benedetti el 14 de septiembre de 1920 en Paso de los Toros, departamento de Tacuarembó, Uruguay. ¿Cómo era ese lugar de tu nacimiento, Paso de los…"
ref_lugar_de_nacimiento_paso_de_los_toros_uruguay,Lugar de nacimiento: Paso de los Toros (Uruguay),reference,Personales y biográficas,"…América y que, sin embargo, aquí es sólo parcialmente conocido. Nace Benedetti el 14 de septiembre de 1920 en Paso de los Toros, departamento de Tacuarembó, Uruguay. ¿Cómo era ese lugar de tu nacimiento, Paso de los Toros? Bueno, es un p…"
ref_departamento_de_tacuarembo,Departamento de Tacuarembó,reference,Personales y biográficas,"…sólo parcialmente conocido. Nace Benedetti el 14 de septiembre de 1920 en Paso de los Toros, departamento de Tacuarembó, Uruguay. ¿Cómo era ese lugar de tu nacimiento, Paso de los Toros? Bueno, es un pueblo en el centro mismo de…"
ref_rio_negro_uruguay,Río Negro (Uruguay),reference,Personales y biográficas,"…tu nacimiento, Paso de los Toros? Bueno, es un pueblo en el centro mismo de la República, sobre la costa del Río Negro, que es un río que atraviesa el país, lo divide en dos mitades. Pero realmente yo de ese pueblo tengo muy poc…"
ref_nombre_anterior_del_pueblo_santa_isabel,Nombre anterior del pueblo: Santa Isabel,reference,Personales y biográficas,"…Claro, porque eso viene de un simplemente paso donde pasaba el ganado, ¿no? Incluso, originalmente se llamaba Santa Isabel, y después se le puso Paso de los Toros. En ese pueblecito, tu padre creo que tenía una farmacia. No, en ese…"
