id,label,type,group,note
categoria_pensamiento_y_conocimiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
categoria_contexto_sociohistorico,Contexto socio-histórico,category,Contexto socio-histórico,
categoria_personales_y_biograficas,Personales y biográficas,category,Personales y biográficas,
categoria_culturales_y_artisticas,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento_24_de_agosto_de_1899,Nacimiento: 24 de agosto de 1899,reference,Personales y biográficas,"…nas fechas aquí. Con su ayuda las vamos a recordar juntos. Vamos a retrotraernos a Buenos Aires, al 24 de agosto de 1899, día en el que llega a este mundo Jorge Luis Borges Acevedo. Según me han dicho, es bueno. Todo eso…"
ref_buenos_aires_ciudad_natal_y_vida,Buenos Aires (ciudad natal y vida),reference,Personales y biográficas,"…el mundo, había sentido grandes deseos de verle, le escribí, aceptó mi visita, un avión me puso en Buenos Aires y allí aparecí en la casa del gran maestro de la numismática literaria. El maestro Borges ya estaba…"
ref_ceguera_progresiva,Ceguera progresiva,reference,Personales y biográficas,"…en la casa del gran maestro de la numismática literaria. El maestro Borges ya estaba prácticamente ciego, había que llevarlo del brazo o él se colgaba del brazo de uno. Así subimos a su casa, me enseñó en…"
ref_biblioteca_paterna_formacion,Biblioteca paterna (formación),reference,Personales y biográficas,"…r el gato, que era un gatazo blanco inmenso, el sueño y el amor de su madre. Y después me enseñó su biblioteca. Libro por libro, el gran maestro, que yo creo que no veía prácticamente nada, pero sin embargo ten…"
ref_institutriz_inglesa_miss_tink,Institutriz inglesa (Miss Tink),reference,Personales y biográficas,"…tardó mucho en salir de casa. Por eso leyó tanto. Es cierto. Y por eso tuvo usted esa institutriz. Miss Tink, creo que se llamaba, ¿no? Miss Tink, sí. Sí. Qué raro. Y un primo de ella fue famoso como malevo,…"
ref_abuela_inglesa_biblia_de_los_obispos,Abuela inglesa (Biblia de los obispos),reference,Personales y biográficas,"…ego de reos del Paraguay, en fin, una familia de soldados, la mía. En esa estirpe... Por el lado de mi abuela inglesa, es una familia de pastores protestantes. Esto lo cual me parece bien también, porque quiere decir…"
ref_viaje_a_europa_1914,Viaje a Europa (1914),reference,Personales y biográficas,"…Luego viene la traducción del Príncipe Feliz, 10 años, apareció en el 1909 en el país. Y en el año 1914 se produce uno de los primeros viajes que yo creo que habían de ser trascendentales en su vida a Europa. Viajes en Suiza, Europa, sí. El…"
