source,target,relation
ref_nacimiento_22_de_abril_de_1929,categoria_personales_y_biograficas,belongs_to
ref_gibara_pueblo_natal,categoria_personales_y_biograficas,belongs_to
ref_traslado_a_la_habana_1941,categoria_personales_y_biograficas,belongs_to
ref_padre_tipografo_y_periodista_local,categoria_personales_y_biograficas,belongs_to
ref_madre_fundadora_del_partido_comunista_local,categoria_personales_y_biograficas,belongs_to
ref_arresto_de_la_madre_1936_y_detencion_de_ambos_padres,categoria_personales_y_biograficas,belongs_to
ref_guardia_rural_policia_rural_de_cuba,categoria_personales_y_biograficas,belongs_to
ref_santiago_de_cuba_capital_provincial,categoria_personales_y_biograficas,belongs_to
ref_colegio_de_cuaqueros_los_amigos,categoria_personales_y_biograficas,belongs_to
ref_escuela_publica_abandona_colegio_privado,categoria_personales_y_biograficas,belongs_to
ref_solares_falansterios_en_la_habana,categoria_personales_y_biograficas,belongs_to
ref_adolescencia_dificil,categoria_personales_y_biograficas,belongs_to
ref_nervous_breakdown_1972,categoria_personales_y_biograficas,belongs_to
ref_esquizofrenia_temprana_diagnostico_erroneo,categoria_personales_y_biograficas,belongs_to
ref_surmenage_exceso_de_trabajo,categoria_personales_y_biograficas,belongs_to
ref_miriam_gomez_actriz_esposa,categoria_personales_y_biograficas,belongs_to
ref_hijas_1954_1958,categoria_personales_y_biograficas,belongs_to
ref_zaba_cabrera_hermano_director_de_pm,categoria_personales_y_biograficas,belongs_to
ref_antonio_ortega_mentor_refugiado_espanol,categoria_personales_y_biograficas,belongs_to
ref_miguel_angel_quevedo_director_de_bohemia,categoria_personales_y_biograficas,belongs_to
ref_nicolas_guillen_uneac,categoria_personales_y_biograficas,belongs_to
ref_fidel_castro,categoria_personales_y_biograficas,belongs_to
ref_raul_castro,categoria_personales_y_biograficas,belongs_to
ref_camilo_cienfuegos,categoria_personales_y_biograficas,belongs_to
ref_che_guevara,categoria_personales_y_biograficas,belongs_to
ref_tres_tristes_tigres_novela,categoria_culturales_y_artisticas,belongs_to
ref_vista_del_amanecer_en_el_tropico_titulo_relatos,categoria_culturales_y_artisticas,belongs_to
ref_asi_en_la_paz_como_en_la_guerra_relatos,categoria_culturales_y_artisticas,belongs_to
ref_exorcismos_de_estilo_de_estio_libro_experimental,categoria_culturales_y_artisticas,belongs_to
ref_cuerpos_divinos_novela_en_preparacion,categoria_culturales_y_artisticas,belongs_to
ref_la_estrella_personaje,categoria_culturales_y_artisticas,belongs_to
ref_g_cain_seudonimo,categoria_culturales_y_artisticas,belongs_to
ref_miguel_angel_asturias_el_senor_presidente,categoria_culturales_y_artisticas,belongs_to
ref_jose_lezama_lima,categoria_culturales_y_artisticas,belongs_to
ref_virgilio_pinera,categoria_culturales_y_artisticas,belongs_to
ref_lydia_cabrera,categoria_culturales_y_artisticas,belongs_to
ref_jose_marti,categoria_culturales_y_artisticas,belongs_to
ref_alejo_carpentier,categoria_culturales_y_artisticas,belongs_to
ref_nicolas_guillen_poeta,categoria_culturales_y_artisticas,belongs_to
ref_paradiso_implicito_por_lezama,categoria_culturales_y_artisticas,belongs_to
ref_homero_odisea_ulises_itaca_argos,categoria_culturales_y_artisticas,belongs_to
ref_william_shakespeare,categoria_culturales_y_artisticas,belongs_to
ref_benitin_y_eneas_mutt_and_jeff,categoria_culturales_y_artisticas,belongs_to
ref_tarzan_tira_comica,categoria_culturales_y_artisticas,belongs_to
ref_principe_valiente,categoria_culturales_y_artisticas,belongs_to
ref_the_spirit_will_eisner,categoria_culturales_y_artisticas,belongs_to
ref_dick_tracy,categoria_culturales_y_artisticas,belongs_to
ref_corin_tellado,categoria_culturales_y_artisticas,belongs_to
ref_los_cuatro_jinetes_del_apocalipsis_pelicula,categoria_culturales_y_artisticas,belongs_to
ref_carlos_gardel_peliculas_argentinas,categoria_culturales_y_artisticas,belongs_to
ref_revista_carteles,categoria_culturales_y_artisticas,belongs_to
ref_revista_bohemia,categoria_culturales_y_artisticas,belongs_to
ref_lunes_de_revolucion_revista_tv,categoria_culturales_y_artisticas,belongs_to
ref_pm_documental,categoria_culturales_y_artisticas,belongs_to
ref_instituto_del_cine_icaic,categoria_culturales_y_artisticas,belongs_to
ref_biblioteca_nacional_conversaciones,categoria_culturales_y_artisticas,belongs_to
ref_consejo_nacional_de_cultura_cargo,categoria_culturales_y_artisticas,belongs_to
ref_cinemateca_de_cuba_1950_1955_56,categoria_culturales_y_artisticas,belongs_to
ref_cinematheque_francaise,categoria_culturales_y_artisticas,belongs_to
ref_museum_of_modern_art_moma,categoria_culturales_y_artisticas,belongs_to
ref_joseph_losey_under_the_volcano,categoria_culturales_y_artisticas,belongs_to
ref_wonderwall_musica_de_george_harrison,categoria_culturales_y_artisticas,belongs_to
ref_george_harrison_beatle,categoria_culturales_y_artisticas,belongs_to
ref_vanishing_point_punto_de_fuga,categoria_culturales_y_artisticas,belongs_to
ref_swinging_london_ensayo,categoria_culturales_y_artisticas,belongs_to
ref_beatles_fenomeno_pop,categoria_culturales_y_artisticas,belongs_to
ref_album_de_fotografias_paratexto,categoria_culturales_y_artisticas,belongs_to
ref_sones_musica_cubana,categoria_culturales_y_artisticas,belongs_to
ref_beatles_musica,categoria_culturales_y_artisticas,belongs_to
ref_offenbach_nombre_del_gato,categoria_culturales_y_artisticas,belongs_to
ref_cuaqueros_sociedad_de_los_amigos,categoria_pensamiento_y_conocimiento,belongs_to
ref_valores_etica_cuaquera_implicito,categoria_pensamiento_y_conocimiento,belongs_to
ref_escuela_de_periodismo_estudios,categoria_pensamiento_y_conocimiento,belongs_to
ref_corrector_de_pruebas_oficio,categoria_pensamiento_y_conocimiento,belongs_to
ref_critica_cinematografica_profesion,categoria_pensamiento_y_conocimiento,belongs_to
ref_crack_de_1929_wall_street,categoria_contexto_sociohistorico,belongs_to
ref_cristobal_colon_1492_desembarco_en_cuba,categoria_contexto_sociohistorico,belongs_to
ref_fulgencio_batista_dictador,categoria_contexto_sociohistorico,belongs_to
ref_fidel_castro_lider_revolucionario,categoria_contexto_sociohistorico,belongs_to
ref_revolucion_cubana_sierra_maestra,categoria_contexto_sociohistorico,belongs_to
ref_partido_socialista_popular_psp,categoria_contexto_sociohistorico,belongs_to
ref_consejo_nacional_de_cultura_cargo_1959,categoria_contexto_sociohistorico,belongs_to
ref_instituto_del_cine_icaic_efervescencia_estalinista,categoria_contexto_sociohistorico,belongs_to
ref_conversaciones_de_la_biblioteca_nacional,categoria_contexto_sociohistorico,belongs_to
ref_uneac_alusion,categoria_contexto_sociohistorico,belongs_to
ref_primera_plana_revista,categoria_contexto_sociohistorico,belongs_to
ref_partido_comunista_de_cuba_experiencia_familiar,categoria_contexto_sociohistorico,belongs_to
ref_periodico_hoy_organo_comunista,categoria_contexto_sociohistorico,belongs_to
ref_paseo_del_prado_pena_y_gansteres,categoria_contexto_sociohistorico,belongs_to
ref_salon_cristal_la_habana,categoria_contexto_sociohistorico,belongs_to
ref_agregado_cultural_en_bruselas_exilio_oficial,categoria_contexto_sociohistorico,belongs_to
ref_salida_definitiva_de_cuba_1965_66,categoria_contexto_sociohistorico,belongs_to
ref_expulsion_de_la_uneac_1968,categoria_contexto_sociohistorico,belongs_to
ref_visita_de_fidel_a_washington_nueva_york_canada_1959,categoria_contexto_sociohistorico,belongs_to
ref_provincia_de_oriente_cuba,categoria_contexto_sociohistorico,belongs_to
ref_santiago_de_cuba,categoria_contexto_sociohistorico,belongs_to
ref_banes_posible,categoria_contexto_sociohistorico,belongs_to
ref_biran,categoria_contexto_sociohistorico,belongs_to
ref_la_habana,categoria_contexto_sociohistorico,belongs_to
ref_paseo_del_prado_la_habana,categoria_contexto_sociohistorico,belongs_to
ref_salon_cristal_la_habana_2,categoria_contexto_sociohistorico,belongs_to
ref_sierra_maestra,categoria_contexto_sociohistorico,belongs_to
ref_bruselas,categoria_contexto_sociohistorico,belongs_to
ref_barcelona,categoria_contexto_sociohistorico,belongs_to
ref_madrid,categoria_contexto_sociohistorico,belongs_to
ref_espana,categoria_contexto_sociohistorico,belongs_to
ref_londres,categoria_contexto_sociohistorico,belongs_to
ref_inglaterra,categoria_contexto_sociohistorico,belongs_to
ref_los_angeles,categoria_contexto_sociohistorico,belongs_to
ref_california,categoria_contexto_sociohistorico,belongs_to
ref_nevada,categoria_contexto_sociohistorico,belongs_to
ref_colorado,categoria_contexto_sociohistorico,belongs_to
ref_nuevo_mexico,categoria_contexto_sociohistorico,belongs_to
ref_nueva_york,categoria_contexto_sociohistorico,belongs_to
ref_washington,categoria_contexto_sociohistorico,belongs_to
ref_canada,categoria_contexto_sociohistorico,belongs_to
ref_premio_biblioteca_breve_seix_barral,categoria_contexto_sociohistorico,belongs_to
ref_censura_cuento_1952_en_bohemia,categoria_contexto_sociohistorico,belongs_to
ref_cierre_de_lunes_de_revolucion_1961,categoria_contexto_sociohistorico,belongs_to
ref_secuestro_de_pm_1961,categoria_contexto_sociohistorico,belongs_to
ref_reuniones_en_biblioteca_nacional_tres_viernes,categoria_contexto_sociohistorico,belongs_to
ref_publicacion_de_ttt_en_espana_seix_barral,categoria_contexto_sociohistorico,belongs_to
ref_choteo_idiosincrasia,categoria_culturales_y_artisticas,belongs_to
ref_lengua_cubana_coloquial_comerse_las_s,categoria_culturales_y_artisticas,belongs_to
