id,label,type,group,note
categoria_pensamiento_y_conocimiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
categoria_contexto_sociohistorico,Contexto socio-histórico,category,Contexto socio-histórico,
categoria_personales_y_biograficas,Personales y biográficas,category,Personales y biográficas,
categoria_culturales_y_artisticas,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento_22_de_abril_de_1929,Nacimiento (22 de abril de 1929),reference,Personales y biográficas,"…me gusta la pregunta porque me gustan las cronologías. Yo prefiero comenzar diciendo que nací en 1929, el 22 de abril, fecha en que también nacieron Lenin y Chile Temple. Esto me ha condenado políticamente y…"
ref_gibara_pueblo_natal,Gibara (pueblo natal),reference,Personales y biográficas,nan
ref_traslado_a_la_habana_1941,Traslado a La Habana (1941),reference,Personales y biográficas,"…tir a la escuela pública, y finalmente él se trasladó a La Habana en el año 1940, y luego nos trasladamos todos en el año 1941. Y ahí terminó mi niñez, que fue pobre, es decir, éramos bastante pobres nosotros, pero f…"
ref_padre_tipografo_y_periodista_local,Padre tipógrafo y periodista local,reference,Personales y biográficas,"…podemos encontrar en Venezuela, en América Central. Y yo nací de padres, mi padre que era tipógrafo y periodista local, y mi madre que tenía inclinaciones políticas, tanto que ellos dos fueron fundadore…"
ref_madre_fundadora_del_partido_comunista_local,Madre fundadora del Partido Comunista local,reference,Personales y biográficas,"…eriodista local, y mi madre que tenía inclinaciones políticas, tanto que ellos dos fueron fundadores del Partido Comunista en el Pueblo en el año 34. Tengo un recuerdo muy preciso de los avatares a que condujo es…"
ref_arresto_de_la_madre_1936_y_detencion_de_ambos_padres,Arresto de la madre (1936) y detención de ambos padres,reference,Personales y biográficas,"…rgados de la propaganda comunista en el pueblo y estaban vigilados. Entonces, esta mañana cogieron presa a mi madre, mi padre no estaba en la casa, se presentó más tarde a las autoridades, y los dos fueron…"
ref_guardia_rural_policia_rural_de_cuba,Guardia Rural (policía rural de Cuba),reference,Personales y biográficas,"…i madre hacia el fondo de la casa, perseguida detrás por mi hermano, y después de eso dos guardias rurales, que era la policía rural de Cuba, que entraban con armas en la mano persiguiendo a mi ma…"
ref_santiago_de_cuba_capital_provincial,Santiago de Cuba (capital provincial),reference,Personales y biográficas,"…entó más tarde a las autoridades, y los dos fueron llevados a la capital de la provincia, Santiago de Cuba, que queda como a unos 500 kilómetros de Jibarra. Y aquí me tropecé yo con mi primera sol…"
ref_colegio_de_cuaqueros_los_amigos,Colegio de cuáqueros Los Amigos,reference,Personales y biográficas,nan
