source,target,relation
alejo_carpentier_entrevistado,categoria_referencias_personales_y_biográficas,belongs_to
nacimiento_26_de_diciembre_de_1904_la_habana,categoria_referencias_personales_y_biográficas,belongs_to
infancia_en_finca_rural_provincia_de_la_habana,categoria_referencias_personales_y_biográficas,belongs_to
padre_arquitecto_francés,categoria_referencias_personales_y_biográficas,belongs_to
madre_rusa_estudios_en_suiza,categoria_referencias_personales_y_biográficas,belongs_to
bilingüe_españolfrancés_educación_en_casa,categoria_referencias_personales_y_biográficas,belongs_to
prisión_política_en_la_habana_1927,categoria_referencias_personales_y_biográficas,belongs_to
exilio_en_parís_llega_1928,categoria_referencias_personales_y_biográficas,belongs_to
embajador_de_cuba_fallece_en_parís,categoria_referencias_personales_y_biográficas,belongs_to
esposa_lilia_matrimonio_1941,categoria_referencias_personales_y_biográficas,belongs_to
concierto_barroco,categoria_referencias_culturales_y_artísticas,belongs_to
ecueyambao,categoria_referencias_culturales_y_artísticas,belongs_to
viaje_a_la_semilla,categoria_referencias_culturales_y_artísticas,belongs_to
la_guerra_del_tiempo,categoria_referencias_culturales_y_artísticas,belongs_to
el_reino_de_este_mundo,categoria_referencias_culturales_y_artísticas,belongs_to
los_pasos_perdidos,categoria_referencias_culturales_y_artísticas,belongs_to
el_acoso,categoria_referencias_culturales_y_artísticas,belongs_to
el_siglo_de_las_luces,categoria_referencias_culturales_y_artísticas,belongs_to
los_pasos_perdidos,categoria_referencias_culturales_y_artísticas,belongs_to
concierto_barroco,categoria_referencias_culturales_y_artísticas,belongs_to
el_reino_de_este_mundo,categoria_referencias_culturales_y_artísticas,belongs_to
el_acoso,categoria_referencias_culturales_y_artísticas,belongs_to
el_siglo_de_las_luces,categoria_referencias_culturales_y_artísticas,belongs_to
carteles_revista_cubana,categoria_referencias_culturales_y_artísticas,belongs_to
cruz_y_raya_revista,categoria_referencias_culturales_y_artísticas,belongs_to
pombo_tertulia_café,categoria_referencias_culturales_y_artísticas,belongs_to
la_granja_del_henar_café,categoria_referencias_culturales_y_artísticas,belongs_to
cervecería_de_correos_madrid,categoria_referencias_culturales_y_artísticas,belongs_to
radio_luxemburgo,categoria_referencias_culturales_y_artísticas,belongs_to
unesco,categoria_referencias_culturales_y_artísticas,belongs_to
federico_garcía_lorca,categoria_referencias_culturales_y_artísticas,belongs_to
herrera_petere,categoria_referencias_culturales_y_artísticas,belongs_to
josé_bergamín,categoria_referencias_culturales_y_artísticas,belongs_to
montesinos_intelectual_del_círculo,categoria_referencias_culturales_y_artísticas,belongs_to
eugenio_dors_posible_corrección_de_eugenio_imás,categoria_referencias_culturales_y_artísticas,belongs_to
ramón_del_valleinclán,categoria_referencias_culturales_y_artísticas,belongs_to
manuel_bueno_crítico,categoria_referencias_culturales_y_artísticas,belongs_to
azorín,categoria_referencias_culturales_y_artísticas,belongs_to
pío_baroja,categoria_referencias_culturales_y_artísticas,belongs_to
miguel_de_unamuno,categoria_referencias_culturales_y_artísticas,belongs_to
ultraísmo,categoria_referencias_culturales_y_artísticas,belongs_to
rafael_barradas,categoria_referencias_culturales_y_artísticas,belongs_to
guillermo_de_torre,categoria_referencias_culturales_y_artísticas,belongs_to
rafael_alberti,categoria_referencias_culturales_y_artísticas,belongs_to
miguel_de_cervantes_don_quijote_de_la_mancha,categoria_referencias_culturales_y_artísticas,belongs_to
