id,label,type,group,note
categoria_contexto_sociohistórico,Contexto sociohistórico,category,category,
categoria_referencias_culturales_y_artísticas,Referencias culturales y artísticas,category,category,
categoria_referencias_de_pensamiento_y_conocimiento,Referencias de pensamiento y conocimiento,category,category,
categoria_referencias_personales_y_biográficas,Referencias personales y biográficas,category,category,
alejo_carpentier_entrevistado,Alejo Carpentier (entrevistado),reference,reference,"…ada menos que embajador de Cuba. Tenemos ahora, a partir de este momento, 90 minutos suntuosos para estar con Alejo Carpentier. No perdamos el tiempo, no perdamos ni un segundo. Vamos con el viejo maestro inolvidable. De plata los delga…"
nacimiento_26_de_diciembre_de_1904_la_habana,Nacimiento: 26 de diciembre de 1904 (La Habana),reference,reference,"…blico y notorio. Digamos, para empezar las cosas, por el principio, que Alejo Carpantía nació en La Habana el 26 de diciembre del año 1904. Que su infancia, según me cuentan, estuvo ligada en cierto modo al mundo rural. Completamente. Pasé muchos d…"
infancia_en_finca_rural_provincia_de_la_habana,Infancia en finca rural (provincia de La Habana),reference,reference,…Pasé muchos de los primeros años de mi vida en una finca que mi padre había comprado en los alrededores de la provincia de La Habana y me había dejado en cierto modo al cuidado de aquella finca porque él tenía que trabajar en sus asuntos de a…
padre_arquitecto_francés,Padre arquitecto francés,reference,reference,"…iende de aborigen o desciende de barcos. Yo pertenezco a los que descienden de barcos, porque mi padre era un arquitecto francés, casado con una rusa que había estudiado medicina en Suiza, que llegaron en los primeros años de la república…"
madre_rusa_estudios_en_suiza,Madre rusa (estudios en Suiza),reference,reference,"…rcos. Yo pertenezco a los que descienden de barcos, porque mi padre era un arquitecto francés, casado con una rusa que había estudiado medicina en Suiza, que llegaron en los primeros años de la república, los primeros meses de la república, que después llamaríam…"
bilingüe_españolfrancés_educación_en_casa,Bilingüe español/francés (educación en casa),reference,reference,"…no había que preocuparse por el español. Pero para que yo aprendiera al fondo el francés, seguía el método de no hablarme más que francés en casa. Hizo de mí un hombre íntegramente bilingüe, aunque para escribir jamás renunciaré al castellano, ni jamás tr…"
prisión_política_en_la_habana_1927,Prisión política en La Habana (1927),reference,reference,"…on Europa fue en el año 1928, que llegué a París en calidad de exilado político, después de haber sufrido una prisión política en La Habana de algunos meses. Pero en aquellos primeros cuatro años no había tenido oportunidad de venir a M…"
exilio_en_parís_llega_1928,Exilio en París (llega 1928),reference,reference,"…cias. Sí. De sí vine por primera vez. Hay que decir que mi primer contacto con Europa fue en el año 1928, que llegué a París en calidad de exilado político, después de haber sufrido una prisión política en La Habana de algunos meses. Pero en aquellos primeros cuatr…"
embajador_de_cuba_fallece_en_parís,Embajador de Cuba (fallece en París),reference,reference,"…agración de la primavera. Digamos que tuvo el buen gusto de elegir París para morirse y siendo nada menos que embajador de Cuba. Tenemos ahora, a partir de este momento, 90 minutos suntuosos para estar con Alejo Carpentier. No perdamos e…"
esposa_lilia_matrimonio_1941,Esposa Lilia (matrimonio 1941),reference,reference,…a estancia posterior en Haití que fue también importante bueno fue un viaje fue un simple viaje ya casado con mi esposa Lilia nos casamos en el año 41 en el año 43 fue una cosa muy casual lo de Haití llegó a París el gran rector francé…
concierto_barroco,Concierto barroco,reference,reference,"…Alejo Carpentier, al que hoy nos honramos en recibir en este programa. Esta es la primera página de su libro, Concierto Barroco, del que habrá ocasión de hablar, como de tantos otros, después de que hayamos conversado tras dar la bienven…"
ecueyambao,Ecueyambao,reference,reference,…en este caso negra negra en este caso cubana o criolla cubana criolla digamos criolla el título del libro era ecueyambao que es una palabra de dialecto afro cubano que todavía a veces se oía por allí que significa Dios lo ha docea…
viaje_a_la_semilla,Viaje a la semilla,reference,reference,…s que nutren mi obra futura estoy adquiriendo experiencias que encerrado en una biblioteca no podría adquirir Viaje a la semilla es un libro aparecido en 1944 más tarde incluido en la guerra del tiempo 1946 un libro del que nos habló la m…
la_guerra_del_tiempo,La guerra del tiempo,reference,reference,…o en una biblioteca no podría adquirir Viaje a la semilla es un libro aparecido en 1944 más tarde incluido en la guerra del tiempo 1946 un libro del que nos habló la música en Cuba después el reino de este mundo Caracas 1948 del que hablába…
el_reino_de_este_mundo,El reino de este mundo,reference,reference,…ción mexicana estas son las ediciones cubanas los pasos perdidos el concierto barroco dos novelas el recurso del reino de este mundo y el acoso el siglo de las luces donde han puesto una decoración barroca de un abecedario observen que todas…
los_pasos_perdidos,Los pasos perdidos,reference,reference,…ducir el mundo americano es vano tratar de pintar la selva americana que yo he tratado de pintar en mi novela Los Pasos Perdidos con una prosa Loazorín sin embargo Vallinclán con la prosa de Vallinclán podía penetrarse muchos arcanos del…
el_acoso,El acoso,reference,reference,…as ediciones cubanas los pasos perdidos el concierto barroco dos novelas el recurso del reino de este mundo y el acoso el siglo de las luces donde han puesto una decoración barroca de un abecedario observen que todas las portada…
el_siglo_de_las_luces,El siglo de las luces,reference,reference,…nes cubanas los pasos perdidos el concierto barroco dos novelas el recurso del reino de este mundo y el acoso el siglo de las luces donde han puesto una decoración barroca de un abecedario observen que todas las portadas son barrocas sobre t…
carteles_revista_cubana,Carteles (revista cubana),reference,reference,…o y de crítico de teatro ya a la edad de 19 años era redactor jefe de la revista de mayor circulación en Cuba carteles y también fui el más joven jefe de redacción que se me dio en el primer viaje que hice fuera de Cuba en edad…
cruz_y_raya_revista,Cruz y Raya (revista),reference,reference,"…con Don Pepe Bergamín, que salía en compañía de Montesinos, y a lo mejor de Eugenio Imás, de la redacción de Cruz y Raya, cuya redacción de que estaba muy cerca, y finalmente iba a dar a Pombo, donde se encontraba la peña de Ramón…"
pombo_tertulia_café,Pombo (tertulia / café),reference,reference,"…ugenio Imás, de la redacción de Cruz y Raya, cuya redacción de que estaba muy cerca, y finalmente iba a dar a Pombo, donde se encontraba la peña de Ramón Gómez de la Cerna. Creo que pocas veces se puede realizar en una ciudad…"
la_granja_del_henar_café,La Granja del Henar (café),reference,reference,"…rato, la remontaba, iba hacia la calle Alcalde, y entonces hacía mi segunda escala en un café que se llamaba La Granja de Lenar, donde se reunía la vieja guardia, de la crítica literaria, la gente de la generación de Manuel Bueno, de Don…"
cervecería_de_correos_madrid,Cervecería de Correos (Madrid),reference,reference,"…de unos amigos, seguía a lo largo del retiro, bajaba hacia Correos, y entonces hacía mi primera escala en la cervecería de Correos, donde se hallaba todas las tardes la peña de Federico García Lorca, con el grupo de gente joven, con Herrera…"
radio_luxemburgo,Radio Luxemburgo,reference,reference,…a quedado ya me aconsejó que no volviera y entonces fue cuando empecé a trabajar en cosas de radio trabajé en Radio Luxemburgo y en el Posto de Parisiana y todo y llegué a dirigir un estudio de grabación de programas en disco hasta el a…
unesco,UNESCO,reference,reference,…teatro del ballet de la música del espectáculo hoy en día somos y esto es una obedece a una conclusión de la UNESCO el mayor productor de libro per cápita del continente latinoamericano y por ejemplo estas ediciones de libros…
federico_garcía_lorca,Federico García Lorca,reference,reference,"…y entonces hacía mi primera escala en la cervecería de Correos, donde se hallaba todas las tardes la peña de Federico García Lorca, con el grupo de gente joven, con Herrera Petere, con muchos más, un compositor chileno que dejó un recuerdo…"
herrera_petere,Herrera Petere,reference,reference,"…Correos, donde se hallaba todas las tardes la peña de Federico García Lorca, con el grupo de gente joven, con Herrera Petere, con muchos más, un compositor chileno que dejó un recuerdo inolvidable en quienes lo conocieron, a Cario Cot…"
josé_bergamín,José Bergamín,reference,reference,"…n, etcétera, etcétera, para no enumerarlo. Seguía usted un poco más y se encontraba en la próxima esquina con Don Pepe Bergamín, que salía en compañía de Montesinos, y a lo mejor de Eugenio Imás, de la redacción de Cruz y Raya, cuya reda…"
montesinos_intelectual_del_círculo,Montesinos (intelectual del círculo),reference,reference,"…eguía usted un poco más y se encontraba en la próxima esquina con Don Pepe Bergamín, que salía en compañía de Montesinos, y a lo mejor de Eugenio Imás, de la redacción de Cruz y Raya, cuya redacción de que estaba muy cerca, y fina…"
eugenio_dors_posible_corrección_de_eugenio_imás,Eugenio d'Ors (posible corrección de 'Eugenio Imás'),reference,reference,"…encontraba en la próxima esquina con Don Pepe Bergamín, que salía en compañía de Montesinos, y a lo mejor de Eugenio Imás, de la redacción de Cruz y Raya, cuya redacción de que estaba muy cerca, y finalmente iba a dar a Pombo, dond…"
ramón_del_valleinclán,Ramón del Valle‑Inclán,reference,reference,"…nar, donde se reunía la vieja guardia, de la crítica literaria, la gente de la generación de Manuel Bueno, de Don Ramón del Vallín Clán, etcétera, etcétera, para no enumerarlo. Seguía usted un poco más y se encontraba en la próxima esquina con D…"
manuel_bueno_crítico,Manuel Bueno (crítico),reference,reference,"…a La Granja de Lenar, donde se reunía la vieja guardia, de la crítica literaria, la gente de la generación de Manuel Bueno, de Don Ramón del Vallín Clán, etcétera, etcétera, para no enumerarlo. Seguía usted un poco más y se encontra…"
azorín,Azorín,reference,reference,…éxico era de 100 kilómetros pues me pongo a estudiar a los del 98 y me doy cuenta por ejemplo que la prosa de Azorín que se me daba entonces como la cosa ejemplar y admirable no servía para traducir el mundo americano es vano…
pío_baroja,Pío Baroja,reference,reference,…caído no hablaré de la generación más reciente el Oscar el Albert es ayer hablo de la generación del 98 como Baroja en ciertas cosas no ha caído pero cuidado un detalle muy curioso esta mañana mismo fui de la librería a Madri…
miguel_de_unamuno,Miguel de Unamuno,reference,reference,…pre muchísimo esto pero no solamente en este caso diré de mi pueblo solo claro hay una frase de don Miguel de Unamuno le advierto que no siempre estoy con don Miguel de Unamuno cuando se contradice a sí mismo me irrita cuando s…
ultraísmo,Ultraísmo,reference,reference,…vación extraordinario que se había extendido a España los movimientos de París habían engendrado en Madrid el ultraísmo de Barradas y Guillermo de Torre y los amigos de Rafael Alberti que empezó con ese grupo por así decirlo era…
rafael_barradas,Rafael Barradas,reference,reference,…rdinario que se había extendido a España los movimientos de París habían engendrado en Madrid el ultraísmo de Barradas y Guillermo de Torre y los amigos de Rafael Alberti que empezó con ese grupo por así decirlo era una ciudad i…
guillermo_de_torre,Guillermo de Torre,reference,reference,…e se había extendido a España los movimientos de París habían engendrado en Madrid el ultraísmo de Barradas y Guillermo de Torre y los amigos de Rafael Alberti que empezó con ese grupo por así decirlo era una ciudad interesante había que…
rafael_alberti,Rafael Alberti,reference,reference,…ovimientos de París habían engendrado en Madrid el ultraísmo de Barradas y Guillermo de Torre y los amigos de Rafael Alberti que empezó con ese grupo por así decirlo era una ciudad interesante había que conocerla estaba en pleno auge…
miguel_de_cervantes_don_quijote_de_la_mancha,Miguel de Cervantes — Don Quijote de la Mancha,reference,reference,"…mbre de la literatura universal como el Fausto de Goethe, no hay que olvidar que llega dos siglos después del Quijote y muchos siglos después de la Divina Comedia y varios siglos después de Ravelet. Por lo tanto, ni siquiera en…"
homero_odisea_ulises,Homero — Odisea / Ulises,reference,reference,…á uno en la novela realista a mi entender hay dos obras que han logrado eso la odisea del viejo Homero porque Ulises es un hombre tan humano como usted y como yo a pesar de las sirenas los lotófagos los nestrigones y todo y su…
dante_alighieri_divina_comedia,Dante Alighieri — Divina Comedia,reference,reference,"…l Fausto de Goethe, no hay que olvidar que llega dos siglos después del Quijote y muchos siglos después de la Divina Comedia y varios siglos después de Ravelet. Por lo tanto, ni siquiera en eso pueden estar ellos muy orgullosos de esa…"
johann_wolfgang_von_goethe_fausto,Johann Wolfgang von Goethe — Fausto,reference,reference,"…izajes del Mediterráneo. Porque, en fin, cuando se produce una obra cumbre de la literatura universal como el Fausto de Goethe, no hay que olvidar que llega dos siglos después del Quijote y muchos siglos después de la Divina Comedia y v…"
rabelais_françois,Rabelais (François),reference,reference,"…llega dos siglos después del Quijote y muchos siglos después de la Divina Comedia y varios siglos después de Ravelet. Por lo tanto, ni siquiera en eso pueden estar ellos muy orgullosos de esa raza pura que en realidad yo y ade…"
stendhal,Stendhal,reference,reference,…alquier día en Europa una gran novela psicológica digna de colocarse al lado de las obras maestras del género Stendhal el mismo Proust ahora lo que sí es cierto es que por ejemplo en ciertos países de Europa pongamos Inglaterra…
marcel_proust,Marcel Proust,reference,reference,…e produce en Ravelet y se produce en Quevedo y se produce en Calderón y se produce en Gracián y se produce en Proust y se produce en Joyce lejos de ser una decadencia el barroco es un lujo de la creación es la creación rica qu…
laurence_sterne_tristram_shandy,Laurence Sterne — Tristram Shandy,reference,reference,…es mi vida de Torres Villarroel el principio de mi vida de Villarroel es absolutamente el comienzo del famoso Tristan Chandi de Stern de Lawrence Stern en Inglaterra y es el libro que se anticipa a las confesiones de Rousseau es el pr…
diego_de_torres_villarroel_vida,Diego de Torres Villarroel — Vida,reference,reference,…ucha gente incluso en España que no conocen la última obra estupenda de la picaresca que es mi vida de Torres Villarroel el principio de mi vida de Villarroel es absolutamente el comienzo del famoso Tristan Chandi de Stern de Lawr…
lazarillo_de_tormes,Lazarillo de Tormes,reference,reference,…ñola es el primer movimiento novelístico continuado que se registra en ninguna historia literaria arranca del lazarillo termina en Torres de Villarroel pero pasa a América porque la primera novela esencialmente latinoamericana el…
homero,Homero,reference,reference,…ajes no existen tales salvajes si son hombres que no han leído la divina comedia ni saben de la existencia de homero ni de ninguno de estos clásicos son hombres que en el medio donde viven y de acuerdo con las finalidades de r…
ricardo_güiraldes_don_segundo_sombra_alusivo,Ricardo Güiraldes — Don Segundo Sombra (alusivo),reference,reference,…y las hay haya trascendido pero cuando se despierta la novela latinoamericana con tres novelistas clásicos ya Ricardo Guiraldes José Eustacio Rivera Rómulo Gallegos el venezolano observe usted que uno de ellos escribe una prosa no lineal…
josé_eustasio_rivera_la_vorágine_infierno_verdecaucheros,José Eustasio Rivera — La vorágine (infierno verde/caucheros),reference,reference,…scendido pero cuando se despierta la novela latinoamericana con tres novelistas clásicos ya Ricardo Guiraldes José Eustacio Rivera Rómulo Gallegos el venezolano observe usted que uno de ellos escribe una prosa no lineal no barroca y si muy…
rómulo_gallegos_canaima,Rómulo Gallegos — Canaima,reference,reference,…ucheros el mundo terrible de lo que llama el infierno verde igualmente Rómulo Gallegos en su admirable novela Canaima Rómulo Gallegos en Canaima es completamente barroco por lo tanto ellos fueron los que dieron por primera vez…
