source,target,relation
ref_nacimiento_en_bruselas_26_agosto_1914_15_00,categoria_personales_y_biograficas,belongs_to
ref_kaiser_y_tropas_invaden_belgica_en_su_nacimiento,categoria_personales_y_biograficas,belongs_to
ref_padre_en_mision_economica_agregada_a_legacion_argentina_en_belgica,categoria_personales_y_biograficas,belongs_to
ref_familia_hacia_suiza_y_espana_por_neutralidad_argentina_en_wwi,categoria_personales_y_biograficas,belongs_to
ref_infancia_en_barcelona_parque_guell,categoria_personales_y_biograficas,belongs_to
ref_recuerdo_infantil_del_parque_guell_gaudi,categoria_personales_y_biograficas,belongs_to
ref_regreso_a_argentina_en_1918,categoria_personales_y_biograficas,belongs_to
ref_crecio_en_banfield_suburbio,categoria_personales_y_biograficas,belongs_to
ref_estudios_primarios_en_escuela_de_la_zona,categoria_personales_y_biograficas,belongs_to
ref_padre_abandona_la_familia_a_los_6_anos,categoria_personales_y_biograficas,belongs_to
ref_jardin_faroles_carretas_lechero_a_caballo,categoria_personales_y_biograficas,belongs_to
ref_lecturas_tempranas_poe_blanco_belmonte,categoria_personales_y_biograficas,belongs_to
ref_titulos_maestro_normal_profesor_en_letras,categoria_personales_y_biograficas,belongs_to
ref_docencia_en_bolivar_y_chivilcoy_escuela_normal,categoria_personales_y_biograficas,belongs_to
ref_universidad_de_cuyo_mendoza_literatura_francesa,categoria_personales_y_biograficas,belongs_to
ref_francisco_ayala_amistad,categoria_personales_y_biograficas,belongs_to
ref_autoexilio_viaje_a_europa_por_rechazo_al_peronismo,categoria_personales_y_biograficas,belongs_to
ref_instalacion_en_paris_pizarron_de_recortes,categoria_personales_y_biograficas,belongs_to
ref_casa_de_campo_en_segnon_sin_telefono,categoria_personales_y_biograficas,belongs_to
ref_ano_en_italia_para_ahorrar,categoria_personales_y_biograficas,belongs_to
ref_presencia_poemas_1938_seudonimo_julio_denis,categoria_culturales_y_artisticas,belongs_to
ref_los_reyes_poema_dramatico_teseo_minotauro,categoria_culturales_y_artisticas,belongs_to
ref_bestiario_cuentos,categoria_culturales_y_artisticas,belongs_to
ref_casa_tomada_cuento,categoria_culturales_y_artisticas,belongs_to
ref_final_del_juego_1956_ampliacion_1964,categoria_culturales_y_artisticas,belongs_to
ref_las_armas_secretas_1959,categoria_culturales_y_artisticas,belongs_to
ref_el_perseguidor_cuento_largo,categoria_culturales_y_artisticas,belongs_to
ref_los_premios_novela,categoria_culturales_y_artisticas,belongs_to
ref_historias_de_cronopios_y_de_famas_1962,categoria_culturales_y_artisticas,belongs_to
ref_rayuela_1963,categoria_culturales_y_artisticas,belongs_to
ref_62_modelo_para_armar_1968,categoria_culturales_y_artisticas,belongs_to
ref_buenos_aires_libro_con_fotos,categoria_culturales_y_artisticas,belongs_to
ref_ultimo_round_1969,categoria_culturales_y_artisticas,belongs_to
ref_la_autopista_del_sur_cuento,categoria_culturales_y_artisticas,belongs_to
ref_fantomas_contra_los_vampiros_multinacionales_version_cortazar,categoria_culturales_y_artisticas,belongs_to
ref_libro_de_manuel_1973,categoria_culturales_y_artisticas,belongs_to
ref_octaedro,categoria_culturales_y_artisticas,belongs_to
ref_edgar_allan_poe_traducciones_completas_en_prosa,categoria_culturales_y_artisticas,belongs_to
ref_blanco_belmonte_traductor_de_poe,categoria_culturales_y_artisticas,belongs_to
ref_julio_verne_el_secreto_de_wilhelm_storitz,categoria_culturales_y_artisticas,belongs_to
ref_h_g_wells_el_hombre_invisible,categoria_culturales_y_artisticas,belongs_to
ref_borges_maestro,categoria_culturales_y_artisticas,belongs_to
ref_roberto_arlt_lunfardo,categoria_culturales_y_artisticas,belongs_to
ref_enrique_larreta_contraste,categoria_culturales_y_artisticas,belongs_to
ref_thomas_mann_doctor_fausto_la_montana_magica,categoria_culturales_y_artisticas,belongs_to
ref_cervantes_don_quijote_reversion_del_personaje,categoria_culturales_y_artisticas,belongs_to
ref_garcia_marquez,categoria_culturales_y_artisticas,belongs_to
ref_vargas_llosa,categoria_culturales_y_artisticas,belongs_to
ref_carlos_fuentes,categoria_culturales_y_artisticas,belongs_to
ref_miguel_angel_asturias,categoria_culturales_y_artisticas,belongs_to
ref_graham_greene,categoria_culturales_y_artisticas,belongs_to
ref_francois_mauriac,categoria_culturales_y_artisticas,belongs_to
ref_pearl_s_buck,categoria_culturales_y_artisticas,belongs_to
ref_ernest_hemingway,categoria_culturales_y_artisticas,belongs_to
ref_ruben_dario_cita_invertida,categoria_culturales_y_artisticas,belongs_to
ref_salinas_cernuda_garcia_lorca_alberti_g_del_27,categoria_culturales_y_artisticas,belongs_to
ref_federico_garcia_lorca_verso_tatuado,categoria_culturales_y_artisticas,belongs_to
ref_antoni_gaudi,categoria_culturales_y_artisticas,belongs_to
ref_gustav_klimt_imagen_en_biblioteca,categoria_culturales_y_artisticas,belongs_to
ref_igor_stravinsky_theatre_des_champs_elysees,categoria_culturales_y_artisticas,belongs_to
ref_jean_cocteau_recitante,categoria_culturales_y_artisticas,belongs_to
ref_louis_armstrong_jazz,categoria_culturales_y_artisticas,belongs_to
ref_jazz_swing_ritmo_en_la_escritura,categoria_culturales_y_artisticas,belongs_to
ref_comic_historietas_fantomas,categoria_culturales_y_artisticas,belongs_to
ref_julio_silva_diseno_de_libros,categoria_culturales_y_artisticas,belongs_to
ref_sara_y_alicia_fotografas_de_buenos_aires,categoria_culturales_y_artisticas,belongs_to
ref_mito_de_teseo_y_el_minotauro_reinterpretado,categoria_pensamiento_y_conocimiento,belongs_to
ref_jung_arquetipos_memoria_ancestral,categoria_pensamiento_y_conocimiento,belongs_to
ref_estilo_como_precision_comunicativa,categoria_pensamiento_y_conocimiento,belongs_to
ref_lo_fantastico_como_cara_de_la_realidad,categoria_pensamiento_y_conocimiento,belongs_to
ref_lector_complice_anti_novela_poetica_de_rayuela,categoria_pensamiento_y_conocimiento,belongs_to
ref_primera_guerra_mundial_invasion_de_belgica,categoria_contexto_sociohistorico,belongs_to
ref_segunda_guerra_mundial_argentina_neutral,categoria_contexto_sociohistorico,belongs_to
ref_dictadura_de_lanusse_argentina,categoria_contexto_sociohistorico,belongs_to
ref_presidencia_de_hector_j_campora,categoria_contexto_sociohistorico,belongs_to
ref_prisiones_en_la_patagonia_presos_politicos,categoria_contexto_sociohistorico,belongs_to
ref_exilios_del_cono_sur_argentinos_uruguayos_chilenos_etc,categoria_contexto_sociohistorico,belongs_to
ref_guerra_civil_espanola_1936_1939,categoria_contexto_sociohistorico,belongs_to
ref_imperialismo_norteamericano_american_way_of_life,categoria_contexto_sociohistorico,belongs_to
ref_feria_del_libro_de_frankfurt,categoria_contexto_sociohistorico,belongs_to
ref_tribunal_bertrand_russell_roma_y_bruselas,categoria_contexto_sociohistorico,belongs_to
ref_conferencias_dialogos_universitarios_mexico_caracas,categoria_contexto_sociohistorico,belongs_to
ref_belgica,categoria_contexto_sociohistorico,belongs_to
ref_suiza,categoria_contexto_sociohistorico,belongs_to
ref_espana,categoria_contexto_sociohistorico,belongs_to
ref_barcelona,categoria_contexto_sociohistorico,belongs_to
ref_parque_guell_barcelona,categoria_contexto_sociohistorico,belongs_to
ref_helsinki_mencion_hipotetica,categoria_contexto_sociohistorico,belongs_to
ref_guatemala_mencion_hipotetica,categoria_contexto_sociohistorico,belongs_to
ref_argentina,categoria_contexto_sociohistorico,belongs_to
ref_buenos_aires,categoria_contexto_sociohistorico,belongs_to
ref_banfield_suburbio,categoria_contexto_sociohistorico,belongs_to
ref_temperley_estacion,categoria_contexto_sociohistorico,belongs_to
ref_salta_provincia,categoria_contexto_sociohistorico,belongs_to
ref_mendoza_universidad_de_cuyo,categoria_contexto_sociohistorico,belongs_to
ref_bolivar_ba,categoria_contexto_sociohistorico,belongs_to
ref_chivilcoy_ba,categoria_contexto_sociohistorico,belongs_to
ref_roma,categoria_contexto_sociohistorico,belongs_to
ref_bruselas,categoria_contexto_sociohistorico,belongs_to
ref_paris,categoria_contexto_sociohistorico,belongs_to
ref_italia,categoria_contexto_sociohistorico,belongs_to
ref_mexico_pais,categoria_contexto_sociohistorico,belongs_to
ref_caracas,categoria_contexto_sociohistorico,belongs_to
ref_theatre_des_champs_elysees_paris,categoria_contexto_sociohistorico,belongs_to
