id,label,type,group,note
categoria_pensamiento_y_conocimiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
categoria_contexto_sociohistorico,Contexto socio-histórico,category,Contexto socio-histórico,
categoria_personales_y_biograficas,Personales y biográficas,category,Personales y biográficas,
categoria_culturales_y_artisticas,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento_en_bruselas_26_agosto_1914_15_00,"Nacimiento en Bruselas (26 agosto 1914, 15:00)",reference,Personales y biográficas,"…nto de Julio Cortázar se produce accidentalmente en el sentido de que pudo ocurrir en cualquier otra parte en Bruselas a las 3 de la tarde del día 26 de agosto de 1914. Y parece que Julio ha contado alguna vez, me parece que en…"
ref_kaiser_y_tropas_invaden_belgica_en_su_nacimiento,Kaiser y tropas invaden Bélgica en su nacimiento,reference,Personales y biográficas,"…gó prácticamente en viaje de bodas a Bélgica, hizo que yo naciera en esa ciudad en el mismo momento en que el kaiser y sus tropas se lanzaban a la conquista de Bélgica, que tomaron en los días de mi nacimiento. De modo que ese…"
ref_padre_en_mision_economica_agregada_a_legacion_argentina_en_belgica,Padre en misión económica agregada a legación argentina en Bélgica,reference,Personales y biográficas,"…económicas en la Argentina, y entonces lo pusieron al frente de una misión económica que estaba agregada a la legación argentina en Bélgica. Yo no sé si tenía cargo diplomático, estatuto diplomático, no lo sé. El hecho es que él trabajaba en la lega…"
ref_familia_hacia_suiza_y_espana_por_neutralidad_argentina_en_wwi,Familia hacia Suiza y España por neutralidad argentina en WWI,reference,Personales y biográficas,"…mente problemas con los invasores, con los alemanes, que le permitieron pasar a un país neutral, en este caso Suiza, y luego España, y por eso es que yo entre un año y medio y tres años y medio viví en Barcelona hasta que en…"
ref_infancia_en_barcelona_parque_guell,Infancia en Barcelona (Parque Güell),reference,Personales y biográficas,"…ral, en este caso Suiza, y luego España, y por eso es que yo entre un año y medio y tres años y medio viví en Barcelona hasta que en 1918, una vez terminada la lucha, la familia pudo volver a la Argentina. De esos años primeros,…"
ref_recuerdo_infantil_del_parque_guell_gaudi,Recuerdo infantil del Parque Güell (Gaudí),reference,Personales y biográficas,"…corresponder a que tú de niño en Barcelona, que llevábamos casi todos los días a jugar con otros niños en el Parque Güell, así que fíjate que yo, mi inmensa admiración por Gaudí comienza quizá a los dos años. Inconscientemente. Inc…"
