id,label,type,group,note,start_time,end_time
author_antonio_di_benedetto,Antonio di Benedetto,author,author,,,
cat_pensamiento_y_conocimiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,,,
cat_contexto_socio_historico,Contexto socio-histórico,category,Contexto socio-histórico,,,
cat_personales_y_biograficas,Personales y biográficas,category,Personales y biográficas,,,
cat_culturales_y_artisticas,Culturales y artísticas,category,Culturales y artísticas,,,
ref_academia_argentina_de_letras_miembro,Academia Argentina de Letras (miembro),reference,Contexto socio-histórico,Subcategoría: Reconocimientos | Posibles conexiones: Canon y oficialidad literaria.,,
ref_asuncion_paraguay,Asunción (Paraguay),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Imaginación vs verificación posterior.,,
ref_berlin_alemania,Berlín (Alemania),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Debate objetivismo/Nouveau Roman.,,
ref_bermejo_suburbio_rural,Bermejo (suburbio rural),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Margen rural/urbano; pobreza.,,
ref_brasil_puerto_de_llegada_familiar,Brasil (puerto de llegada familiar),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Tránsito migratorio Europa→América.,,
ref_buenos_aires_argentina,Buenos Aires (Argentina),reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Campo editorial; Biblioteca Nacional.,,
ref_concurso_de_cuentos_policiales_siete_dias_1975,Concurso de cuentos policiales 'Siete Días' (1975),reference,Contexto socio-histórico,Subcategoría: Reconocimientos | Posibles conexiones: Género policial; versatilidad.,,
ref_condecoraciones_italianas_y_francesas,Condecoraciones italianas y francesas,reference,Contexto socio-histórico,Subcategoría: Reconocimientos | Posibles conexiones: Vinculación italo-francesa.,,
ref_conferencia_sobre_literatura_fantastica_biblioteca_nacional_1958,"Conferencia sobre literatura fantástica (Biblioteca Nacional, 1958)",reference,Contexto socio-histórico,Subcategoría: Eventos y congresos | Posibles conexiones: Consolidación de figura pública literaria.,,
ref_cursos_universitarios_en_francia_literatura_fantastica,Cursos universitarios en Francia (literatura fantástica),reference,Contexto socio-histórico,Subcategoría: Eventos y congresos | Posibles conexiones: Difusión académica; Francia.,,
ref_departamento_de_estado_ee_uu,Departamento de Estado (EE. UU.),reference,Contexto socio-histórico,Subcategoría: Políticas | Posibles conexiones: Diplomacia cultural; redes hemisféricas.,,
ref_diario_critica_rotativas,Diario 'Crítica' (rotativas),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Periodismo; cultura urbana.,,
ref_dinamarca_y_suecia,Dinamarca y Suecia,reference,Contexto socio-histórico,Subcategoría: Geográficas | Posibles conexiones: Redes internacionales.,,
ref_editorial_planeta_edicion_espanola_de_zama,Editorial Planeta (edición española de Zama),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Traducciones; recepción europea.,,
ref_editorial_sudamericana_concurso_primera_plana,Editorial Sudamericana / Concurso Primera Plana,reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Campo editorial porteño; años 60.,,
ref_editorial_de_acurcio_premio,Editorial de Acurcio (premio),reference,Contexto socio-histórico,Subcategoría: Instituciones/Editoriales | Posibles conexiones: Editor/persona (sic); aclaración pendiente.,,
