id,label,type,group,note,start_time,end_time
cat_contexto_socio_historico,Contexto socio-histórico,category,Contexto socio-histórico,,,
cat_culturales_y_artisticas,Culturales y artísticas,category,Culturales y artísticas,,,
cat_pensamiento_y_conocimiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,,,
cat_personales_y_biograficas,Personales y biográficas,category,Personales y biográficas,,,
ref_academia_argentina_de_letras_miembro,Academia Argentina de Letras (miembro),reference,Contexto socio-histórico,que fue elegido miembro de la Academia Argentina de Letras,3545.62,3548.64
ref_asuncion_paraguay,Asunción (Paraguay),reference,Contexto socio-histórico,Eso es Zama que discurre en Asunción,3433.3,3437.84
ref_berlin_alemania,Berlín (Alemania),reference,Contexto socio-histórico,,,
ref_bermejo_suburbio_rural,Bermejo (suburbio rural),reference,Contexto socio-histórico,es un suburbio de Bermejo pero ya un poco rural,1141.58,1145.26
ref_brasil_puerto_de_llegada_familiar,Brasil (puerto de llegada familiar),reference,Contexto socio-histórico,"Por parte de su madre, aunque hija de italianos, nacida en el Brasil, ya hay en la sangre una inyección distinta que nos da naturalmente el medio ambiente, la geografía,",642.18,657.56
ref_buenos_aires_argentina,Buenos Aires (Argentina),reference,Contexto socio-histórico,de la Argentina que se llama Buenos Aires,1766.7,1768.12
ref_concurso_de_cuentos_policiales_siete_dias_1975,Concurso de cuentos policiales 'Siete Días' (1975),reference,Contexto socio-histórico,ganó el concurso latinoamericano de cuentos policiales,3542.12,3544.56
ref_condecoraciones_italianas_y_francesas,Condecoraciones italianas y francesas,reference,Contexto socio-histórico,condecoraciones italianas y francesas que uno de sus cuentos,3527.92,3531.04
ref_conferencia_sobre_literatura_fantastica_biblioteca_nacional_1958,"Conferencia sobre literatura fantástica (Biblioteca Nacional, 1958)",reference,Contexto socio-histórico,una conferencia el año 58 en la Biblioteca Nacional,1887.96,1891.38
ref_cursos_universitarios_en_francia_literatura_fantastica,Cursos universitarios en Francia (literatura fantástica),reference,Contexto socio-histórico,La literatura fantástica es por otra parte una de las,1980.06,1984.38
