source,target,relation
ref_residencia_sitges_la_blanca_subur,categoria_personales_y_biograficas,belongs_to
ref_residencia_sitges,categoria_personales_y_biograficas,belongs_to
ref_residencia_calaceite_teruel,categoria_personales_y_biograficas,belongs_to
ref_residencia_calaceite_teruel_2,categoria_personales_y_biograficas,belongs_to
ref_estancia_paris,categoria_personales_y_biograficas,belongs_to
ref_residencia_en_espana,categoria_personales_y_biograficas,belongs_to
ref_origen_chile,categoria_personales_y_biograficas,belongs_to
ref_estancias_en_mallorca,categoria_personales_y_biograficas,belongs_to
ref_nacimiento_vida_en_santiago_de_chile_mencion,categoria_personales_y_biograficas,belongs_to
ref_viajes_nueva_york,categoria_personales_y_biograficas,belongs_to
ref_viajes_barcelona,categoria_personales_y_biograficas,belongs_to
ref_viajes_zaragoza,categoria_personales_y_biograficas,belongs_to
ref_armando_donoso,categoria_personales_y_biograficas,belongs_to
ref_ricardo_donoso,categoria_personales_y_biograficas,belongs_to
ref_eliodoro_yanez,categoria_personales_y_biograficas,belongs_to
ref_maria_flora_yanez,categoria_personales_y_biograficas,belongs_to
ref_jose_rafael_echeverria,categoria_personales_y_biograficas,belongs_to
ref_didier_coste_traductor_al_frances,categoria_personales_y_biograficas,belongs_to
ref_coronacion,categoria_culturales_y_artisticas,belongs_to
ref_el_lugar_sin_limites,categoria_culturales_y_artisticas,belongs_to
ref_el_obsceno_pajaro_de_la_noche,categoria_culturales_y_artisticas,belongs_to
ref_el_obsceno_pajaro_de_la_noche_2,categoria_culturales_y_artisticas,belongs_to
ref_el_obsceno_pajaro_de_la_noche_3,categoria_culturales_y_artisticas,belongs_to
ref_casa_de_campo,categoria_culturales_y_artisticas,belongs_to
ref_tres_novelitas_burguesas,categoria_culturales_y_artisticas,belongs_to
ref_mario_vargas_llosa,categoria_culturales_y_artisticas,belongs_to
ref_carlos_fuentes,categoria_culturales_y_artisticas,belongs_to
ref_julio_cortazar,categoria_culturales_y_artisticas,belongs_to
ref_gabriel_garcia_marquez,categoria_culturales_y_artisticas,belongs_to
ref_carlos_barral_editor,categoria_culturales_y_artisticas,belongs_to
ref_seix_barral_editorial,categoria_culturales_y_artisticas,belongs_to
ref_el_mercurio_diario,categoria_culturales_y_artisticas,belongs_to
ref_arturo_ripstein_director,categoria_culturales_y_artisticas,belongs_to
ref_adaptacion_cinematografica_de_el_lugar_sin_limites,categoria_culturales_y_artisticas,belongs_to
ref_wagner,categoria_culturales_y_artisticas,belongs_to
ref_lohengrin_opera,categoria_culturales_y_artisticas,belongs_to
ref_la_valkiria_die_walkure,categoria_culturales_y_artisticas,belongs_to
ref_bayreuth_festival_wagneriano,categoria_culturales_y_artisticas,belongs_to
ref_universidad_de_princeton,categoria_pensamiento_y_conocimiento,belongs_to
ref_princeton_ciudad_universidad,categoria_pensamiento_y_conocimiento,belongs_to
ref_universidad_de_dartmouth,categoria_pensamiento_y_conocimiento,belongs_to
ref_dartmouth_college,categoria_pensamiento_y_conocimiento,belongs_to
ref_universidad_de_chile,categoria_pensamiento_y_conocimiento,belongs_to
ref_jacques_maritain,categoria_pensamiento_y_conocimiento,belongs_to
ref_virginia_woolf_poetica_tecnica,categoria_pensamiento_y_conocimiento,belongs_to
ref_santiago,categoria_contexto_sociohistorico,belongs_to
ref_santiago_de_chile,categoria_contexto_sociohistorico,belongs_to
ref_chile,categoria_contexto_sociohistorico,belongs_to
ref_barcelona,categoria_contexto_sociohistorico,belongs_to
ref_sitges,categoria_contexto_sociohistorico,belongs_to
ref_la_blanca_subur,categoria_contexto_sociohistorico,belongs_to
ref_calaceite,categoria_contexto_sociohistorico,belongs_to
ref_teruel,categoria_contexto_sociohistorico,belongs_to
ref_paris,categoria_contexto_sociohistorico,belongs_to
ref_nueva_york,categoria_contexto_sociohistorico,belongs_to
ref_mallorca,categoria_contexto_sociohistorico,belongs_to
ref_magallanes,categoria_contexto_sociohistorico,belongs_to
ref_zaragoza,categoria_contexto_sociohistorico,belongs_to
ref_colorado,categoria_contexto_sociohistorico,belongs_to
ref_montes_rocosos,categoria_contexto_sociohistorico,belongs_to
ref_virginia,categoria_contexto_sociohistorico,belongs_to
ref_bayreuth,categoria_contexto_sociohistorico,belongs_to
ref_biblioteca_breve_premio,categoria_contexto_sociohistorico,belongs_to
ref_wagons_lits_cook_empresa_de_viajes,categoria_contexto_sociohistorico,belongs_to
ref_buenos_aires,categoria_contexto_sociohistorico,belongs_to
ref_montserrat,categoria_contexto_sociohistorico,belongs_to
ref_virginia_woolf,categoria_culturales_y_artisticas,belongs_to
ref_humberto_penalosa_personaje,categoria_culturales_y_artisticas,belongs_to
ref_teresa_vergara_personaje,categoria_culturales_y_artisticas,belongs_to
ref_don_jeronimo_personaje,categoria_culturales_y_artisticas,belongs_to
ref_estados_unidos,categoria_contexto_sociohistorico,belongs_to
ref_mexico,categoria_contexto_sociohistorico,belongs_to
