source,target,relation
ref_jorge-edwards-diplomatico-y-escritor,cat_personales,belongs_to
ref_nombramiento-a-la-habana-7-de-diciembre-de-1970,cat_personales,belongs_to
ref_encargado-de-negocios-rango,cat_personales,belongs_to
ref_llegada-a-aeropuerto-de-rancho-boyeros-la-habana,cat_personales,belongs_to
ref_conversacion-nocturna-con-fidel-castro-cita-en-cancilleria,cat_personales,belongs_to
ref_traslado-posterior-a-paris-ministro-consejero,cat_personales,belongs_to
ref_relacion-con-escritores-cubanos-grupo-critico,cat_personales,belongs_to
ref_pablo-neruda-embajador-y-amigo,cat_personales,belongs_to
ref_neruda-sugiere-a-edwards-para-paris-mencion-en-memorias,cat_personales,belongs_to
ref_contacto-con-fidel-castro-conversaciones,cat_personales,belongs_to
ref_raul-castro-reunion-formal,cat_personales,belongs_to
ref_raul-roa-canciller-cubano,cat_personales,belongs_to
ref_relacion-con-neruda-trabajo-en-deudas-y-juicios-del-cobre,cat_personales,belongs_to
ref_persona-non-grata-libro-testimonio,cat_culturales,belongs_to
ref_el-peso-de-la-noche-novela,cat_culturales,belongs_to
ref_las-mascaras-relatos,cat_culturales,belongs_to
ref_el-patio-obra,cat_culturales,belongs_to
ref_gente-de-la-ciudad-obra,cat_culturales,belongs_to
ref_temas-y-variaciones-ensayos,cat_culturales,belongs_to
ref_genero-narracion-autobiografica-tradicion-chilena,cat_culturales,belongs_to
ref_boom-latinoamericano-termino,cat_culturales,belongs_to
ref_alfonso-reyes,cat_culturales,belongs_to
ref_ruben-dario,cat_culturales,belongs_to
ref_pablo-neruda-memorias,cat_culturales,belongs_to
ref_luis-de-gongora,cat_culturales,belongs_to
ref_francisco-de-quevedo,cat_culturales,belongs_to
ref_juan-de-tasis-conde-de-villamediana,cat_culturales,belongs_to
ref_joanot-martorell-tirant-lo-blanc,cat_culturales,belongs_to
ref_flaubert-gustave,cat_culturales,belongs_to
ref_albert-camus,cat_culturales,belongs_to
ref_georges-bataille,cat_culturales,belongs_to
