id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_jorge-edwards-diplomatico-y-escritor,Jorge Edwards (diplomático y escritor),reference,Personales y biográficas,Diplomático de carrera y escritor; misión en La Habana y testimonio en 'Persona non grata'.
ref_nombramiento-a-la-habana-7-de-diciembre-de-1970,Nombramiento a La Habana (7 de diciembre de 1970),reference,Personales y biográficas,“Eso ocurrió exactamente el 7 de diciembre de 1970”.
ref_encargado-de-negocios-rango,Encargado de negocios (rango),reference,Personales y biográficas,Fue enviado sin rango de embajador para evitar veto del Senado de Chile.
ref_llegada-a-aeropuerto-de-rancho-boyeros-la-habana,Llegada a aeropuerto de Rancho Boyeros (La Habana),reference,Personales y biográficas,“Llegué al aeropuerto de Rancho Bolleros… y no había nadie esperándome”.
ref_conversacion-nocturna-con-fidel-castro-cita-en-cancilleria,Conversación nocturna con Fidel Castro (cita en Cancillería),reference,Personales y biográficas,Encuentro inesperado con Fidel y Raúl Roa la víspera de su salida a París.
ref_traslado-posterior-a-paris-ministro-consejero,Traslado posterior a París (ministro consejero),reference,Personales y biográficas,Debía pasar como Ministro Consejero a la Embajada en París con Neruda.
ref_relacion-con-escritores-cubanos-grupo-critico,Relación con escritores cubanos (grupo crítico),reference,Personales y biográficas,Amigos desde 1968; el gobierno los consideraba “agentes” contrarrevolucionarios.
ref_pablo-neruda-embajador-y-amigo,Pablo Neruda (embajador y amigo),reference,Personales y biográficas,Trabajaron juntos en París; Neruda anima a Edwards a escribir su testimonio.
ref_neruda-sugiere-a-edwards-para-paris-mencion-en-memorias,Neruda sugiere a Edwards para París (mención en memorias),reference,Personales y biográficas,El entrevistador cita la mención de Neruda a Edwards en su libro de memorias.
ref_contacto-con-fidel-castro-conversaciones,Contacto con Fidel Castro (conversaciones),reference,Personales y biográficas,Conversación en el periódico Granma; interés de Fidel por Perú y Chile.
ref_raul-castro-reunion-formal,Raúl Castro (reunión formal),reference,Personales y biográficas,"Describe su eficiencia y formalidad, contraste con Fidel."
ref_raul-roa-canciller-cubano,Raúl Roa (canciller cubano),reference,Personales y biográficas,Ensayista y conversador; “tipo de intelectual latinoamericano”.
ref_relacion-con-neruda-trabajo-en-deudas-y-juicios-del-cobre,Relación con Neruda: trabajo en deudas y juicios del cobre,reference,Personales y biográficas,Embajada en París: frente de negociación del crédito y litigios con compañías del cobre.
ref_persona-non-grata-libro-testimonio,Persona non grata (libro-testimonio),reference,Culturales y artísticas,“Género de narración autobiográfica”; rechazo a “novelar” los hechos.
ref_el-peso-de-la-noche-novela,El peso de la noche (novela),reference,Culturales y artísticas,Calificada como la más importante entre sus primeras obras.
ref_las-mascaras-relatos,Las máscaras (relatos),reference,Culturales y artísticas,“El libro que a mí… me gusta más… el mejor realizado literariamente”.
ref_el-patio-obra,El patio (obra),reference,Culturales y artísticas,Mencionada entre los títulos del entrevistador.
ref_gente-de-la-ciudad-obra,Gente de la ciudad (obra),reference,Culturales y artísticas,Listada entre sus libros.
ref_temas-y-variaciones-ensayos,Temas y variaciones (ensayos),reference,Culturales y artísticas,Listada entre sus libros.
ref_genero-narracion-autobiografica-tradicion-chilena,Género: narración autobiográfica (tradición chilena),reference,Culturales y artísticas,Género entre historia y novela; fuerte en Chile por influencias inglesas y francesas.
ref_boom-latinoamericano-termino,Boom latinoamericano (término),reference,Culturales y artísticas,Usa la “horrible palabra boom”.
ref_alfonso-reyes,Alfonso Reyes,reference,Culturales y artísticas,Ejemplo de vínculo orgánico con España; humanismo universal.
ref_ruben-dario,Rubén Darío,reference,Culturales y artísticas,Cita su contacto con el mundo hispánico.
ref_pablo-neruda-memorias,Pablo Neruda (memorias),reference,Culturales y artísticas,El entrevistador cita una página 466 donde lo menciona.
ref_luis-de-gongora,Luis de Góngora,reference,Culturales y artísticas,Neruda hablaba a españoles de Góngora.
ref_francisco-de-quevedo,Francisco de Quevedo,reference,Culturales y artísticas,Neruda portaba ediciones antiguas de Quevedo.
ref_juan-de-tasis-conde-de-villamediana,"Juan de Tasis, Conde de Villamediana",reference,Culturales y artísticas,Mencionado por Neruda; erratas orales en la entrevista.
ref_joanot-martorell-tirant-lo-blanc,Joanot Martorell — Tirant lo Blanc,reference,Culturales y artísticas,Vargas Llosa escribe “excepcionalmente” sobre Martorell.
ref_flaubert-gustave,Flaubert (Gustave),reference,Culturales y artísticas,Ensayos de Vargas Llosa sobre autores franceses.
ref_albert-camus,Albert Camus,reference,Culturales y artísticas,Ensayos de Vargas Llosa sobre Camus.
ref_georges-bataille,Georges Bataille,reference,Culturales y artísticas,Citado por el entrevistador como tema de ensayo.
ref_mario-vargas-llosa,Mario Vargas Llosa,reference,Culturales y artísticas,Ensayista versátil; 'Pantaleón' como muestra de versatilidad.
ref_pantaleon-y-las-visitadoras-novela,Pantaleón y las visitadoras (novela),reference,Culturales y artísticas,Se menciona ‘Pantaleón’ al comentar su versatilidad.
ref_jorge-luis-borges,Jorge Luis Borges,reference,Culturales y artísticas,Parte de la tradición previa que el boom no debería olvidar.
ref_romulo-gallegos-dona-barbara,Rómulo Gallegos — Doña Bárbara,reference,Culturales y artísticas,Canon regionalista latinoamericano.
ref_ricardo-guiraldes-don-segundo-sombra,Ricardo Güiraldes — Don Segundo Sombra,reference,Culturales y artísticas,Canon rioplatense.
ref_arturo-uslar-pietri-las-lanzas-coloradas,Arturo Uslar Pietri — Las lanzas coloradas,reference,Culturales y artísticas,Ejemplo de tradición previa.
ref_federico-garcia-lorca,Federico García Lorca,reference,Culturales y artísticas,Neruda contaba anécdotas y lo recordaba con afecto.
ref_rafael-alberti,Rafael Alberti,reference,Culturales y artísticas,Recuerdos de Neruda.
