source,target,relation
ref_nacimiento-en-1928-ciudad-de-mexico,cat_personales,belongs_to
ref_hijo-de-diplomatico,cat_personales,belongs_to
ref_vida-itinerante-por-capitales-de-america,cat_personales,belongs_to
ref_bilinguismo-espanol-ingles,cat_personales,belongs_to
ref_escuela-de-maristas-educacion-religiosa,cat_personales,belongs_to
ref_estudios-de-derecho-abogado-no-concluye,cat_personales,belongs_to
ref_embajador-de-mexico-en-francia-dos-anos,cat_personales,belongs_to
ref_alfonso-reyes-mentor,cat_personales,belongs_to
ref_manuel-pedroso-maestro,cat_personales,belongs_to
ref_luis-cernuda-entrevista,cat_personales,belongs_to
ref_pablo-casals-encuentro,cat_personales,belongs_to
ref_charles-de-gaulle-entrevista,cat_personales,belongs_to
ref_familia-de-inmigrantes-espanoles-canarias-murcia-y-alemanes,cat_personales,belongs_to
ref_bisabuelo-socialista-lassalleano-oposicion-a-bismarck,cat_personales,belongs_to
ref_clase-social-alta-burguesia-mexicana,cat_personales,belongs_to
ref_trabajo-en-oit-oficina-internacional-del-trabajo,cat_personales,belongs_to
ref_jefe-de-relaciones-culturales-cancilleria,cat_personales,belongs_to
ref_agregado-cultural,cat_personales,belongs_to
ref_miembro-delegacion-mexicana-ginebra,cat_personales,belongs_to
ref_vida-en-washington-ocho-anos,cat_personales,belongs_to
ref_los-dias-enmascarados,cat_culturales,belongs_to
ref_la-region-mas-transparente,cat_culturales,belongs_to
ref_las-buenas-conciencias,cat_culturales,belongs_to
ref_la-muerte-de-artemio-cruz,cat_culturales,belongs_to
ref_aura,cat_culturales,belongs_to
ref_cantar-de-ciegos,cat_culturales,belongs_to
ref_cambio-de-piel-premio-biblioteca-breve-1967,cat_culturales,belongs_to
ref_zona-sagrada,cat_culturales,belongs_to
ref_terra-nostra,cat_culturales,belongs_to
ref_todos-los-gatos-son-pardos-teatro,cat_culturales,belongs_to
ref_el-tuerto-es-rey-teatro,cat_culturales,belongs_to
ref_tiempo-mexicano-ensayo,cat_culturales,belongs_to
ref_casa-con-dos-puertas-ensayo,cat_culturales,belongs_to
ref_la-nueva-novela-hispanoamericana-ensayo,cat_culturales,belongs_to
ref_debajo-del-volcan-adaptacion-frustrada,cat_culturales,belongs_to
ref_ciudadano-kane-orson-welles,cat_culturales,belongs_to
ref_luis-bunuel-influencia-y-amistad,cat_culturales,belongs_to
ref_eisenstein,cat_culturales,belongs_to
ref_meyerhold,cat_culturales,belongs_to
ref_pudovkin,cat_culturales,belongs_to
ref_miguel-de-cervantes-don-quijote,cat_culturales,belongs_to
ref_miguel-de-cervantes-autor,cat_culturales,belongs_to
ref_julio-verne,cat_culturales,belongs_to
ref_alejandro-dumas,cat_culturales,belongs_to
ref_robert-louis-stevenson,cat_culturales,belongs_to
ref_michel-zevaco-los-pardaillan,cat_culturales,belongs_to
ref_john-gerassi-biografo-de-sartre,cat_culturales,belongs_to
ref_jean-paul-sartre,cat_culturales,belongs_to
ref_stendhal-codigo-civil-napoleonico,cat_culturales,belongs_to
ref_pablo-picasso-dibujo-clasico,cat_culturales,belongs_to
ref_honore-de-balzac-cesar-birotteau,cat_culturales,belongs_to
ref_octavio-paz,cat_culturales,belongs_to
ref_borges,cat_culturales,belongs_to
ref_onetti,cat_culturales,belongs_to
ref_carpentier,cat_culturales,belongs_to
ref_vargas-llosa,cat_culturales,belongs_to
ref_garcia-marquez,cat_culturales,belongs_to
ref_cortazar,cat_culturales,belongs_to
ref_rulfo-pedro-paramo-mencion,cat_culturales,belongs_to
ref_siqueiros-pintor-leyo-novela-juvenil,cat_culturales,belongs_to
ref_juan-jose-arreola-los-presentes,cat_culturales,belongs_to
ref_chac-mool-cuento-en-antologia,cat_culturales,belongs_to
ref_malcolm-lowry-bajo-el-volcan,cat_culturales,belongs_to
ref_antonio-tobar-critico,cat_culturales,belongs_to
ref_tobar-resenas-sobre-terra-nostra,cat_culturales,belongs_to
ref_platon-la-republica,cat_pensamiento,belongs_to
ref_maquiavelo-el-principe,cat_pensamiento,belongs_to
