id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento-en-1928-ciudad-de-mexico,Nacimiento en 1928 (Ciudad de México),reference,Personales y biográficas,"…leído o terminen de leer Terra Nostra, que es la última obra de Carlos Fuentes. Carlos, que nació en 1928 en México, es hijo de diplomático, ha sido diplomático en sus primeros años, en sus años…"
ref_hijo-de-diplomatico,Hijo de diplomático,reference,Personales y biográficas,"…ue es la última obra de Carlos Fuentes. Carlos, que nació en 1928 en México, es hijo de diplomático, ha sido diplomático en sus primeros años, en sus años mozos, dejó después la c…"
ref_vida-itinerante-por-capitales-de-america,Vida itinerante por capitales de América,reference,Personales y biográficas,"…de decir, Joaquín, mi padre era diplomático de carrera, entonces pues llevé esa vida un poco de gitano con frac, que es la de los diplomáticos recorriendo muchas capitales, sobre todo del hem…"
ref_bilinguismo-espanol-ingles,Bilingüismo español-inglés,reference,Personales y biográficas,"…secretario de la embajada. Posteriormente en Washington, donde pasé ocho años y me hice totalmente bilingüe, y tuve, por cierto, una infancia muy desgraciada, una infancia sin vacaciones,…"
ref_escuela-de-maristas-educacion-religiosa,Escuela de maristas (educación religiosa),reference,Personales y biográficas,"…madre decidió que entrara por primera vez a una escuela religiosa. Estuve en la escuela de los maristas. Para mí fue un shock el descubrimiento de la cultura católica, de nociones del…"
ref_estudios-de-derecho-abogado-no-concluye,"Estudios de Derecho (abogado, no concluye)",reference,Personales y biográficas,"…echo me dio en gran medida el conocimiento de las formas a violar. Regresé a la Escuela de Derecho en México, tuve la enorme ventaja de conocer a un gran maestro español, un refu…"
ref_embajador-de-mexico-en-francia-dos-anos,Embajador de México en Francia (dos años),reference,Personales y biográficas,"…ra diplomática a la que volvió recientemente y ha cesado a petición propia como embajador de México en París hace unos meses, a raíz del nombramiento del nuevo embajador de México en Españ…"
ref_alfonso-reyes-mentor,Alfonso Reyes (mentor),reference,Personales y biográficas,"…Janeiro, donde tuve mi primer contacto con la literatura en las rodillas de don Alfonso Reyes, que era entonces el embajador nuestro, mi padre el secretario de la embajada.…"
ref_manuel-pedroso-maestro,Manuel Pedroso (maestro),reference,Personales y biográficas,"…ocer a un gran maestro español, un refugiado de la inmigración republicana, don Manuel Pedroso, que había sido rector de la Universidad de Sevilla, un gran internacionalista,…"
ref_luis-cernuda-entrevista,Luis Cernuda (entrevista),reference,Personales y biográficas,"…momentos a México, con todos los escritores radicados en México, Emilio Prados, Luis Cernuda, Manuel Alto Laguirre, Garfias, tanta gente que se hizo mexicana y nos hizo esp…"
ref_pablo-casals-encuentro,Pablo Casals (encuentro),reference,Personales y biográficas,
ref_charles-de-gaulle-entrevista,Charles de Gaulle (entrevista),reference,Personales y biográficas,
ref_familia-de-inmigrantes-espanoles-canarias-murcia-y-alemanes,"Familia de inmigrantes españoles (Canarias, Murcia) y alemanes",reference,Personales y biográficas,
ref_bisabuelo-socialista-lassalleano-oposicion-a-bismarck,Bisabuelo socialista lassalleano (oposición a Bismarck),reference,Personales y biográficas,
ref_clase-social-alta-burguesia-mexicana,Clase social: alta burguesía mexicana,reference,Personales y biográficas,"…problemas. No, no, sin ningún problema, sin ningún problema. Yo pertenezco a la alta burguesía mexicana, sí. ¿De algún modo eso tú crees que también te planteó ya un condicionamiento…"
ref_trabajo-en-oit-oficina-internacional-del-trabajo,Trabajo en OIT (Oficina Internacional del Trabajo),reference,Personales y biográficas,
ref_jefe-de-relaciones-culturales-cancilleria,Jefe de Relaciones Culturales (Cancillería),reference,Personales y biográficas,
ref_agregado-cultural,Agregado cultural,reference,Personales y biográficas,"…la Oficina Internacional de Trabajo, a ver si hay un poco de agua por ahí. Fue agregado cultural de su embajada, vuelto a México, estuvo en la administración, trabajando en la…"
ref_miembro-delegacion-mexicana-ginebra,Miembro delegación mexicana (Ginebra),reference,Personales y biográficas,
ref_vida-en-washington-ocho-anos,Vida en Washington (ocho años),reference,Personales y biográficas,"…, que era entonces el embajador nuestro, mi padre el secretario de la embajada. Posteriormente en Washington, donde pasé ocho años y me hice totalmente bilingüe, y tuve, por cierto, una infancia muy desgraciada…"
ref_los-dias-enmascarados,Los días enmascarados,reference,Culturales y artísticas,"…ico, y ahí apareció precisamente Carlos Fuentes con su primer libro de cuentos, Los días enmascarados. Sí. No sé si lo tenemos por aquí. No, no, no, está editado. Está agotado. Está…"
ref_la-region-mas-transparente,La región más transparente,reference,Culturales y artísticas,"…iví un poco en la diplomacia, como acabas de decir, y cuando mi primera novela, La Región Más Transparente, tuvo un gran éxito editorial en México, esto me permitió ya vivir de mis regal…"
ref_las-buenas-conciencias,Las buenas conciencias,reference,Culturales y artísticas,…socioeconómicas y políticas de su país la segunda novela en el año 59 se llama las buenas conciencias bueno la región más transparente es esta que tenemos aquí las buenas conciencia…
ref_la-muerte-de-artemio-cruz,La muerte de Artemio Cruz,reference,Culturales y artísticas,"…o del cual crecí, asumí y describí notablemente en La Región Más Transparente y la muerte de Artemio Cruz, que son dos libros críticos sobre esta situación. Y creo que esto contesta a t…"
ref_aura,Aura,reference,Culturales y artísticas,"…me tocó de niño, la revolución mexicana, un poco como Japón, después de la restauración de los Meiji, en los 1860s, creó un Estado Nacional que a su vez creó a las…"
ref_cantar-de-ciegos,Cantar de ciegos,reference,Culturales y artísticas,…otro par de libros que no son aunque se haya dicho de tono menor que son Aura y Cantar de Ciegos que no sé si los tenemos aquí me parece que no en todo caso Aura es una novela…
ref_cambio-de-piel-premio-biblioteca-breve-1967,Cambio de piel (Premio Biblioteca Breve 1967),reference,Culturales y artísticas,"…ltó a la general curiosidad y al conocimiento de las mayorías. Fue con su libro Cambio de Piel, considerado por gran parte de los críticos como su obra cumbre, como su obra m…"
