source,target,relation
ref_feria-del-libro-de-frankfurt,cat_contexto,belongs_to
ref_cordoba-sierras,cat_contexto,belongs_to
ref_jose-lezama-lima,cat_culturales,belongs_to
ref_budismo,cat_pensamiento,belongs_to
ref_orinoco-rio,cat_contexto,belongs_to
ref_alfonso-reyes,cat_personales,belongs_to
ref_gabriel-garcia-marquez,cat_culturales,belongs_to
ref_uruguay,cat_contexto,belongs_to
ref_federico-garcia-lorca,cat_culturales,belongs_to
ref_ernesto-sabato,cat_personales,belongs_to
ref_mahoma,cat_pensamiento,belongs_to
ref_ciudad-de-mexico,cat_contexto,belongs_to
ref_palma-de-mallorca,cat_contexto,belongs_to
ref_buenos-aires,cat_contexto,belongs_to
ref_mexico,cat_contexto,belongs_to
ref_caracas,cat_contexto,belongs_to
ref_juan-marse,cat_culturales,belongs_to
ref_europa,cat_contexto,belongs_to
ref_jorge-luis-borges,cat_culturales,belongs_to
ref_miguel-de-cervantes-don-quijote-de-la-mancha,cat_culturales,belongs_to
ref_mexico-pais,cat_contexto,belongs_to
ref_julio-verne,cat_culturales,belongs_to
ref_londres,cat_contexto,belongs_to
ref_dante-alighieri,cat_culturales,belongs_to
ref_fervor-de-buenos-aires-1923,cat_culturales,belongs_to
ref_rafael-alberti,cat_culturales,belongs_to
ref_william-faulkner,cat_culturales,belongs_to
ref_bruselas,cat_contexto,belongs_to
ref_hernan-cortes,cat_culturales,belongs_to
ref_coran,cat_pensamiento,belongs_to
ref_juan-rulfo,cat_culturales,belongs_to
ref_cesar-vallejo,cat_culturales,belongs_to
ref_ceguera-progresiva,cat_personales,belongs_to
ref_colorado,cat_contexto,belongs_to
ref_nueva-york,cat_contexto,belongs_to
ref_juan-carlos-onetti,cat_culturales,belongs_to
ref_luis-de-gongora,cat_culturales,belongs_to
ref_octavio-paz,cat_culturales,belongs_to
ref_victoria-ocampo,cat_personales,belongs_to
ref_peru,cat_contexto,belongs_to
ref_ricardo-guiraldes-don-segundo-sombra,cat_culturales,belongs_to
ref_miguel-de-unamuno,cat_culturales,belongs_to
ref_juan-ramon-jimenez,cat_culturales,belongs_to
ref_francia,cat_contexto,belongs_to
ref_pablo-neruda,cat_culturales,belongs_to
ref_diego-rivera,cat_culturales,belongs_to
ref_provincia-de-buenos-aires,cat_contexto,belongs_to
ref_antonio-machado,cat_culturales,belongs_to
ref_edimburgo,cat_contexto,belongs_to
ref_paris,cat_contexto,belongs_to
ref_la-habana,cat_contexto,belongs_to
ref_festival-de-san-sebastian-cine,cat_culturales,belongs_to
ref_vargas-llosa,cat_culturales,belongs_to
ref_estados-unidos,cat_contexto,belongs_to
ref_pio-baroja,cat_culturales,belongs_to
ref_universidad-de-chile,cat_pensamiento,belongs_to
ref_carlos-fuentes,cat_culturales,belongs_to
ref_andalucia,cat_contexto,belongs_to
ref_miguel-de-cervantes,cat_culturales,belongs_to
ref_albert-camus,cat_culturales,belongs_to
ref_miguel-angel-asturias,cat_culturales,belongs_to
ref_italia,cat_contexto,belongs_to
ref_don-quijote-de-la-mancha,cat_culturales,belongs_to
ref_cuauhtemoc,cat_culturales,belongs_to
ref_seix-barral-editorial,cat_culturales,belongs_to
ref_alejo-carpentier,cat_culturales,belongs_to
ref_madrid,cat_contexto,belongs_to
ref_ginebra,cat_contexto,belongs_to
ref_mario-vargas-llosa,cat_culturales,belongs_to
ref_cuba,cat_contexto,belongs_to
ref_francisco-de-quevedo,cat_culturales,belongs_to
ref_japon,cat_contexto,belongs_to
ref_roma-italia,cat_contexto,belongs_to
ref_rio-de-janeiro,cat_contexto,belongs_to
ref_argentina,cat_contexto,belongs_to
ref_british-council,cat_pensamiento,belongs_to
ref_herrera-petere,cat_culturales,belongs_to
ref_la-plata,cat_contexto,belongs_to
ref_jean-paul-sartre,cat_culturales,belongs_to
ref_julio-cortazar,cat_culturales,belongs_to
ref_ernest-hemingway,cat_culturales,belongs_to
ref_lima,cat_contexto,belongs_to
ref_sevilla,cat_contexto,belongs_to
ref_holderlin,cat_culturales,belongs_to
ref_guillermo-de-torre,cat_culturales,belongs_to
ref_mallorca,cat_contexto,belongs_to
ref_joseph-conrad,cat_culturales,belongs_to
ref_suiza,cat_contexto,belongs_to
ref_victor-hugo,cat_culturales,belongs_to
ref_jalisco,cat_contexto,belongs_to
ref_robert-louis-stevenson,cat_culturales,belongs_to
ref_espana,cat_contexto,belongs_to
ref_chile,cat_contexto,belongs_to
ref_inglaterra,cat_contexto,belongs_to
ref_santiago-de-chile,cat_contexto,belongs_to
