id,label,type,group,note
cat_culturales,Culturales y artísticas,categoria,Culturales y artísticas,
cat_contexto,Contexto socio-histórico,categoria,Contexto socio-histórico,
cat_personales,Personales y biográficas,categoria,Personales y biográficas,
cat_pensamiento,Pensamiento y conocimiento,categoria,Pensamiento y conocimiento,
aut_benedetti,Benedetti,autor,autor,
aut_borges1,Borges1,autor,autor,
aut_borges2,Borges2,autor,autor,
aut_cabrera-infante,Cabrera Infante,autor,autor,
aut_carpentier,Carpentier,autor,autor,
aut_cortazar,Cortazar,autor,autor,
aut_donoso,Donoso,autor,autor,
aut_edwards,Edwards,autor,autor,
aut_fuentes,Fuentes,autor,autor,
aut_mujica-lainez,Mujica Lainez,autor,autor,
aut_octavio-paz,Octavio Paz,autor,autor,
aut_onetti,Onetti,autor,autor,
aut_petit-de-murat,Petit De Murat,autor,autor,
aut_puig,Puig,autor,autor,
aut_roa-bastos,Roa Bastos,autor,autor,
aut_rulfo,Rulfo,autor,autor,
aut_sabato,Sabato,autor,autor,
aut_scorza,Scorza,autor,autor,
aut_severo-sarduy,Severo Sarduy,autor,autor,
aut_skarmeta,Skarmeta,autor,autor,
aut_uslar-pietri,Uslar Pietri,autor,autor,
aut_vargas-llosa,Vargas Llosa,autor,autor,
ref_albert-camus,Albert Camus,referencia,Culturales y artísticas,"Edwards: “Ensayos de Vargas Llosa sobre Camus.”
Vargas Llosa: “…ras antes de las lecturas ya universitarias cuando yo entré a la universidad, por supuesto es decir, Sartre y Camus, digamos eran un poco los maestros intelectuales de mi generación y creo que ocurría eso prácticamente…”"
ref_alejo-carpentier,Alejo Carpentier,referencia,Culturales y artísticas,"Cabrera Infante: “…te el mejor escritor cubano o al menos el autor del que yo considero mejor libro cubano a Alejo Carpentier que es un escritor francés que escribe en español y a Nicolás Guillén finalmente Así en l…”
Scorza: “…introducido la mitología justamente la gran mitología antigua ¿no? porque eso no se conocía ¿no? después está Carpentier Alejo Carpentier y todos los que todos los que ustedes conocen porque España ha sido en eso cumpl…”"
ref_alfonso-reyes,Alfonso Reyes,referencia,Personales y biográficas,"Borges2: “…Lo que he escrito, bueno, lo he escrito una vez, tratado de corregirlo, y luego lo he dejado atrás. Alfonso Reyes me dijo, publicamos para no pasarnos la vida corrigiendo borradores, para librarnos de un texto, y…”
Carpentier: “…infancia ya es otra cosa pero todo se arregló muy bien porque yo tenía un amigo en París que era muy amigo de Alfonso Reyes quien me iba a decir que yo me iba a ganar el premio Alfonso Reyes casi medio siglo después ca…”
Edwards: “Ejemplo de vínculo orgánico con España; humanismo universal.”"
ref_andalucia,Andalucía,referencia,Contexto socio-histórico,"Fuentes: “…s hombres nuevos salidos de las pequeñas ciudades de Extremadura de Castilla de Andalucía que eran hijos de molineros de porquerizos fueron derrotados ellos los conquist…”
Octavio Paz: “…rmado, era de ascendencia española, hija de andaluces. Exactamente, mi madre es de origen andaluz, del sur de Andalucía, mi abuelo era de Medina Sidonia y mi abuela del puerto de Santa María, si no recuerdo mal. Y, bue…”
Roa Bastos: “…mucho pero al mismo tiempo no tanto ya por conocer como es el caso de la región andaluza por ejemplo que realmente hasta ahora no conozco ¿Más obras suyas han sido llev…”"
ref_antonio-machado,Antonio Machado,referencia,Culturales y artísticas,"Borges1: “…do me lo da también. Pero yo creo que han sido despreciados por razones políticas, nada más, ¿eh? Y Antonio Machado, desde luego, los grandes poetas de la lengua castellana. Digo, no siempre, pero a veces lo era y c…”
Octavio Paz: “…otros colores, me parece que la poesía de Cernuda no es ni negra ni roja, la poesía de Jiménez tampoco, la de Machado tampoco, no podemos reducir una literatura a los colores quizá, yo creo que la literatura española m…”"
ref_argentina,Argentina,referencia,Contexto socio-histórico,"Benedetti: “…egado a nosotros a través de Nacha Guevara, que fue una maravillosa intérprete de Benedetti en Uruguay, en la Argentina, en todo el cono sur y en otros países. Ahí tenemos, por cierto, me lo quieres dejar un momento, e…”
Borges1: “…stro espíritu, al maestro Jorge Luis Borges. El maestro Borges nos ha hecho el honor de venir desde Argentina para estar un largo rato con nosotros, conversando. No nos ha puesto condición alguna, nos ha pedid…”
Cortazar: “…que tu padre era diplomático. No, no es exacto. No, mi padre era técnico en ciertas materias económicas en la Argentina, y entonces lo pusieron al frente de una misión económica que estaba agregada a la legación argent…”
Puig: “…anuel Puig, puesto que el apellido es catalán, nace en General Villegas, provincia de Buenos Aires, República Argentina, el día 28 de diciembre de 1932. Querido Manuel, muchas gracias por estar aquí con nosotros, por a…”
Roa Bastos: “…scurre la acción de varios de mis textos narrativos hay después una larga etapa argentina una larga etapa en Buenos Aires importante en su vida o como la ve desde ahora…”
Sabato: “…la Primera Guerra Mundial, cuando los árabes eran súbditos todos del Imperio Otomano. En Argentina se le dice turco a todos ellos, como se le dice ruso generalmente a los judíos. Es un paí…”"
ref_barcelona,Barcelona,referencia,Contexto socio-histórico,"Borges1: “…rges? ¿Qué es para usted? Este país en el que está ahora, maestro. ¿Vive usted algún tiempo poco en Barcelona? Sí, pero yo recuerdo más bien las veladas del café colonial de Cancino Sancense. Luego estuvo uste…”
Cabrera Infante: “…hice algunas alteraciones fue admitido y se publicó aquí definitivamente por 6 barral en Barcelona. Esa ruptura suya con la Cuba de Castro fue una ruptura, en cierto modo, pactada, una rup…”
Cortazar: “…ral, en este caso Suiza, y luego España, y por eso es que yo entre un año y medio y tres años y medio viví en Barcelona hasta que en 1918, una vez terminada la lucha, la familia pudo volver a la Argentina. De esos años…”
Donoso: “…ómetros y se caía al mar, que era lo máximo que podía hacer. Entonces, luego nos fuimos a Barcelona, vivimos un tiempo en Barcelona, y cuando estábamos como agobiados de tanta gente, de tan…”
Octavio Paz: “…n de por la alianza de intelectuales antifascistas que organizan un congreso que se celebra en París, Madrid, Barcelona y Valencia. ¿No es eso? Había en México una organización de escritores antifascistas que se llamab…”
Petit De Murat: “…jado historia. Y los que unieron de Chile, los que cruzaron la cordillera, fue porque la primera fundación de Barcelona en 1536, por Don Pedro de Mendoza, la ciudad destruida, se soltó el ganado. Y con unos pastos incr…”
Roa Bastos: “…fue mi primera visita a España de San Sebastián hice una larga recorrida hasta Barcelona en fin de España me queda realmente mucho pero al mismo tiempo no tanto ya por…”
Rulfo: “…ulfo? Pues de España conozco bastante, bastante, unas ciudades muy interesantes, como Segovia, Ávila, Toledo, Barcelona, Girona. Me interesa sobre todo la zona románica de España. Una de sus aficiones, si no estoy mal…”
Severo Sarduy: “…on los cantantes? es una novela que está prácticamente agotada si será reeditada muy pronto por Sex Barral en Barcelona Barral la rechazó cuando le fue presentada si de tal manera que se publicó primero en Francia me p…”
Vargas Llosa: “…a España y presenté aquí a un concurso un concurso de libros de cuentos que había organizado una editorial de Barcelona que se llamaba la editorial Rocas y ese fue mi primer libro publicado ¿guardas por él una cierta e…”"
ref_british-council,British Council,referencia,Pensamiento y conocimiento,"Fuentes: “nan”
Roa Bastos: “…ctor en jefe de un diario independiente del Paraguay había sido invitado por el British Council para venir a Inglaterra a ver de cerca lo que significaba por ejemplo el bombar…”"
ref_bruselas,Bruselas,referencia,Contexto socio-histórico,"Cabrera Infante: “…yo tuve como una serie, un cierto exilio oficial porque fui nombrado agregado cultural en Bruselas, que era para Cuba como la otra cara de la luna. ¿Era una manera amable de alejarle a ust…”
Cortazar: “…nto de Julio Cortázar se produce accidentalmente en el sentido de que pudo ocurrir en cualquier otra parte en Bruselas a las 3 de la tarde del día 26 de agosto de 1914. Y parece que Julio ha contado alguna vez, me pare…”
Sabato: “…amiento se debió sobre todo a Stalin y a los crímenes del stalinismo. Cuando yo estuve en Bruselas, yo ya venía muy mal espiritualmente, yo tenía que ir a Rusia, a quedarme dos años en las…”"
ref_budismo,Budismo,referencia,Pensamiento y conocimiento,"Octavio Paz: “…realidad, de nuestro destino en esta tierra, que es la única que conozco, está profundamente influida por el budismo, yo creo. De manera que este hombre extraordinario nos permite acercarnos ahora a México y a tener a…”
Severo Sarduy: “…ando de derramar el color. Llegó hasta ese extremo contradictorio con... extremadamente contradictorio con el budismo que se le aplica puesto que quizás en esta moral que es el budismo puesto que no se trata de una rel…”"
ref_buenos-aires,Buenos Aires,referencia,Contexto socio-histórico,"Benedetti: “…uffalo Bill, me leí toda la colección completa de Buffalo Bill. Lógicamente. Del 38 al 41, pasas tres años en Buenos Aires. De ellos, estos tres años estuviste trabajando en una editorial, como taquígrafo. Sí. Como taq…”
Borges1: “…el mundo, había sentido grandes deseos de verle, le escribí, aceptó mi visita, un avión me puso en Buenos Aires y allí aparecí en la casa del gran maestro de la numismática literaria. El maestro Borges ya estaba…”
Cortazar: “…da la guerra, el regreso a la Argentina. Parece que entonces la familia se instala en un pueblecito cercano a Buenos Aires. Sí, en uno de los suburbios de Buenos Aires, que nosotros pronunciamos Banfield, pero que tien…”
Donoso: “…duró un año. Qué inteligente que era el papá, ¿no? Es. Es. Es. Entonces, de ahí me fui a Buenos Aires, estuve trabajando en el puerto en Buenos Aires un cuánto, unos seis, ocho meses, y pasó…”
Fuentes: “…ciencia, la politización de la gente era extraordinaria. Me tocó enseguida ir a Buenos Aires y asistir al ascenso del peronismo. Esta fue una experiencia desagradable de mi…”
Onetti: “…cribir. Pero es que fulano se pasó tanto tiempo buscando un editor, que no lo había, ¿no? Buenos Aires no lo había, hasta que no empezaron a llegar los españoles. Allá no hubo editoriales, ya…”
Roa Bastos: “…mis textos narrativos hay después una larga etapa argentina una larga etapa en Buenos Aires importante en su vida o como la ve desde ahora muy importante por eso decía hac…”
Sabato: “…amos a Rojas. ¿Era un pueblo rural? Sí, Rojas es un pueblo típicamente de la provincia de Buenos Aires. Nuestro país ha sido un país de inmigración. Es un país que desde el 1870, es decir, hac…”
Skarmeta: “Infancia; fútbol, tangos”"
ref_caracas,Caracas,referencia,Contexto socio-histórico,"Carpentier: “…uno de ellos. Por ejemplo, este que les presentamos hoy, al que yo conocí en Venezuela. Era una ciudad, la de Caracas y todo el país venezolano que él amaba mucho y especialmente estuvo largo tiempo invitado por uno de…”
Cortazar: “…largo de los años y por ejemplo ya para darte una situación más concreta hace dos años estuve en México y en Caracas y hablé con dialogué con los estudiantes de las universidades y cuando llegó el momento de las pregun…”
Vargas Llosa: “…te obtuvo un premio de gran importancia que fue el primer premio Rómulo Gallegos Rómulo Gallegos el año 66 en Caracas donde por cierto en ese momento se produce un hecho que tiene su importancia histórica y es que Mari…”"
ref_carlos-fuentes,Carlos Fuentes,referencia,Culturales y artísticas,"Cortazar: “…fue hecha sin el menor apoyo editorial y que cuando los editores se despertaron a mis libros, a los libros de Fuentes, a los de García Márquez, a los de Vargas Llosa, se despertaron porque las primeras precarias y difí…”
Donoso: “…punta son los de siempre los de siempre Gabriel García Márquez y Mario Mario Vargas Llosa Carlos Fuentes Cortázar digamos punto esos son en mi generación los cuatro líderes yo diría que sí yo di…”
Onetti: “…boom, del llamado boom. Es decir, de Mario Vargas Llosa, García Márquez, Julio Cortázar, Carlos Fuentes. Bueno, en ese boom yo creo que está usted también, claro. No, no, no. Fue arrastrado por…”
Roa Bastos: “…es el caso de Cortázar o de Gabriel García Márquez o de Mario Vargas Llosa o de Carlos Fuentes surgían al primer plano de una arrolladora campaña de publicidad digamos el fen…”"
ref_ceguera-progresiva,Ceguera progresiva,referencia,Personales y biográficas,"Borges1: “…en la casa del gran maestro de la numismática literaria. El maestro Borges ya estaba prácticamente ciego, había que llevarlo del brazo o él se colgaba del brazo de uno. Así subimos a su casa, me enseñó en…”
Borges2: “…d para escribir, para trabajar? Es que no puede ser otra cosa. Pero ¿cómo con sus problemas, con la ceguera, con todo esto? Es cierto. Tiene usted que batir, tiene usted dificultades múltiples que vencer par…”"
ref_cesar-vallejo,César Vallejo,referencia,Culturales y artísticas,"Octavio Paz: “…ional de Aleixandre, la fabulación metafísica de Borges, el aliento épico de Huidobro, la gallardía verbal de Vallejo. Su obra sólo cobra sentido en ese marco, el de los colosos, el de los gigantes. Bienvenido sea Octa…”
Sabato: “…no se explica por qué dos de los más grandes poetas de la lengua castellana Rubén Darío y César Vallejo descendían de indios y no solamente grandes poetas de la lengua castellana poetas que can…”
Severo Sarduy: “…erse porque creo que esta decisión no se toma nunca se va a París por un fin de semana siempre y después como Vallejo se dice yo moriré en París con Aguacero un día del que tengo ya el recuerdo ¿fuiste para un fin de s…”"
ref_chile,Chile,referencia,Contexto socio-histórico,"Donoso: “…la venta otra obra este domingo, que ya había aparecido en 1966 en México y más tarde en Chile. José Donoso es un gran escritor chileno que desde hace algunos años vive entre nosotros…”
Edwards: “País de origen y eje de la entrevista.”
Petit De Murat: “…ibu y se terminaba la historia, la historia que se iba contando. No han dejado historia. Y los que unieron de Chile, los que cruzaron la cordillera, fue porque la primera fundación de Barcelona en 1536, por Don Pedro d…”"
ref_ciudad-de-mexico,Ciudad de México,referencia,Contexto socio-histórico,"Fuentes: “…que molestó, irritó y tuvo tanta repercusión en México porque yo podía ver a la ciudad de México y podía ver el fenómeno histórico mexicano con una distancia que no tenían mis…”
Octavio Paz: “…alternando los escenarios de España y de México, íbamos presentando a Jacobo Zabludowsky en Madrid y yo en la Ciudad de México a las grandes figuras, las grandes estrellas, los grandes músicos, los mariachis, los canta…”"
ref_colorado,Colorado,referencia,Contexto socio-histórico,"Cabrera Infante: “…ue filmada en California es decir parte de ella en California en los estados de Nevada de Colorado de Nuevo México y yo fui por primera vez y creo que soy el primer escritor latinoamerican…”
Donoso: “…ca y me fui a Estados Unidos en Estados Unidos en la Universidad de los Montes Rocosos de Colorado tuve un ataque de úlcera espantoso y el pájaro estaba ahí el pájaro me estaba comiendo la…”"
ref_coran,Corán,referencia,Pensamiento y conocimiento,"Roa Bastos: “nan”
Uslar Pietri: “«…en el Corán no se menciona al camello…»”"
ref_cordoba-sierras,Cordoba Sierras,referencia,Contexto socio-histórico,"Mujica Lainez: “…nvertido En colecciones realmente impresionantes Muchas de las cuales Están ya recogidas En su casa actual En Córdoba Una casa Donde vivo hace ocho años Que debe ser interesantísima Que está descrita En algunos de los…”
Sabato: “…difícil en el que Ernesto Sábato abandona Buenos Aires y se marcha a vivir a un rancho en Córdoba ¿tuvo algo que ver con eso el peronismo? Sí en parte el peronismo en parte mi crisis con…”"
ref_cuauhtemoc,Cuauhtémoc,referencia,Culturales y artísticas,"Fuentes: “…rescatarlo de su postración. Es significativo que en México hay una estatua de Cuauhtémoc, del último emperador azteca vencido, en Lima y una estatua de Pizarro. En Lima…”
Octavio Paz: “…ertida. Es una novela un poco cursi, o bastante cursi, mejor dicho, en la cual los personajes principales son Cuauhtémoc y Cortés. Y el último capítulo pasa en el cielo, cuando Cortés, que se ha portado mal sobre la ti…”"
ref_cuba,Cuba,referencia,Contexto socio-histórico,"Carpentier: “…a primavera. Digamos que tuvo el buen gusto de elegir París para morirse y siendo nada menos que embajador de Cuba. Tenemos ahora, a partir de este momento, 90 minutos suntuosos para estar con Alejo Carpentier. No perd…”
Edwards: “Bloqueo OEA; revolución; políticas agrarias.”
Severo Sarduy: “…osé Lezama Lima, Alejo Carpentier, Guillermo Cabrera Infante, Reinaldo Arenas y Severo Sarduy, que hoy cuenta Cuba con los mayores exponentes de la literatura neobarroca en la América Hispana. Esto está al principio de…”"
