source,target,relation
ref_nombre-manuel-mujica-lainez,cat_personales,belongs_to
ref_apodo-manucho,cat_personales,belongs_to
ref_nacimiento-1910,cat_personales,belongs_to
ref_accidente-infantil-caida-en-agua-hirviendo-un-ano-en-cama,cat_personales,belongs_to
ref_aprendizaje-de-natacion-forzoso-con-soga-en-piscina,cat_personales,belongs_to
ref_estudios-en-paris-y-londres-adolescencia,cat_personales,belongs_to
ref_regreso-a-argentina-en-1928,cat_personales,belongs_to
ref_entrada-en-diario-la-nacion-seccion-sociedad,cat_personales,belongs_to
ref_secretario-del-museo-de-arte-decorativo,cat_personales,belongs_to
ref_director-de-relaciones-culturales-cancilleria,cat_personales,belongs_to
ref_academia-argentina-de-letras-ingreso-junto-a-borges,cat_personales,belongs_to
ref_sociedad-argentina-de-escritores-vicepresidente,cat_personales,belongs_to
ref_casa-en-cordoba-el-paraiso-siete-chimeneas,cat_personales,belongs_to
ref_biblioteca-personal-de-20000-libros,cat_personales,belongs_to
ref_colecciones-idolos-incaicos-ceramicas-precolombinas,cat_personales,belongs_to
ref_albums-collage-memorias-graficas-8-tomos,cat_personales,belongs_to
ref_hijos-diego-periodista-ana-escritora-manuel-locutor,cat_personales,belongs_to
ref_metodo-de-trabajo-escribe-a-mano-de-manana-y-copia-a-maquina-por-la-tarde,cat_personales,belongs_to
ref_madre-longeva-91-anos-y-central-en-su-vida,cat_personales,belongs_to
ref_tias-pepita-ana-maria-marta-religiones-orientales-literatura,cat_personales,belongs_to
ref_abuela-poliglota-con-kiosco-chino,cat_personales,belongs_to
ref_padre-abogado-clubman,cat_personales,belongs_to
ref_borges-amistad-y-paralelismos,cat_personales,belongs_to
ref_victoria-ocampo,cat_personales,belongs_to
ref_silvina-ocampo,cat_personales,belongs_to
ref_adolfo-bioy-casares,cat_personales,belongs_to
ref_ernesto-sabato,cat_personales,belongs_to
ref_sara-gallardo,cat_personales,belongs_to
ref_alberto-gerchunoff,cat_personales,belongs_to
ref_jacinto-benavente-elogio-a-obra-de-su-madre,cat_personales,belongs_to
ref_americo-castro-acentuacion-del-apellido,cat_personales,belongs_to
ref_don-galaz-de-buenos-aires-1938,cat_culturales,belongs_to
ref_miguel-cane-biografia,cat_culturales,belongs_to
ref_canto-a-buenos-aires-poema-en-alejandrinos,cat_culturales,belongs_to
ref_la-vida-de-aniceto-el-gallo-hilario-ascasubi,cat_culturales,belongs_to
ref_la-vida-de-anastasio-el-pollo,cat_culturales,belongs_to
ref_aqui-vivieron,cat_culturales,belongs_to
ref_misteriosa-buenos-aires,cat_culturales,belongs_to
ref_los-idolos,cat_culturales,belongs_to
ref_la-casa,cat_culturales,belongs_to
ref_los-viajeros,cat_culturales,belongs_to
ref_invitados-en-el-paraiso,cat_culturales,belongs_to
ref_bomarzo-novela,cat_culturales,belongs_to
ref_el-unicornio,cat_culturales,belongs_to
ref_cronicas-reales,cat_culturales,belongs_to
ref_cecil,cat_culturales,belongs_to
ref_el-laberinto-1974,cat_culturales,belongs_to
ref_el-viaje-de-los-siete-demonios,cat_culturales,belongs_to
ref_sergio-1976,cat_culturales,belongs_to
ref_los-cisnes-proximo,cat_culturales,belongs_to
ref_el-greco-el-entierro-del-conde-de-orgaz,cat_culturales,belongs_to
ref_gines-de-silva-nino-del-greco,cat_culturales,belongs_to
ref_diego-velazquez-las-meninas-nicolasito-pertusato,cat_culturales,belongs_to
ref_estatua-aquiles-en-esquiros-luis-xiv,cat_culturales,belongs_to
ref_versalles-tapiz-verde,cat_culturales,belongs_to
ref_videoteca-de-la-memoria-literaria-rtve,cat_culturales,belongs_to
ref_adaptacion-operistica-bomarzo,cat_culturales,belongs_to
ref_alberto-ginastera-compositor,cat_culturales,belongs_to
ref_palito-ortega-cancion,cat_culturales,belongs_to
ref_graciela-ayuste-cantante,cat_culturales,belongs_to
ref_budismo-buda-y-bodhisattvas-estela,cat_pensamiento,belongs_to
ref_siete-pecados-capitales-demonologia-literaria,cat_pensamiento,belongs_to
ref_heinrich-cornelius-agrippa-demonologia,cat_pensamiento,belongs_to
ref_stanislas-de-guaita-ocultismo,cat_pensamiento,belongs_to
ref_antiperonismo-destituciones-en-primer-gobierno-de-peron,cat_contexto,belongs_to
ref_revolucion-posterior-a-peron-designaciones-posteriores,cat_contexto,belongs_to
ref_prohibicion-de-la-opera-bomarzo-por-ongania,cat_contexto,belongs_to
ref_premio-john-kennedy-compartido-bomarzorayuela,cat_contexto,belongs_to
ref_estreno-bomarzo-en-washington-funciones-en-nueva-york,cat_contexto,belongs_to
ref_teatro-colon-buenos-aires,cat_contexto,belongs_to
ref_madrid-museo-del-prado,cat_contexto,belongs_to
ref_toledo-espana,cat_contexto,belongs_to
ref_buenos-aires-calle-maipu,cat_contexto,belongs_to
ref_mar-del-plata-argentina,cat_contexto,belongs_to
ref_cordoba-sierras,cat_contexto,belongs_to
ref_san-isidro-buenos-aires,cat_contexto,belongs_to
ref_montevideo-uruguay,cat_contexto,belongs_to
ref_pekin-beijing,cat_contexto,belongs_to
ref_tokio,cat_contexto,belongs_to
ref_manchuria-mukden-shenyang,cat_contexto,belongs_to
ref_larache-el-arache-marruecos,cat_contexto,belongs_to
ref_pernambuco-brasil,cat_contexto,belongs_to
ref_rio-de-janeiro,cat_contexto,belongs_to
ref_washington-d-c,cat_contexto,belongs_to
ref_nueva-york,cat_contexto,belongs_to
ref_roma-italia,cat_contexto,belongs_to
ref_versalles-francia,cat_contexto,belongs_to
ref_skyros-esquiros-grecia,cat_contexto,belongs_to
ref_paris,cat_contexto,belongs_to
ref_londres,cat_contexto,belongs_to
ref_zeppelin-vuelo-1935-desde-rio,cat_contexto,belongs_to
ref_hindenburg-accidente-helio,cat_contexto,belongs_to
ref_submarino-viaje-sumergido,cat_contexto,belongs_to
ref_rickshaw-chinamanchuria,cat_contexto,belongs_to
ref_troika-rusia,cat_contexto,belongs_to
ref_voltaire-candide-carta,cat_culturales,belongs_to
ref_luis-xvii,cat_culturales,belongs_to
ref_maria-antonieta,cat_culturales,belongs_to
ref_martin-fierro-jose-hernandez,cat_culturales,belongs_to
ref_hilario-ascasubi,cat_culturales,belongs_to
ref_juan-manuel-de-rosas-epoca-rosista,cat_culturales,belongs_to
ref_museo-historico-nacional-baul-de-ascasubi,cat_culturales,belongs_to
ref_hitchcock-sesion-con-nuera,cat_culturales,belongs_to
ref_united-press-hermano-periodista,cat_culturales,belongs_to
