id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_nombre-manuel-mujica-lainez,Nombre: Manuel Mujica Láinez,reference,Personales y biográficas,"…Manuel Mujica Lainez Este es un nombre bien importante de la literatura argentina De este escritor, la primera persona que me habl…"
ref_apodo-manucho,Apodo: Manucho,reference,Personales y biográficas,"…que podrán tenerlo para siempre en sus hogares Con la Videoteca de la Memoria Literaria Bien, este es el gran Manucho El hombre que alcanzó resonancia universal Y van ustedes a saber tantas cosas de él Que les va a encantar Y l…"
ref_nacimiento-1910,Nacimiento: 1910,reference,Personales y biográficas,…s ese Es el brillo De las sortijas De mi madre Que eran muy grandes Como se usaban entonces Yo nací en el año 1910 Ese es uno de los recuerdos Y el otro es El color de las glicinas Había en esa casa Una enredadera de glicina…
ref_accidente-infantil-caida-en-agua-hirviendo-un-ano-en-cama,Accidente infantil: caída en agua hirviendo; un año en cama,reference,Personales y biográficas,…y esperado Y además A la edad de cinco años Tuve una desgracia grande Me caí Dentro de un gran tacho Lleno de agua hirviendo Me quemé la mitad del cuerpo Y estuve un año entero en cama Y muy enfermo por supuesto Y los ojos Y el oído Y…
ref_aprendizaje-de-natacion-forzoso-con-soga-en-piscina,Aprendizaje de natación forzoso con soga en piscina,reference,Personales y biográficas,"…recuerdo Parecido Pero a la inversa Que es el de que Para que perdiera el miedo Al agua Lo ataron una vez Con una soga Por la cintura Sí Y lo dejaron caer En una piscina De agua helada Sí ¿Dónde has leído? Ah, eso está Eso está…"
ref_estudios-en-paris-y-londres-adolescencia,Estudios en París y Londres (adolescencia),reference,Personales y biográficas,"…yo le había oído Leer a mi madre Bueno, eso fue Fueron mis comienzos literarios Vienen luego los estudios En París y Londres En París y Londres Eso es Desde los 13 Más o menos Hasta los 17 años Este Mi padre Que Que Era mucho mayor Qu…"
ref_regreso-a-argentina-en-1928,Regreso a Argentina en 1928,reference,Personales y biográficas,"…ero a mí me hizo fondear allá Y no me quejo No me ha ido mal No me ha ido mal La vuelta a la Argentina Fue en 1928 Allí se termina el bachillerato Se empieza a estudiar Derecho Se abandona Derecho En el año 32 Sí, sí, yo no…"
ref_entrada-en-diario-la-nacion-seccion-sociedad,Entrada en diario La Nación (sección sociedad),reference,Personales y biográficas,…s tribunales a tal Un horror De manera que en el 32 Se cuelga la carrera Y empieza la vida periodística Sí En La Nación En La Nación Entré en el diario La Nación El diario de la familia Mitre Porque me unía a Amistad A uno de los…
ref_secretario-del-museo-de-arte-decorativo,Secretario del Museo de Arte Decorativo,reference,Personales y biográficas,"…a los dos nos echaron de nuestros respectivos puestos. Él trabajaba en una biblioteca, yo era secretario del Museo de Arte Decorativo, y los dos nos liquidaron. Después, en cambio, cuando vino la revolución posterior a Perón, a él lo nombraron…"
ref_director-de-relaciones-culturales-cancilleria,Director de Relaciones Culturales (Cancillería),reference,Personales y biográficas,"…a Perón, a él lo nombraron director de la Biblioteca Nacional y a mí me nombraron simultáneamente director de Relaciones Culturales en el Ministerio de Relaciones Exteriores. Los dos entramos juntos en la Academia Argentina de Letras. Cuando…"
ref_academia-argentina-de-letras-ingreso-junto-a-borges,Academia Argentina de Letras (ingreso junto a Borges),reference,Personales y biográficas,"…te director de Relaciones Culturales en el Ministerio de Relaciones Exteriores. Los dos entramos juntos en la Academia Argentina de Letras. Cuando él lo hicieron presidente de la Sociedad Argentina de Escritores, a mí me hicieron vicepresidente. Es…"
ref_sociedad-argentina-de-escritores-vicepresidente,Sociedad Argentina de Escritores (vicepresidente),reference,Personales y biográficas,"…xteriores. Los dos entramos juntos en la Academia Argentina de Letras. Cuando él lo hicieron presidente de la Sociedad Argentina de Escritores, a mí me hicieron vicepresidente. Eso fue en tiempos de Perón y lo pasamos muy mal, pero nos defendimos bien.…"
ref_casa-en-cordoba-el-paraiso-siete-chimeneas,Casa en Córdoba: 'El Paraíso' (siete chimeneas),reference,Personales y biográficas,…Que debe ser interesantísima Que está descrita En algunos de los libros Una casa que por otra parte Se llama El Paraíso Se llama El Paraíso Lo cual Es Es una casualidad más De las De las muchas Que se han producido en mi vida Y q…
ref_biblioteca-personal-de-20000-libros,Biblioteca personal de 20.000 libros,reference,Personales y biográficas,"…Está puesto sobre una de las chimeneas En el comedor La biblioteca creo que es enorme Bueno, no es enorme Hay 20.000 libros Hay 20.000 libros Lo que sí Está muy bien Clasificado Se sabe en dónde está Cada uno de los 20.000 libros Sin…"
ref_colecciones-idolos-incaicos-ceramicas-precolombinas,"Colecciones: ídolos incaicos, cerámicas precolombinas",reference,Personales y biográficas,…eas Como ha quedado Y tiene siete chimeneas Hay piezas enormes Que están llenas De recuerdos Arqueológicos De ídolos Incaicos De cerámicas Precolombinas De... Yo he estado Bueno He ido al Perú Dos veces He ido Dos veces Al Ecu…
ref_albums-collage-memorias-graficas-8-tomos,"Álbums collage (memorias gráficas, 8 tomos)",reference,Personales y biográficas,"…é mal suena eso No, no No soy Mujica Lainez Y otra cosa de la que me han hablado Es de los famosos álbums Los álbums collage Los álbums collage Esos álbums los empecé Hace Hace Qué Hara Hara 11 o 12 años Estoy en el tomo 8 Son los álb…"
ref_hijos-diego-periodista-ana-escritora-manuel-locutor,"Hijos: Diego (periodista), Ana (escritora), Manuel (locutor)",reference,Personales y biográficas,"…n libro muy de ahora. Muy bien, me gustaría saber algo de los tres hijos de Manucho. Bueno, el mayor se llama Diego, es periodista, está en el diario La Nación, es muy alegre, muy simpático, muy divertido es, es casado. Todos…"
