source,target,relation
ref_juan-carlos-onetti-entrevistado,cat_personales,belongs_to
ref_montevideo-nacimiento,cat_personales,belongs_to
ref_1909-ano-de-nacimiento,cat_personales,belongs_to
ref_origen-familiar-gibraltar-irlanda-genova,cat_personales,belongs_to
ref_madre-brasilena-familia-esclavista,cat_personales,belongs_to
ref_timidez-nerviosismo-incomodidad-ante-entrevista,cat_personales,belongs_to
ref_luis-rosales-poeta-ateneo-de-madrid,cat_personales,belongs_to
ref_nina-germanateutona-acompanante,cat_personales,belongs_to
ref_amigos-anarquistas-espanoles-relato-base-para-esta-noche,cat_personales,belongs_to
ref_german-zelmar-michelini-mencion-como-german-miquelini,cat_personales,belongs_to
ref_hector-gutierrez-ruiz,cat_personales,belongs_to
ref_luis-batlle-berres-dir-diario-accion,cat_personales,belongs_to
ref_el-pozo,cat_culturales,belongs_to
ref_tierra-de-nadie,cat_culturales,belongs_to
ref_para-esta-noche,cat_culturales,belongs_to
ref_la-vida-breve,cat_culturales,belongs_to
ref_santa-maria-ciudad-ficticia,cat_culturales,belongs_to
ref_juntacadaveres,cat_culturales,belongs_to
ref_el-astillero,cat_culturales,belongs_to
ref_los-adioses,cat_culturales,belongs_to
ref_para-una-tumba-sin-nombre,cat_culturales,belongs_to
ref_la-cara-de-la-desgracia,cat_culturales,belongs_to
ref_jacob-y-el-otro,cat_culturales,belongs_to
ref_un-sueno-realizado,cat_culturales,belongs_to
ref_la-novia-robada,cat_culturales,belongs_to
ref_tiempo-de-abrazar-fragmentos,cat_culturales,belongs_to
ref_la-muerte-y-la-nina,cat_culturales,belongs_to
ref_el-infierno-tan-temido,cat_culturales,belongs_to
ref_libretascuadernos-de-trabajo-metodo,cat_culturales,belongs_to
ref_no-relee-lo-publicado-poetica,cat_culturales,belongs_to
ref_boom-latinoamericano,cat_culturales,belongs_to
ref_julio-cortazar,cat_culturales,belongs_to
ref_mario-vargas-llosa,cat_culturales,belongs_to
ref_gabriel-garcia-marquez,cat_culturales,belongs_to
ref_carlos-fuentes,cat_culturales,belongs_to
ref_macondo-garcia-marquez,cat_culturales,belongs_to
ref_la-casa-verde-vargas-llosa,cat_culturales,belongs_to
ref_william-faulkner,cat_culturales,belongs_to
ref_ernest-hemingway,cat_culturales,belongs_to
ref_pio-baroja,cat_culturales,belongs_to
ref_ramon-del-valle-inclan,cat_culturales,belongs_to
ref_ruedo-iberico-obra-de-valle-inclan,cat_culturales,belongs_to
ref_juan-negrin,cat_culturales,belongs_to
ref_comite-de-no-intervencion,cat_culturales,belongs_to
ref_programa-a-fondo-entrevista,cat_culturales,belongs_to
ref_radio-pareja-trabaja-en-radio-anecdota,cat_culturales,belongs_to
ref_revista-marcha-montevideo,cat_culturales,belongs_to
ref_agencia-reuters,cat_culturales,belongs_to
ref_revista-vea-y-lea-argentina,cat_culturales,belongs_to
ref_revista-impetu-publicidad,cat_culturales,belongs_to
ref_diario-accion-montevideo,cat_culturales,belongs_to
ref_editorial-lozada-premioedicion,cat_culturales,belongs_to
ref_editorial-sudamericana-lopez-llausas,cat_culturales,belongs_to
ref_life-revista-premio-a-jacob-y-el-otro,cat_culturales,belongs_to
ref_ediciones-en-francia,cat_culturales,belongs_to
ref_edicion-en-polonia-cracovia,cat_culturales,belongs_to
ref_mandeville-eticas-delicadeza,cat_pensamiento,belongs_to
ref_etica-del-adjetivo-precision-lexica,cat_pensamiento,belongs_to
ref_guerra-civil-espanola-no-intervencion-anarquistas,cat_contexto,belongs_to
ref_segunda-guerra-mundial-noticias-de-londres,cat_contexto,belongs_to
ref_peronismo-corte-de-comunicacion-fluvial,cat_contexto,belongs_to
ref_amnistia-presos-politicos-cortazar,cat_contexto,belongs_to
ref_premio-romulo-gallegos-finalista,cat_contexto,belongs_to
ref_premio-nobel-rumor-sobre-cela,cat_contexto,belongs_to
ref_uruguay,cat_contexto,belongs_to
ref_buenos-aires,cat_contexto,belongs_to
ref_montevideo,cat_contexto,belongs_to
ref_madrid,cat_contexto,belongs_to
ref_san-francisco,cat_contexto,belongs_to
ref_paraguay-ruta-alternativa,cat_contexto,belongs_to
ref_londres,cat_contexto,belongs_to
ref_estados-unidos,cat_contexto,belongs_to
ref_inglaterra,cat_contexto,belongs_to
ref_cracovia-polonia,cat_contexto,belongs_to
ref_francia,cat_contexto,belongs_to
ref_espana,cat_contexto,belongs_to
