id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_juan-carlos-onetti-entrevistado,Juan Carlos Onetti (entrevistado),reference,Personales y biográficas,…... Onetti era un personaje que me interesaba muchísimo... ...le había leído con gran curiosidad y c…
ref_montevideo-nacimiento,Montevideo (nacimiento),reference,Personales y biográficas,…alidad... ...realista... ...experiencia... ...sí... ...nació Juan Carlos Soletti... ...en Montevideo... ...el año 1909... ...el apellido... ...suena vagamente a italiano... ...y sin embargo.…
ref_1909-ano-de-nacimiento,1909 (año de nacimiento),reference,Personales y biográficas,…...experiencia... ...sí... ...nació Juan Carlos Soletti... ...en Montevideo... ...el año 1909... ...el apellido... ...suena vagamente a italiano... ...y sin embargo... ...tengo entend…
ref_origen-familiar-gibraltar-irlanda-genova,Origen familiar (Gibraltar / Irlanda / Génova),reference,Personales y biográficas,…abuelo... ...como padre de la chica... ...y en la que dice este... ...que... ...nacido en Gibraltar... ...de origen inglés... ...nacido en Gibraltar... ...ahora... ...él firmaba... ...o...…
ref_madre-brasilena-familia-esclavista,Madre brasileña / familia esclavista,reference,Personales y biográficas,…dres? ...a mis padres... ...a mis padres serán encantadores... ...uruguayos los dos... ...mi madre brasileña... ...brasileña... ...yo también... ...y justamente otra vez vuelve... ...Luis Rosales...…
ref_timidez-nerviosismo-incomodidad-ante-entrevista,Timidez / nerviosismo (incomodidad ante entrevista),reference,Personales y biográficas,…cauciones... ...sino es un problema de... ...como yo le decía... ...puede ser de... ...de timidez... ...es una cosa de nerviosismo... ...ya la... ...la cita de hoy... ...me estrapeó la no…
ref_luis-rosales-poeta-ateneo-de-madrid,Luis Rosales (poeta; Ateneo de Madrid),reference,Personales y biográficas,…me hicieron en el Ateneo... ...de Madrid... ...sí... ...alguien leyó... ...Rosales... ...Luis Rosales... ...mi amigo Luis Rosales... ...leyó un poema que hizo... ...basado en un cuento mío...…
ref_nina-germanateutona-acompanante,Niña germana/teutona (acompañante),reference,Personales y biográficas,…..un ambiente muy amistoso... ...desde el día de ayer... ...con usted... ...y la... ...la niña germana... ...la teutona... ...no... ...entonces me siento muy cómodo... ...en este momento estoy…
ref_amigos-anarquistas-espanoles-relato-base-para-esta-noche,Amigos anarquistas españoles (relato base Para esta noche),reference,Personales y biográficas,"…ntos, el cuarenta y dos o cuarenta y tres. Sí. Basado en una historia que me contaron dos anarquistas que habían disparado de España. Y bueno, era una historia contra Negrín, contra el comité…"
ref_german-zelmar-michelini-mencion-como-german-miquelini,Germán (Zelmar) Michelini (mención como Germán Miquelini),reference,Personales y biográficas,"…unfado gente amiga mía, ¿no? Y algunos que están muertos, sí, recientemente muertos, como Germán Miquelini, como Gutiérrez Ruiz, que eran amigos míos. Es que me ofrecieron el oro y el moro para qu…"
ref_hector-gutierrez-ruiz,Héctor Gutiérrez Ruiz,reference,Personales y biográficas,"…¿no? Y algunos que están muertos, sí, recientemente muertos, como Germán Miquelini, como Gutiérrez Ruiz, que eran amigos míos. Es que me ofrecieron el oro y el moro para que me fuera a trabajar…"
ref_luis-batlle-berres-dir-diario-accion,Luis Batlle Berres (dir. diario Acción),reference,Personales y biográficas,"…o y el moro para que me fuera a trabajar a Montevideo, al diario Acción, que lo dirigía a Valle Berres. Después pasé a trabajar en el municipio, era director de bibliotecas municipales. Sigamo…"
ref_el-pozo,El pozo,reference,Culturales y artísticas,…anos atrás... ...así comienza el primer libro... ...de Juan Carlos Sonetti... ...titulado El Pozo... ...cuya primera edición... ...aparecida el año 1939... ...tenemos en un ejemplar preci…
ref_tierra-de-nadie,Tierra de nadie,reference,Culturales y artísticas,"…onal y no hay personaje, no hay un solo personaje. Y después vino todo esto. Después vino Tierra de Nadie. Tierra de Nadie, sí. Que se publicó en Argentina, un concurso de los hadas. El de los ha…"
ref_para-esta-noche,Para esta noche,reference,Culturales y artísticas,"…rra de Nadie, sí. Que se publicó en Argentina, un concurso de los hadas. El de los hadas. Para esta noche. Aquí se van repitiendo, con una periodicidad casi bianual, la aparición de libros de One…"
ref_la-vida-breve,La vida breve,reference,Culturales y artísticas,"…o hacemos caso excesivo de estas fechas, sino solamente como punto de referencia, aparece La Vida Breve. La Vida Breve, sí. Que tenemos por aquí, me parece, en alguno de estos libros. Sí, esta…"
ref_santa-maria-ciudad-ficticia,Santa María (ciudad ficticia),reference,Culturales y artísticas,"…a es la segunda edición de La Vida Breve. En La Vida Breve, si no me equivoco, aparece ya Santa María. Claro. Santa María es una ciudad imaginaria, en cierto modo paralela en el tiempo a otra…"
ref_juntacadaveres,Juntacadáveres,reference,Culturales y artísticas,"…ría aparece como paisaje o telón de fondo de tres obras concretas, que son La Vida Breve, Junta Cadáveres y El Astillero. Claro. ¿Y seguirá apareciendo Santa María? Sí, yo creo que sí. Si sigo es…"
ref_el-astillero,El astillero,reference,Culturales y artísticas,"…aisaje o telón de fondo de tres obras concretas, que son La Vida Breve, Junta Cadáveres y El Astillero. Claro. ¿Y seguirá apareciendo Santa María? Sí, yo creo que sí. Si sigo escribiendo, sigu…"
ref_los-adioses,Los adioses,reference,Culturales y artísticas,"…o realizado, cuento que aparece en 1951, es uno de sus cuentos más celebrados, luego está Los adioses, novela corta, Para una tumba sin nombres, La cara de la desgracia, Jacob y el otro, El a…"
ref_para-una-tumba-sin-nombre,Para una tumba sin nombre,reference,Culturales y artísticas,"…rece en 1951, es uno de sus cuentos más celebrados, luego está Los adioses, novela corta, Para una tumba sin nombres, La cara de la desgracia, Jacob y el otro, El astillero, El infierno tan temido que piens…"
ref_la-cara-de-la-desgracia,La cara de la desgracia,reference,Culturales y artísticas,"…cuentos más celebrados, luego está Los adioses, novela corta, Para una tumba sin nombres, La cara de la desgracia, Jacob y el otro, El astillero, El infierno tan temido que pienso yo que es un título que…"
