source,target,relation
ref_octavio-paz-entrevistado,cat_personales,belongs_to
ref_nacimiento-31-de-marzo-de-1914,cat_personales,belongs_to
ref_madre-de-origen-andaluz,cat_personales,belongs_to
ref_abuelo-de-medina-sidonia,cat_personales,belongs_to
ref_abuela-del-puerto-de-santa-maria,cat_personales,belongs_to
ref_padre-revolucionario-y-abogado-consejero-de-zapata,cat_personales,belongs_to
ref_esposa-maria-jose-india,cat_personales,belongs_to
ref_boda-bajo-el-arbol-del-nim,cat_personales,belongs_to
ref_amigosprimos-guillermo-alfonso-emilio,cat_personales,belongs_to
ref_infancia-en-mixcoac-casa-de-campo,cat_personales,belongs_to
ref_hermanos-maristas-colegio-frances,cat_personales,belongs_to
ref_colegio-ingles-futbol,cat_personales,belongs_to
ref_escuelas-del-gobierno-influencia-de-john-dewey,cat_personales,belongs_to
ref_colegio-de-san-ildefonso-preparatoria,cat_personales,belongs_to
ref_caminatas-san-ildefonso-zocalo-poema,cat_personales,belongs_to
ref_amigo-jose-bosch-fai,cat_personales,belongs_to
ref_pasado-en-claro-poemario,cat_culturales,belongs_to
ref_vuelta-libropoema,cat_culturales,belongs_to
ref_luna-silvestre-primer-poemario,cat_culturales,belongs_to
ref_taller-revista,cat_culturales,belongs_to
ref_el-hijo-prodigo-revista,cat_culturales,belongs_to
ref_poesia-en-voz-alta-teatro-experimental,cat_culturales,belongs_to
ref_ruben-dario,cat_culturales,belongs_to
ref_amado-nervo,cat_culturales,belongs_to
ref_gustavo-adolfo-becquer,cat_culturales,belongs_to
ref_miguel-de-cervantes,cat_culturales,belongs_to
ref_lope-de-vega,cat_culturales,belongs_to
ref_calderon-de-la-barca,cat_culturales,belongs_to
ref_benito-perez-galdos,cat_culturales,belongs_to
ref_luis-de-gongora,cat_culturales,belongs_to
ref_siguenza-y-gongora,cat_culturales,belongs_to
ref_gerardo-diego,cat_culturales,belongs_to
ref_fabula-de-x-y-z-gerardo-diego,cat_culturales,belongs_to
ref_rafael-alberti,cat_culturales,belongs_to
ref_maria-teresa-leon,cat_culturales,belongs_to
ref_sanchez-mejias-sonetos-quevedescos,cat_culturales,belongs_to
ref_juan-ramon-jimenez,cat_culturales,belongs_to
ref_leon-felipe,cat_culturales,belongs_to
ref_pablo-neruda-residencia-en-la-tierra,cat_culturales,belongs_to
ref_cesar-vallejo,cat_culturales,belongs_to
ref_stephen-spender,cat_culturales,belongs_to
ref_andre-malraux,cat_culturales,belongs_to
ref_ilia-ehrenburg,cat_culturales,belongs_to
ref_carlos-pellicer,cat_culturales,belongs_to
ref_nicolas-guillen,cat_culturales,belongs_to
ref_andre-gide,cat_culturales,belongs_to
ref_miguel-hernandez,cat_culturales,belongs_to
ref_emilio-garcia-gomez-poemas-arabigoandaluces,cat_culturales,belongs_to
ref_arcipreste-de-hita,cat_culturales,belongs_to
ref_pio-baroja,cat_culturales,belongs_to
ref_valleinclan-tirano-banderas,cat_culturales,belongs_to
ref_antonio-machado,cat_culturales,belongs_to
ref_miguel-de-unamuno,cat_culturales,belongs_to
ref_ortega-y-gasset,cat_culturales,belongs_to
ref_hora-de-espana-gilalbert-ramon-gaya-emilio-prados,cat_culturales,belongs_to
ref_herrera-petere,cat_culturales,belongs_to
ref_astrana-marin,cat_culturales,belongs_to
ref_consignas-libro-de-alberti,cat_culturales,belongs_to
ref_doblaje-de-peliculas-trabajo-en-ee-uu,cat_culturales,belongs_to
ref_max-ernst,cat_culturales,belongs_to
ref_joan-miro,cat_culturales,belongs_to
ref_diego-rivera,cat_culturales,belongs_to
ref_canciones-populares-andaluzas-y-asturianas,cat_culturales,belongs_to
ref_mariachis,cat_culturales,belongs_to
ref_budismo,cat_pensamiento,belongs_to
ref_anarquismo-simpatia,cat_pensamiento,belongs_to
ref_proudhon,cat_pensamiento,belongs_to
ref_kropotkin,cat_pensamiento,belongs_to
ref_san-ignacio-de-loyola-critica,cat_pensamiento,belongs_to
ref_john-dewey-educacion,cat_pensamiento,belongs_to
ref_ilustracion-hume-locke-kant-diderot-voltaire,cat_pensamiento,belongs_to
ref_freud-psicoanalisis,cat_pensamiento,belongs_to
