id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_octavio-paz-entrevistado,Octavio Paz (entrevistado),reference,Personales y biográficas,"…zo trasatlántico entre hispanos de México y mexicanos de España, que así más o menos nos llevamos alguna vez. Octavio Paz es un personaje encantador, es un hombre cultísimo, es uno de los hombres más cultos que he conocido en el mu…"
ref_nacimiento-31-de-marzo-de-1914,Nacimiento: 31 de marzo de 1914,reference,Personales y biográficas,"…todo, llegan a la biblioteca de esa casa en la que nace y en la que vive sus primeros años. Nace en México el 31 de marzo de 1914, Octavio Paz. Y aparecen por allí libros que son, primero, en los episodios nacionales de Galdós, por supuest…"
ref_madre-de-origen-andaluz,Madre de origen andaluz,reference,Personales y biográficas,"…madre, si no estoy mal informado, era de ascendencia española, hija de andaluces. Exactamente, mi madre es de origen andaluz, del sur de Andalucía, mi abuelo era de Medina Sidonia y mi abuela del puerto de Santa María, si no recuerdo…"
ref_abuelo-de-medina-sidonia,Abuelo de Medina Sidonia,reference,Personales y biográficas,"…pañola, hija de andaluces. Exactamente, mi madre es de origen andaluz, del sur de Andalucía, mi abuelo era de Medina Sidonia y mi abuela del puerto de Santa María, si no recuerdo mal. Y, bueno, en este poema hay toda esta idea de la m…"
ref_abuela-del-puerto-de-santa-maria,Abuela del Puerto de Santa María,reference,Personales y biográficas,"…tamente, mi madre es de origen andaluz, del sur de Andalucía, mi abuelo era de Medina Sidonia y mi abuela del puerto de Santa María, si no recuerdo mal. Y, bueno, en este poema hay toda esta idea de la madre española un poco enlutada y al nu…"
ref_padre-revolucionario-y-abogado-consejero-de-zapata,Padre revolucionario y abogado; consejero de Zapata,reference,Personales y biográficas,"…ue más bien hace pensar en el mundo del neolítico que en el mundo moderno. Había sido o fue durante un tiempo consejero personal de Zapata. Sí, y fue enviado de Zapata a los Estados Unidos. Vivió en los Estados Unidos como representante personal de…"
ref_esposa-maria-jose-india,Esposa: María José (India),reference,Personales y biográficas,"…O sea que es un poco el árbol del amor. Digamos. Por lo menos en tu caso. En mi caso, sí. Ahí te casaste con María José, ¿no? Exactamente. ¿La habías conocido dónde? La conocí en la India. En la India. Y después nos encontramos e…"
ref_boda-bajo-el-arbol-del-nim,Boda bajo el árbol del nim,reference,Personales y biográficas,"…ción lenta, sosegada, como si estuviéramos allá en México, o en la India. La India más que en México. Bajo el árbol del NIM. Muy bien. ¿Cómo es ese árbol? Bueno, es un árbol corpulento, es un árbol medicinal, es un árbol lleno de páj…"
ref_amigosprimos-guillermo-alfonso-emilio,"Amigos/primos: Guillermo, Alfonso, Emilio",reference,Personales y biográficas,"…os totalitarismos, ¿está claro? Exactamente. En este libro, lleno de recuerdos de infancia, aparecen nombres, Guillermo, Alfonso, Emilio... Son mis primos y mis amigos. Es bastante... Poco imaginativo el poema, por lo que se refiere a los datos,…"
ref_infancia-en-mixcoac-casa-de-campo,Infancia en Mixcoac (casa de campo),reference,Personales y biográficas,"…muy ligados además al pueblo mío. Yo nací en la Ciudad de México, pero viví de niño en una casa de campo. En Miscoac. En Miscoac. Actualmente es un barrio de la Ciudad de México, pero en aquella época todavía tenía cierto cará…"
ref_hermanos-maristas-colegio-frances,Hermanos maristas (colegio francés),reference,Personales y biográficas,"…la cual sigo teniendo una gran simpatía, el pensamiento anarquista. Colegios. ¿Hubo un colegio primero de los hermanos maristas, era? Sí, un colegio francés, ultracatólico, y del cual tengo un recuerdo magnífico. Me enseñaron los hermano…"
ref_colegio-ingles-futbol,Colegio inglés (fútbol),reference,Personales y biográficas,"…maristas un poco de gramática, y eso es fundamental. Hay de aquellos que no saben gramática. ¿Hubo después un colegio inglés? Un colegio inglés, me enseñaron a jugar fútbol, también se los agradezco. ¿Hubo luego escuelas del gobierno?…"
ref_escuelas-del-gobierno-influencia-de-john-dewey,Escuelas del gobierno (influencia de John Dewey),reference,Personales y biográficas,"…época muy influidas por la educación, por las teorías de la educación norteamericana, por aquellas teorías de John Dewey, el filósofo pragmatista norteamericano. Y entonces me acuerdo que cuando entré a la escuela secundaria, lo p…"
ref_colegio-de-san-ildefonso-preparatoria,Colegio de San Ildefonso (preparatoria),reference,Personales y biográficas,"…icado poemas, uno de ellos largo y, yo diría que además muy intenso, en su libro Vuelta, que es el Colegio de San Ildefonso. Bueno, claro, no soy yo el único que le ha dedicado poemas. Alfonso Reyes también le dedicó poemas. Y este C…"
ref_caminatas-san-ildefonso-zocalo-poema,Caminatas San Ildefonso → Zócalo (poema),reference,Personales y biográficas,"…parte que se refiere a... a dos partes. La parte en que hablo de mis caminatas nocturnas, de San Ildefonso al Zócalo. Esa es bellísima. Y después, quizá, en la parte posterior, ¿no? México, hacia 1931. Los faroles inventan, en…"
ref_amigo-jose-bosch-fai,Amigo José Bosch (FAI),reference,Personales y biográficas,"…co. Yo asistía a la clase de álgebra, y mi compañero de banco era un chico mucho mayor que yo, que se llamaba José Bosch, era de origen catalán. Yo tendría 15 años y él tendría 17, 18. Y un día me deslizó debajo del pupitre un fol…"
ref_pasado-en-claro-poemario,Pasado en claro (poemario),reference,Culturales y artísticas,"…ente en gran manera como la de todos los escritores en sus libros. Hay un libro, uno de sus libros de poemas, Pasado en Claro, que es uno de los más recientes, el penúltimo, en el cual hay una serie de alusiones muy bellas a su infanci…"
ref_vuelta-libropoema,Vuelta (libro/poema),reference,Culturales y artísticas,"…avio Paz, porque él le ha dedicado poemas, uno de ellos largo y, yo diría que además muy intenso, en su libro Vuelta, que es el Colegio de San Ildefonso. Bueno, claro, no soy yo el único que le ha dedicado poemas. Alfonso Reye…"
