source,target,relation
ref_ulises-petit-de-murat-entrevistado,cat_personales,belongs_to
ref_buenos-aires-origenvida,cat_personales,belongs_to
ref_argentina-pais,cat_personales,belongs_to
ref_montevideo,cat_personales,belongs_to
ref_paris,cat_personales,belongs_to
ref_madrid,cat_personales,belongs_to
ref_barcelona,cat_personales,belongs_to
ref_la-plata,cat_personales,belongs_to
ref_cordoba,cat_personales,belongs_to
ref_mendoza,cat_personales,belongs_to
ref_jorge-luis-borges,cat_personales,belongs_to
ref_leopoldo-lugones,cat_personales,belongs_to
ref_ernesto-sabato,cat_personales,belongs_to
ref_julio-cortazar,cat_personales,belongs_to
ref_eduardo-mallea,cat_personales,belongs_to
ref_macedonio-fernandez,cat_personales,belongs_to
ref_homero-manzi,cat_personales,belongs_to
ref_raul-gonzalez-tunon,cat_personales,belongs_to
ref_sur-revista,cat_culturales,belongs_to
ref_martin-fierro-revista,cat_culturales,belongs_to
ref_la-nacion-periodico,cat_culturales,belongs_to
ref_la-divina-comedia-dante,cat_culturales,belongs_to
ref_dante-alighieri,cat_culturales,belongs_to
ref_horacio-quiroga,cat_culturales,belongs_to
ref_federico-garcia-lorca,cat_culturales,belongs_to
ref_tango-genero,cat_culturales,belongs_to
ref_leopoldo-torre-nilsson-director,cat_culturales,belongs_to
ref_la-guerra-gaucha-pelicula,cat_culturales,belongs_to
ref_pampa-barbara-pelicula,cat_culturales,belongs_to
ref_el-santo-de-la-espada-pelicula,cat_culturales,belongs_to
ref_nicolas-olivari,cat_culturales,belongs_to
ref_miguel-de-unamuno,cat_pensamiento,belongs_to
ref_exilios-latinoamericanos,cat_contexto,belongs_to
ref_golpe-militar-argentina,cat_contexto,belongs_to
ref_espana,cat_contexto,belongs_to
ref_italia,cat_contexto,belongs_to
ref_uruguay,cat_contexto,belongs_to
ref_chile,cat_contexto,belongs_to
ref_peru,cat_contexto,belongs_to
ref_mexico,cat_contexto,belongs_to
ref_londres,cat_contexto,belongs_to
ref_paris-2,cat_contexto,belongs_to
ref_argentina-de-cine,cat_culturales,belongs_to
ref_bernandez-y-jorge,cat_culturales,belongs_to
ref_bio-y-casares,cat_culturales,belongs_to
ref_corrales-de-vicerere,cat_culturales,belongs_to
ref_cuerpo-y-alma,cat_culturales,belongs_to
ref_cuyo-y-carlos,cat_culturales,belongs_to
ref_dinero-de-dios,cat_culturales,belongs_to
ref_facultad-de-derecho,cat_culturales,belongs_to
ref_fervor-de-buenos,cat_culturales,belongs_to
ref_francisco-de-quevedo-y-villegas,cat_culturales,belongs_to
ref_francisco-de-querrey-de-villegas,cat_culturales,belongs_to
ref_galeria-del-pacifico,cat_culturales,belongs_to
ref_guillermo-de-torre,cat_culturales,belongs_to
ref_joyce-o-kafka,cat_culturales,belongs_to
ref_juanita-de-arre,cat_culturales,belongs_to
ref_ley-del-menor-de-esfuerzo,cat_culturales,belongs_to
ref_lucas-de-mare,cat_culturales,belongs_to
ref_miguel-de-monabulo,cat_culturales,belongs_to
ref_miguel-y-joaquin,cat_culturales,belongs_to
ref_nacional-de-san,cat_culturales,belongs_to
ref_oriental-de-uruguay,cat_contexto,belongs_to
ref_paraguay-y-bolivia,cat_contexto,belongs_to
ref_pedro-de-mendoza,cat_culturales,belongs_to
ref_petit-de-murat,cat_culturales,belongs_to
ref_petit-de-murad,cat_culturales,belongs_to
ref_petit-de-mural,cat_culturales,belongs_to
ref_petit-de-murat-2,cat_culturales,belongs_to
ref_plaza-de-mayo,cat_culturales,belongs_to
ref_puente-de-arsina,cat_culturales,belongs_to
ref_pajaro-del-fuego,cat_culturales,belongs_to
ref_perez-de-murat,cat_culturales,belongs_to
ref_ramon-y-cajal,cat_culturales,belongs_to
ref_raul-y-enrique,cat_culturales,belongs_to
ref_romance-del-caucho,cat_culturales,belongs_to
ref_tierra-de-fuego,cat_culturales,belongs_to
