id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_ulises-petit-de-murat-entrevistado,Ulises Petit de Murat (entrevistado),reference,Personales y biográficas,…Gabriela Mistral desnuda el hueso de la muerte porque esa es una de las grandes obsesiones de la temática de Ulises Petit de Murat la muerte Jorge Luis Borges ha dicho que hay vastos versos patéticos en la poesía de Petit de Murat Macedonio…
ref_buenos-aires-origenvida,Buenos Aires (origen/vida),reference,Personales y biográficas,"…¡Gracias! ¡Gracias! El libro se llamaba Conmemoraciones. Se publicó exactamente en 1929 en Buenos Aires, editado por Glaser, con un retrato del autor por Nora Borges y con viñetas de María Juanita de Arré. Han tra…"
ref_argentina-pais,Argentina (país),reference,Personales y biográficas,"…, triunfante, donde se salta el coraje y el dominio de la mujer, pasa a la nostalgia del inmigrante italiano. Argentina yo supongo que si se quiere definir muy bien, un poco ajustadamente, hasta 1910, Buenos Aires sobre todo es u…"
ref_montevideo,Montevideo,reference,Personales y biográficas,"…orque tomo hasta nuestros días, es más importante México y es más importante Lima. Perú, en realidad, incluso Montevideo, es un poquito que tiene más importancia desde el punto de vista cultural. Tiene más casas de dos pisos, pero…"
ref_paris,París,reference,Personales y biográficas,"…rta falsa de la vida, se mató. Yo creo que aquí, en España, o muy cerca, se mató cuando entraron los nazis en París. Es que yo creo que era el final de una civilización. Y nosotros le llamábamos Mente Calzada, a Mentes Calzad…"
ref_madrid,Madrid,reference,Personales y biográficas,"…oche, hablo de la noche conversada. Del café que era cátedra, del café de Don Ramón y Cajal, ¿no? Del café de Madrid también, que creo que tampoco está en sus términos estrictos. Esa noche en Buenos Aires que podíamos terminar…"
ref_barcelona,Barcelona,reference,Personales y biográficas,"…jado historia. Y los que unieron de Chile, los que cruzaron la cordillera, fue porque la primera fundación de Barcelona en 1536, por Don Pedro de Mendoza, la ciudad destruida, se soltó el ganado. Y con unos pastos increíbles, que…"
ref_la-plata,La Plata,reference,Personales y biográficas,"…Sí, y era muy mezclado la arilla porque cuando, por real cédula de 1776, se proclama el virreinato de Río de la Plata, a su cuerpo territorial pertenece el Uruguay, la llamada banda oriental, el Paraguay y Bolivia, que luego en…"
ref_cordoba,Córdoba,reference,Personales y biográficas,…balcón hacia la muerte que está escrita más o menos a raíz de la interrelación de Cochinga en la provincia de Córdoba a raíz de la experiencia tuberculosa del sanatorio la experiencia tuberculosa y a eso le sigue o empalman el…
ref_mendoza,Mendoza,reference,Personales y biográficas,"…Chile, los que cruzaron la cordillera, fue porque la primera fundación de Barcelona en 1536, por Don Pedro de Mendoza, la ciudad destruida, se soltó el ganado. Y con unos pastos increíbles, que es una de las grandes bendiciones…"
ref_jorge-luis-borges,Jorge Luis Borges,reference,Personales y biográficas,"…ciones. Se publicó exactamente en 1929 en Buenos Aires, editado por Glaser, con un retrato del autor por Nora Borges y con viñetas de María Juanita de Arré. Han transcurrido 50 años y a lo largo de ese medio siglo Petit de Mur…"
ref_leopoldo-lugones,Leopoldo Lugones,reference,Personales y biográficas,"…dicación. No, los traumas argentinos son causados, a mí me da la impresión por el carácter, por algo lo llamó Lugones, la patria joven, ¿no? La patria muy joven, adolescente casi, con una gran mezcla raciales, con una gran mezc…"
ref_ernesto-sabato,Ernesto Sábato,reference,Personales y biográficas,…osincrasia argentina revelador de nuestra realidad en esa en esa misma en esa misma generación figura Ernesto Sábato por ejemplo o más bien Adolfo Bío y Casares Adolfo Bío y Casares Adolfo Bío y Casares sí Mujica Laines Mujica…
ref_julio-cortazar,Julio Cortázar,reference,Personales y biográficas,…El Romance del Caucho Premio también de Guiones en el 62 El Perseguidor en el 65 Está inspirado en el reto de Cortázar Es un cuento estupendo No tuvo muy buena realización porque incluso no se debe haber conseguido una cinta de…
ref_eduardo-mallea,Eduardo Mallea,reference,Personales y biográficas,…2 sí realmente sí es exacto ¿en esa generación hay realmente escritores extraordinarios? yo citaría a Eduardo Mallea a Mallea sobre todo me parece muy importante que desgraciadamente hace un tiempo que está en una recursión ya…
ref_macedonio-fernandez,Macedonio Fernández,reference,Personales y biográficas,…de Murat la muerte Jorge Luis Borges ha dicho que hay vastos versos patéticos en la poesía de Petit de Murat Macedonio Fernández escribió que es el artista primero de la tragedia en Hispanoamérica y así sucesivamente hay una serie de juic…
ref_homero-manzi,Homero Manzi,reference,Personales y biográficas,"…s términos estrictos. Esa noche en Buenos Aires que podíamos terminar de trabajar con algún colaborador, como Homero Manzi, e ir a buscar a los pintores de la Galería del Pacífico, sobre la calle Corrientes, en la Real, a los cómico…"
ref_raul-gonzalez-tunon,Raúl González Tuñón,reference,Personales y biográficas,"…ue Don Segundo Sombra. Después venía un lote grande de autores, donde estaban los dos armados, Raúl y Enrique González Tuñón, Francisco Luis Bernaldez, Jorge Luis Borges, Nicolás Olivari, era grande el lote, y los últimos éramos Ponda…"
ref_sur-revista,Sur (revista),reference,Culturales y artísticas,"…para que su hijo viviera ahí con su familia. Y esas casas no se hicieron nunca. Es muy melancólico eso, ¿no? Surgieron las casas de pisos. Los hijos se fueron lejos. No vivieron con sus padres, ¿no? De cualquier manera, Bu…"
ref_martin-fierro-revista,Martín Fierro (revista),reference,Culturales y artísticas,"…n ya en cosas pensadas para los demás, en artículos, en colaboraciones, en poemas. Mi ingreso a la generación Martín Fierro, cuando tenía más o menos 18 años, es una generación muy curiosa, porque se compone de gente como la señora F…"
ref_la-nacion-periodico,La Nación (periódico),reference,Culturales y artísticas,"…que ser antesadas ante editores, en los grandes periodos de comprensión, nación, entró en bloque. Incluso en la nación nos hizo entrar generosamente el director del subredento literario que se llamaba Méndez Calzada Enrique, y q…"
