source,target,relation
ref_nacimiento-general-villegas-buenos-aires-28-12-1932,cat_personales,belongs_to
ref_apellido-de-origen-catalan,cat_personales,belongs_to
ref_abuelo-catalan-anarquista-emigracion-1880s,cat_personales,belongs_to
ref_abuela-gallega,cat_personales,belongs_to
ref_padre-comerciante-en-pueblo-de-provincia,cat_personales,belongs_to
ref_madre-quimica-laboratorio-hospital-origen-italiano,cat_personales,belongs_to
ref_infancia-en-la-pampa-seca-paisaje-plano-ausencia-de-agua-superficial,cat_personales,belongs_to
ref_ventana-al-mundo-cine-desde-nino-con-su-madre,cat_personales,belongs_to
ref_rechazo-del-machismo-y-la-autoridad-sensibilidad-frente-a-prepotencia,cat_personales,belongs_to
ref_secundaria-en-buenos-aires-expectativas-de-clase-rechazo-a-dar-ordenes,cat_personales,belongs_to
ref_aprendizaje-de-idiomas-ingles-italiano-frances-para-el-cine,cat_personales,belongs_to
ref_beca-y-estudios-en-centro-sperimentale-di-cinematografia-roma,cat_personales,belongs_to
ref_autoexiliotrayectoria-internacional-paris-estocolmo-roma-nueva-york,cat_personales,belongs_to
ref_trabajo-4-anos-en-compania-aerea-aeropuerto-de-nueva-york,cat_personales,belongs_to
ref_proceso-creativo-voces-escritura-a-mano-correccion-inseguridad-inicial,cat_personales,belongs_to
ref_madre-cinefila-introduccion-al-cine,cat_personales,belongs_to
ref_nestor-almendros-fotografocamarografo,cat_personales,belongs_to
ref_juan-goytisolo-envio-a-biblioteca-breve,cat_personales,belongs_to
ref_guillermo-cabrera-infante-paralelo-cinefilo,cat_personales,belongs_to
ref_directores-con-los-que-trabajo-de-sica-charles-vidor-rene-clement-stanley-donen,cat_personales,belongs_to
ref_david-o-selznick-rodaje-adios-a-las-armas,cat_personales,belongs_to
ref_jennifer-jones-actriz-de-adios-a-las-armas,cat_personales,belongs_to
ref_la-traicion-de-rita-hayworth-1968,cat_culturales,belongs_to
ref_boquitas-pintadas-1969,cat_culturales,belongs_to
ref_the-buenos-aires-affair-1973,cat_culturales,belongs_to
ref_el-beso-de-la-mujer-arana-1976,cat_culturales,belongs_to
ref_estructura-de-el-beso-relatos-de-peliculas-en-una-celda-activista-y-homosexual,cat_culturales,belongs_to
ref_subtitulo-boquitas-folletin-y-defensa-de-generos-populares,cat_culturales,belongs_to
ref_novela-policial-como-esquema-en-the-buenos-aires-affair,cat_culturales,belongs_to
ref_quinta-novela-en-preparacion-al-momento-de-la-entrevista,cat_culturales,belongs_to
ref_julio-cortazar,cat_culturales,belongs_to
ref_gabriel-garcia-marquez,cat_culturales,belongs_to
ref_nestor-sanchez,cat_culturales,belongs_to
ref_gustavo-sainz-mencionado-como-saez,cat_culturales,belongs_to
ref_salvador-elizondo,cat_culturales,belongs_to
ref_jose-agustin,cat_culturales,belongs_to
ref_emily-bronte-cumbres-borrascosas,cat_culturales,belongs_to
ref_daphne-du-maurier-rebeca,cat_culturales,belongs_to
ref_metro-goldwyn-mayer-sueno-de-saltar-a-la-metro,cat_culturales,belongs_to
ref_hollywood-como-utopia-personal,cat_culturales,belongs_to
ref_neorrealismo-italiano-zavattini-rechazo-del-dogma,cat_culturales,belongs_to
ref_cesare-zavattini-dogma-neorrealista,cat_culturales,belongs_to
ref_cine-de-autor-debate-escuela-vs-expresion-personal,cat_culturales,belongs_to
ref_adios-a-las-armas-rodaje-por-selznick-con-jennifer-jones,cat_culturales,belongs_to
ref_directores-vittorio-de-sica,cat_culturales,belongs_to
ref_directores-charles-vidor,cat_culturales,belongs_to
ref_directores-rene-clement,cat_culturales,belongs_to
ref_directores-stanley-donen,cat_culturales,belongs_to
ref_roberto-rossellini,cat_culturales,belongs_to
ref_luchino-visconti,cat_culturales,belongs_to
ref_actrices-joan-crawford,cat_culturales,belongs_to
ref_actrices-dorothy-lamour,cat_culturales,belongs_to
ref_actrices-marlene-dietrich,cat_culturales,belongs_to
ref_actrices-jean-harlow,cat_culturales,belongs_to
ref_actrices-greer-garson,cat_culturales,belongs_to
ref_actrices-norma-shearer,cat_culturales,belongs_to
ref_actrices-hedy-lamarr,cat_culturales,belongs_to
ref_actrices-susan-hayward,cat_culturales,belongs_to
ref_actrices-bette-davis,cat_culturales,belongs_to
ref_actriz-argentina-mecha-ortiz,cat_culturales,belongs_to
ref_cine-como-valvula-de-escape-y-realidad-alternativa,cat_culturales,belongs_to
ref_teoria-personal-del-lenguaje-dificultad-para-tener-idioma,cat_pensamiento,belongs_to
ref_reflexion-sobre-generos-populares-folletin-policial-como-material-estetizable,cat_pensamiento,belongs_to
ref_poetica-de-las-voces-registro-oral-como-disparador-narrativo,cat_pensamiento,belongs_to
ref_machismo-y-sistema-de-explotacion-domestica-y-social,cat_contexto,belongs_to
ref_premio-biblioteca-breve-finalista-1965,cat_contexto,belongs_to
ref_censura-en-espana-y-buenos-aires-rita-hayworth,cat_contexto,belongs_to
ref_boom-latinoamericano-y-relevo-generacional,cat_contexto,belongs_to
ref_argentina,cat_contexto,belongs_to
ref_republica-argentina,cat_contexto,belongs_to
ref_provincia-de-buenos-aires,cat_contexto,belongs_to
ref_general-villegas-buenos-aires,cat_contexto,belongs_to
ref_la-pampa-region,cat_contexto,belongs_to
ref_pampa-seca-zona,cat_contexto,belongs_to
ref_ciudad-de-buenos-aires,cat_contexto,belongs_to
ref_espana,cat_contexto,belongs_to
ref_valladolid-posadas,cat_contexto,belongs_to
ref_nueva-york-ee-uu,cat_contexto,belongs_to
ref_roma-italia,cat_contexto,belongs_to
