id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento-general-villegas-buenos-aires-28-12-1932,"Nacimiento: General Villegas (Buenos Aires), 28-12-1932",reference,Personales y biográficas,"…momento, es El beso de la mujer araña. Manuel Puig, o Manuel Puig, puesto que el apellido es catalán, nace en General Villegas, provincia de Buenos Aires, República Argentina, el día 28 de diciembre de 1932. Querido Manuel, muchas graci…"
ref_apellido-de-origen-catalan,Apellido de origen catalán,reference,Personales y biográficas,"…arta y última novela, por el momento, es El beso de la mujer araña. Manuel Puig, o Manuel Puig, puesto que el apellido es catalán, nace en General Villegas, provincia de Buenos Aires, República Argentina, el día 28 de diciembre de 1932. Qu…"
ref_abuelo-catalan-anarquista-emigracion-1880s,Abuelo catalán anarquista; emigración 1880s,reference,Personales y biográficas,"…preguntabas de... Volvemos, de los padres. Sí, mi abuelo era catalán. Él tuvo que salir por los ochentas, era anarquista, algún problema había. Ajá. Y llegó ya grande a la Argentina, se casó con una gallega muy jovencita. Y tuvo u…"
ref_abuela-gallega,Abuela gallega,reference,Personales y biográficas,"…abuelo catalán no tengo ninguna referencia directa. ¿Y de la abuela? Así es, es todo muy legendario. ¿Y de la abuela gallega? La abuela gallega parece que era así, más tranquila, ¿no? Y bueno, quedó con todos estos hijos, siete hijos…"
ref_padre-comerciante-en-pueblo-de-provincia,Padre comerciante en pueblo de provincia,reference,Personales y biográficas,"…í. De modo que tu padre nació en la Argentina. Mi padre nació en la Argentina. ¿Y a qué se dedicaba tu padre? Mi padre estaba en el comercio, todavía trabaja. Y él vivió siempre en un pueblo de provincia donde nací yo. ¿En el famoso general Villegas?…"
ref_madre-quimica-laboratorio-hospital-origen-italiano,Madre química; laboratorio hospital; origen italiano,reference,Personales y biográficas,"…madre también un poco. Mi madre es de origen italiano. Ella era una chica de ciudad, terminó sus estudios de química y fue a este pueblo a hacerse cargo del laboratorio de un hospital. Y allí conoció a mi padre y se casó. Y se…"
ref_infancia-en-la-pampa-seca-paisaje-plano-ausencia-de-agua-superficial,Infancia en La Pampa Seca; paisaje plano; ausencia de agua superficial,reference,Personales y biográficas,"…a era un pueblo casi de western, ¿no? Era a mil kilómetros casi de la capital, ¿no? Y en la zona que se llama Pampa Seca. La Pampa Húmeda es la parte que está más cerca del mar, hasta 400 kilómetros más o menos. Es otro tipo de ti…"
ref_ventana-al-mundo-cine-desde-nino-con-su-madre,Ventana al mundo: cine desde niño con su madre,reference,Personales y biográficas,"…ó a vivir allí, pero nunca, nunca pudo adaptarse al pueblo. Y iba mucho al cine. Y allí me llevó. Desde chico me empezó a llevar al cine. Y ahí se producen tus primeros descubrimientos asombrosos, ¿no? Bueno, mira, asombrosos y penosos a la larga…"
ref_rechazo-del-machismo-y-la-autoridad-sensibilidad-frente-a-prepotencia,Rechazo del machismo y la autoridad; sensibilidad frente a prepotencia,reference,Personales y biográficas,"…el clima humano era también duro. Sí, era muy especial. ¿Sabes qué te podría decir? Era la vigencia total del machismo. Allí estaba aceptado que debían existir fuertes y débiles. ¿Comprendes? Y lo que daba el prestigio era la pr…"
ref_secundaria-en-buenos-aires-expectativas-de-clase-rechazo-a-dar-ordenes,Secundaria en Buenos Aires; expectativas de clase; rechazo a 'dar órdenes',reference,Personales y biográficas,"…uera del pueblo, la realidad de esas películas iba a ser... La realidad normal. Pero cuando empecé la escuela secundaria y tuve que ir a Buenos Aires, porque en mi pueblo no había primaria nada más, encontré que en la ciudad de Bu…"
ref_aprendizaje-de-idiomas-ingles-italiano-frances-para-el-cine,"Aprendizaje de idiomas: inglés, italiano, francés (para el cine)",reference,Personales y biográficas,"…¡Gracias! Las novelas publicadas hasta el presente y traducidas a varios idiomas por Manuel Puig, cuyos títulos son La traición de Rita Heibor, publicada por vez primera en Buenos Aires en 1…"
ref_beca-y-estudios-en-centro-sperimentale-di-cinematografia-roma,Beca y estudios en Centro Sperimentale di Cinematografia (Roma),reference,Personales y biográficas,"…salto fue a Europa. Sí. A Roma. A Roma, sí. Estudiando italiano, literatura italiana, gané una beca y fui al Centro Experimental de Cinematografía en Roma, que era la escuela en esa época que más prestigio tenía, ¿no? Ahí estaba César de Sabatini. Sí, buen…"
ref_autoexiliotrayectoria-internacional-paris-estocolmo-roma-nueva-york,"Autoexilio/trayectoria internacional: París, Estocolmo, Roma, Nueva York",reference,Personales y biográficas,"…por otra parte. El problema probablemente de Manuel es que es un hombre que vive más que en ninguna parte de Nueva York, donde realmente hay una lucha idiomática complejísima, ¿no? Sí, mira, si quieres te volvemos al asunto que m…"
ref_trabajo-4-anos-en-compania-aerea-aeropuerto-de-nueva-york,Trabajo 4 años en compañía aérea (aeropuerto de Nueva York),reference,Personales y biográficas,…mportaba eran esas horas libres en que yo iba a trabajar. ¿Esa es la época en que estuviste trabajando en una compañía de líneas aéreas? Sí. ¿En el aeropuerto era? Sí. ¿En el aeropuerto de Nueva York? Sí. Allí estuve cuatro años. Tres años me ll…
ref_proceso-creativo-voces-escritura-a-mano-correccion-inseguridad-inicial,Proceso creativo: voces; escritura a mano; corrección; inseguridad inicial,reference,Personales y biográficas,"…necesita un modo de ser muy especial para lograr esto. Yo, no sé, si me dicen que tengo que hacer algo que no puedo corregir, ya me siento paralizado. Porque si puedo hacer algo es en base hacia la idea de que puedo corregir, revisar…"
ref_madre-cinefila-introduccion-al-cine,Madre cinéfila (introducción al cine),reference,Personales y biográficas,"…ó a vivir allí, pero nunca, nunca pudo adaptarse al pueblo. Y iba mucho al cine. Y allí me llevó. Desde chico me empezó a llevar al cine. Y ahí se producen tus primeros descubrimientos asombrosos, ¿no? Bueno, mira, asombrosos y penosos a la larga…"
