source,target,relation
ref_nacimiento-en-asuncion-1917,cat_personales,belongs_to
ref_mes-de-nacimiento-junio,cat_personales,belongs_to
ref_infancia-en-pueblecito-del-interior-paraguay,cat_personales,belongs_to
ref_bilinguismo-castellano-y-guarani,cat_personales,belongs_to
ref_participacion-juvenil-en-logistica-de-la-guerra-del-chaco,cat_personales,belongs_to
ref_corresponsal-en-la-segunda-guerra-mundial,cat_personales,belongs_to
ref_exilio-de-1947,cat_personales,belongs_to
ref_residencia-prolongada-en-argentina-30-anos,cat_personales,belongs_to
ref_docencia-en-la-universidad-de-toulouse,cat_personales,belongs_to
ref_entrevistareportaje-a-luis-cernuda,cat_personales,belongs_to
ref_encuentroentrevista-a-pablo-casals,cat_personales,belongs_to
ref_entrevista-con-charles-de-gaulle,cat_personales,belongs_to
ref_andre-magot-ministro-de-informacion,cat_personales,belongs_to
ref_el-ruisenor-de-la-aurora-poemario-1942,cat_culturales,belongs_to
ref_el-naranjal-ardiente-poemario-inedito,cat_culturales,belongs_to
ref_fulgencio-miranda-novela,cat_culturales,belongs_to
ref_el-trueno-entre-las-hojas-cuentos,cat_culturales,belongs_to
ref_hijo-de-hombre-novela,cat_culturales,belongs_to
ref_el-baldio-1966,cat_culturales,belongs_to
ref_los-pies-sobre-el-agua-1967,cat_culturales,belongs_to
ref_madera-quemada-1969,cat_culturales,belongs_to
ref_moriencia,cat_culturales,belongs_to
ref_yo-el-supremo-novela,cat_culturales,belongs_to
ref_alejo-carpentier-lo-real-maravilloso,cat_culturales,belongs_to
ref_lo-real-maravilloso-concepto,cat_culturales,belongs_to
ref_julio-cortazar,cat_culturales,belongs_to
ref_gabriel-garcia-marquez,cat_culturales,belongs_to
ref_mario-vargas-llosa,cat_culturales,belongs_to
ref_carlos-fuentes,cat_culturales,belongs_to
ref_juan-rulfo,cat_culturales,belongs_to
ref_juan-carlos-onetti,cat_culturales,belongs_to
ref_jorge-luis-borges,cat_culturales,belongs_to
ref_jose-gaspar-rodriguez-de-francia-personaje-historico-literario,cat_culturales,belongs_to
ref_dona-barbara-romulo-gallegos,cat_culturales,belongs_to
ref_don-segundo-sombra-guiraldes,cat_culturales,belongs_to
ref_la-voragine-jose-eustasio-rivera,cat_culturales,belongs_to
ref_luis-cernuda-poeta,cat_culturales,belongs_to
ref_poesia-espanola-generacion-exiliada,cat_culturales,belongs_to
ref_diario-el-pais-paraguay,cat_culturales,belongs_to
ref_ateneo-de-asuncion,cat_culturales,belongs_to
ref_festival-de-san-sebastian-cine,cat_culturales,belongs_to
ref_pelicula-la-sed-adaptacion-de-hijo-de-hombre,cat_culturales,belongs_to
ref_francisco-rabal-actor,cat_culturales,belongs_to
ref_barcelona-recorrido,cat_culturales,belongs_to
ref_andalucia-region-no-visitada,cat_culturales,belongs_to
ref_pablo-casals-chelista,cat_culturales,belongs_to
ref_guionista-de-cine-y-television,cat_culturales,belongs_to
ref_british-council,cat_pensamiento,belongs_to
ref_v-2-rockets,cat_pensamiento,belongs_to
ref_peenemunde-centro-de-pruebas,cat_pensamiento,belongs_to
ref_wernher-von-braun,cat_pensamiento,belongs_to
ref_coran,cat_pensamiento,belongs_to
ref_mahoma,cat_pensamiento,belongs_to
ref_guerra-de-la-triple-alianza-18651870,cat_contexto,belongs_to
ref_devastacion-demografica-200000-mujeres-ninos-ancianos,cat_contexto,belongs_to
ref_reconstruccion-del-paraguay-por-las-mujeres,cat_contexto,belongs_to
ref_guerra-del-chaco-decada-de-1930,cat_contexto,belongs_to
ref_standard-oil-petrolera,cat_contexto,belongs_to
ref_multinacionales-del-petroleo-intereses,cat_contexto,belongs_to
ref_100000-muertos-guerra,cat_contexto,belongs_to
ref_poblacion-india-de-bolivia-diezmada,cat_contexto,belongs_to
ref_exilio-asilo-en-embajada-1947,cat_contexto,belongs_to
ref_presidente-depuesto-y-repuesto-1947,cat_contexto,belongs_to
ref_dictadurarepresion-en-paraguay,cat_contexto,belongs_to
ref_paraguay-pais-magico,cat_contexto,belongs_to
ref_asuncion,cat_contexto,belongs_to
ref_chaco-region,cat_contexto,belongs_to
ref_altiplano-bolivia,cat_contexto,belongs_to
ref_londres,cat_contexto,belongs_to
ref_manchester,cat_contexto,belongs_to
ref_glasgow,cat_contexto,belongs_to
ref_edimburgo,cat_contexto,belongs_to
ref_paris,cat_contexto,belongs_to
ref_francia,cat_contexto,belongs_to
ref_espana,cat_contexto,belongs_to
ref_san-sebastian,cat_contexto,belongs_to
ref_barcelona,cat_contexto,belongs_to
ref_andalucia,cat_contexto,belongs_to
ref_buenos-aires,cat_contexto,belongs_to
ref_argentina,cat_contexto,belongs_to
ref_toulouse,cat_contexto,belongs_to
ref_itape-iturbesanta-clara,cat_contexto,belongs_to
ref_iturbe-santa-clara-pueblo,cat_contexto,belongs_to
ref_rio-creciente,cat_contexto,belongs_to
ref_bombardeo-de-londres-v-2,cat_contexto,belongs_to
ref_armisticio-fin-de-la-guerra-bombas-atomicas,cat_contexto,belongs_to
ref_festival-de-san-sebastian-premio-habla-espanola,cat_contexto,belongs_to
ref_feria-del-libro-de-frankfurt-mencionada-en-dialogo-sobre-rulfo,cat_contexto,belongs_to
ref_guerra-civilrevuelta-paraguaya-de-1947-seis-meses,cat_contexto,belongs_to
