id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento-en-asuncion-1917,Nacimiento en Asunción (1917),reference,Personales y biográficas,"…de los más grandes maestros de la narrativa hispanoamericana de nuestro tiempo, nació en Asunción en el año 1917. ¿En qué mes, maestro? En el mes de los mellizos, en junio. ¿Cómo eran los prim…"
ref_mes-de-nacimiento-junio,Mes de nacimiento: junio,reference,Personales y biográficas,"…ió en Asunción en el año 1917. ¿En qué mes, maestro? En el mes de los mellizos, en junio. ¿Cómo eran los primeros pasos, cómo era el clima familiar, el ambiente en que…"
ref_infancia-en-pueblecito-del-interior-paraguay,Infancia en pueblecito del interior (Paraguay),reference,Personales y biográficas,"…nera que recuerdo muy pocas cosas, salvo alguna que otra de mi infancia. era un pueblecito del interior del Paraguay, este país que no solamente es una incógnita en América Latina, sino es un país…"
ref_bilinguismo-castellano-y-guarani,Bilingüismo: castellano y guaraní,reference,Personales y biográficas,
ref_participacion-juvenil-en-logistica-de-la-guerra-del-chaco,Participación juvenil en logística de la Guerra del Chaco,reference,Personales y biográficas,…r hasta los frentes de batalla que era realmente mi objetivo porque por mi edad me destinaron a servicios auxiliares. Así que yo estuve y no estuve en la guerra. Pero fue una guerra de enorme crue…
ref_corresponsal-en-la-segunda-guerra-mundial,Corresponsal en la Segunda Guerra Mundial,reference,Personales y biográficas,
ref_exilio-de-1947,Exilio de 1947,reference,Personales y biográficas,
ref_residencia-prolongada-en-argentina-30-anos,Residencia prolongada en Argentina (30 años),reference,Personales y biográficas,
ref_docencia-en-la-universidad-de-toulouse,Docencia en la Universidad de Toulouse,reference,Personales y biográficas,
ref_entrevistareportaje-a-luis-cernuda,Entrevista/reportaje a Luis Cernuda,reference,Personales y biográficas,…tenga interés aquí en España contar que el primer sudamericano que descubrió a Luis Cernuda el gran poeta español en Edimburgo en Escocia donde él era lector de universida…
ref_encuentroentrevista-a-pablo-casals,Encuentro/entrevista a Pablo Casals,reference,Personales y biográficas,…samente yo otro recuerdo imborrable también para mí fue el encuentro casual con Pablo Casals en un tren que viajaba desde Londres a Glasgow para uno de sus conciertos y tam…
ref_entrevista-con-charles-de-gaulle,Entrevista con Charles de Gaulle,reference,Personales y biográficas,…de ¿y en cuanto a sus contactos con personajes históricos políticos por ejemplo de Gol? bueno sí tuve la suerte también en París de hacer un reportaje a Charles de Go…
ref_andre-magot-ministro-de-informacion,André Magot (ministro de Información),reference,Personales y biográficas,…r un reportaje a Charles de Gol ellos habían formado el gobierno provisorio con André Magot como ministro de información quien prácticamente fue mi intérprete dominaba muy…
ref_el-ruisenor-de-la-aurora-poemario-1942,"El ruiseñor de la aurora (poemario, 1942)",reference,Culturales y artísticas,
ref_el-naranjal-ardiente-poemario-inedito,"El naranjal ardiente (poemario, inédito)",reference,Culturales y artísticas,…iene es como códice de algún autor desconocido así que no me preocupa mucho que el naranjal ardiente ya por supuesto es el segundo poemario del que Augusto Roa no se arrepiente bue…
ref_fulgencio-miranda-novela,Fulgencio Miranda (novela),reference,Culturales y artísticas,…por ahí de la bibliografía de Augusto Roa aparece un libro en 1941 que se llama Fulgencio Miranda del que no tengo apenas otra noticia más que el título este libro también feliz…
ref_el-trueno-entre-las-hojas-cuentos,El trueno entre las hojas (cuentos),reference,Culturales y artísticas,
ref_hijo-de-hombre-novela,Hijo de hombre (novela),reference,Culturales y artísticas,"…que el nombre de Augusto Roa suene en todas partes y se examine con interés es Hijo de Hombre del que hay algunas ediciones publicadas también en nuestro país, aquí hay dos…"
ref_el-baldio-1966,El baldío (1966),reference,Culturales y artísticas,…ida del país Hijo de Hombre es la novela la gran novela de la que hemos hablado El baldío en 1966 en el 67 Los pies sobre el agua en el 68 Madera quemada en el 69 Morien…
ref_los-pies-sobre-el-agua-1967,Los pies sobre el agua (1967),reference,Culturales y artísticas,…es la novela la gran novela de la que hemos hablado El baldío en 1966 en el 67 Los pies sobre el agua en el 68 Madera quemada en el 69 Moriencia que es este que tenemos aquí y que t…
ref_madera-quemada-1969,Madera quemada (1969),reference,Culturales y artísticas,…la que hemos hablado El baldío en 1966 en el 67 Los pies sobre el agua en el 68 Madera quemada en el 69 Moriencia que es este que tenemos aquí y que también es un libro de re…
ref_moriencia,Moriencia,reference,Culturales y artísticas,…baldío en 1966 en el 67 Los pies sobre el agua en el 68 Madera quemada en el 69 Moriencia que es este que tenemos aquí y que también es un libro de relatos hay después u…
ref_yo-el-supremo-novela,Yo el Supremo (novela),reference,Culturales y artísticas,…r la figura de José Gaspar Rodrigo de Francia de ahí habría de salir este libro Yo el Supremo del que hablaremos ahora y que es un libro que en poquísimo tiempo ha alcanzado…
ref_alejo-carpentier-lo-real-maravilloso,Alejo Carpentier (lo real maravilloso),reference,Culturales y artísticas,"…clasificarse dentro del apartado de lo llamado lo real maravilloso a que aludía Alejo Carpantier en unas notas de viaje, precisamente en un viaje por Haití, diciendo que esa re…"
ref_lo-real-maravilloso-concepto,Lo real maravilloso (concepto),reference,Culturales y artísticas,"…e puede más o menos integrarse o clasificarse dentro del apartado de lo llamado lo real maravilloso a que aludía Alejo Carpantier en unas notas de viaje, precisamente en un viaje…"
ref_julio-cortazar,Julio Cortázar,reference,Culturales y artísticas,…omentos en que estos brillantes escritores de América Latina como es el caso de Cortázar o de Gabriel García Márquez o de Mario Vargas Llosa o de Carlos Fuentes surgían…
ref_gabriel-garcia-marquez,Gabriel García Márquez,reference,Culturales y artísticas,…to Roa está en silencio y en que se produce pues esa aparición brillantísima de García Márquez de Vargas Llosa de Carpentier de tantos otros conocidos antes a niveles mucho m…
