source,target,relation
ref_nombre-completo-juan-nepomuceno-carlos-perez-rulfo-vizcaino,cat_personales,belongs_to
ref_apellidos-compuestos-perez-rulfo,cat_personales,belongs_to
ref_antepasado-capitan-juan-del-rulfo-fuerzas-realistas-de-calleja,cat_personales,belongs_to
ref_antepasado-monje-que-migra-a-mexico,cat_personales,belongs_to
ref_cambio-de-bando-tras-la-independencia,cat_personales,belongs_to
ref_abuelo-paterno-abogado,cat_personales,belongs_to
ref_abuelo-materno-hacendado,cat_personales,belongs_to
ref_nace-en-apulco-cerca-de-sayula-perteneciente-a-san-gabriel,cat_personales,belongs_to
ref_san-gabriel-distrito-de-sayula,cat_personales,belongs_to
ref_sayula-jalisco,cat_personales,belongs_to
ref_jalisco-region-de-origen,cat_personales,belongs_to
ref_pueblo-en-barranca-con-puente-e-iglesia-construidos-por-el-abuelo,cat_personales,belongs_to
ref_rebelion-cristera-provoca-concentracion-de-pueblos,cat_personales,belongs_to
ref_muertes-del-padre-y-del-abuelo-durante-la-cristiada,cat_personales,belongs_to
ref_muerte-de-la-madre-pocos-anos-despues,cat_personales,belongs_to
ref_educacion-con-monjas-josefinas,cat_personales,belongs_to
ref_clausura-de-colegios-por-la-cristiada,cat_personales,belongs_to
ref_traslado-a-guadalajara,cat_personales,belongs_to
ref_orfanato-en-guadalajara-caracter-carcelario,cat_personales,belongs_to
ref_estado-depresivo-aprendido-en-el-orfanato,cat_personales,belongs_to
ref_panico-a-la-multitud-timidez-soledad,cat_personales,belongs_to
ref_emigracion-a-ciudad-de-mexico-1933-15-anos,cat_personales,belongs_to
ref_estudios-de-contabilidad-muleta,cat_personales,belongs_to
ref_trabajos-agente-de-inmigracion-recaudador-de-rentas,cat_personales,belongs_to
ref_facultad-de-filosofia-y-letras-unam,cat_personales,belongs_to
ref_departamento-de-inmigracion-1935-decada,cat_personales,belongs_to
ref_gestion-de-tripulaciones-de-barcos-alemanes-e-italianos-refugiados,cat_personales,belongs_to
ref_listas-diarias-guadalajara-como-carcel-abierta,cat_personales,belongs_to
ref_gobierno-se-apodera-de-barcos-y-navegan-con-bandera-panamena,cat_personales,belongs_to
ref_hundimiento-de-potrero-del-llano-y-cerro-azul-calderas,cat_personales,belongs_to
ref_barco-rin-cerro-azul-renombrado,cat_personales,belongs_to
ref_transatlantico-orinoco,cat_personales,belongs_to
ref_revista-romance-republicanos-espanoles-y-juan-rejano,cat_personales,belongs_to
ref_novela-juvenil-destruida-df,cat_personales,belongs_to
ref_trabajo-en-publicidad-y-ventas-de-llantas-bf-goodrich-probable,cat_personales,belongs_to
