id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_nombre-completo-juan-nepomuceno-carlos-perez-rulfo-vizcaino,Nombre completo: Juan Nepomuceno Carlos Pérez Rulfo Vizcaíno,reference,Personales y biográficas,"…mejor decir, con su nombre y apellidos, el excelentísimo señor don Juan Rulfo de México, mi hermano. Me llamo Juan Nepomuceno Carlos Pérez Rulfo Vizcaíno. Me apilaron todos los nombres de mis antepasados paternos y maternos como si fuera el vástago de un racimo d…"
ref_apellidos-compuestos-perez-rulfo,Apellidos compuestos (Pérez Rulfo),reference,Personales y biográficas,"…bre y apellidos, el excelentísimo señor don Juan Rulfo de México, mi hermano. Me llamo Juan Nepomuceno Carlos Pérez Rulfo Vizcaíno. Me apilaron todos los nombres de mis antepasados paternos y maternos como si fuera el vástago de un…"
ref_antepasado-capitan-juan-del-rulfo-fuerzas-realistas-de-calleja,Antepasado: Capitán Juan del Rulfo (fuerzas realistas de Calleja),reference,Personales y biográficas,"…es. Quizá fue el motivo fundamental que él se apropiara de ese Pérez Rulfo, ¿verdad? Porque era conocido como Capitán Juan del Rulfo en las fuerzas realistas. Y, naturalmente, que después él no quiso, vino la independencia y él trató de eludi…"
ref_antepasado-monje-que-migra-a-mexico,Antepasado monje que migra a México,reference,Personales y biográficas,"…de España por allá por el año 1790 y se establecieron originalmente. Uno de ellos, el antepasado directo, fue monje de un convento. Era el mayor de la familia y el padre no lo quería y lo metió de monje. Entonces, se fue a México a un conve…"
ref_cambio-de-bando-tras-la-independencia,Cambio de bando tras la Independencia,reference,Personales y biográficas,"…so, vino la independencia y él trató de eludir el compromiso que había tenido con las fuerzas españolas, para pasarse al bando insurgente. Yendo ya a estadios más próximos, parece que su abuelo paterno era abogado, creo. Era abogado, sí. Era aboga…"
ref_abuelo-paterno-abogado,Abuelo paterno abogado,reference,Personales y biográficas,"…pañolas, para pasarse al bando insurgente. Yendo ya a estadios más próximos, parece que su abuelo paterno era abogado, creo. Era abogado, sí. Era abogado. Y su abuelo materno, hacendado. Era hacendado, exactamente. Más o menos…"
ref_abuelo-materno-hacendado,Abuelo materno hacendado,reference,Personales y biográficas,"…próximos, parece que su abuelo paterno era abogado, creo. Era abogado, sí. Era abogado. Y su abuelo materno, hacendado. Era hacendado, exactamente. Más o menos los orígenes más inmediatos de Juan Rulfo, hay que buscarlos, en Jal…"
ref_nace-en-apulco-cerca-de-sayula-perteneciente-a-san-gabriel,"Nace en Apulco (cerca de Sayula), perteneciente a San Gabriel",reference,Personales y biográficas,"…ació exactamente en Sayula. Bueno, no exactamente en Sayula, sino en un pueblo cercano a Sayula, que se llama Apulco. Ajá, Apulco. Porque es que las biografías dan distintos nombres. Sí. Hablan de Sayula, hablan de San Gabriel…"
ref_san-gabriel-distrito-de-sayula,San Gabriel (distrito de Sayula),reference,Personales y biográficas,"…lama Apulco. Ajá, Apulco. Porque es que las biografías dan distintos nombres. Sí. Hablan de Sayula, hablan de San Gabriel. San Gabriel. Hablan de Pulco. De Pulco, sí. Efectivamente, nosotros nacimos en Apulco. Lo que pasa es que es…"
ref_sayula-jalisco,Sayula (Jalisco),reference,Personales y biográficas,"…jos. Ah, en los bajos. No en los altos, sino en los bajos. En los bajos, sí. Bien, usted nació exactamente en Sayula. Bueno, no exactamente en Sayula, sino en un pueblo cercano a Sayula, que se llama Apulco. Ajá, Apulco. Porqu…"
ref_jalisco-region-de-origen,Jalisco (región de origen),reference,Personales y biográficas,"…ado. Era hacendado, exactamente. Más o menos los orígenes más inmediatos de Juan Rulfo, hay que buscarlos, en Jalisco. En Jalisco. En los altos, ¿no? No, en los bajos. Ah, en los bajos. No en los altos, sino en los bajos. En lo…"
ref_pueblo-en-barranca-con-puente-e-iglesia-construidos-por-el-abuelo,Pueblo en barranca con puente e iglesia construidos por el abuelo,reference,Personales y biográficas,"…ara entonces? Son unos 2.000 habitantes, más o menos. ¿Cómo era ese pueblo? ¿Se acuerda? Era un pueblo en una barranca, ¿verdad? Este, con calles torcidas todas. Empinadas. Empinadas. Mi abuelo construyó, en realidad, casi todo…"
ref_rebelion-cristera-provoca-concentracion-de-pueblos,Rebelión cristera provoca concentración de pueblos,reference,Personales y biográficas,"…a iglesia. Y, en realidad, creó el pueblo. Pero vino después la rebelión cristera. Y entonces, este, hubo una concentración. Y a toda la gente de los pueblos pequeños los concentraron en las ciudades más grandes. Fue cuando nosotros…"
ref_muertes-del-padre-y-del-abuelo-durante-la-cristiada,Muertes del padre y del abuelo durante la cristiada,reference,Personales y biográficas,"…s meses de esa revolución usted sufrió una pérdida terrible para un niño que fue la de su padre, ¿no? Sí. Fue mi abuelo y mi padre. Los dos. Los dos murieron en esa misma época. Fueron dos golpes tremendos, ¿no? Sí. Y enseguida murió mi mad…"
ref_muerte-de-la-madre-pocos-anos-despues,Muerte de la madre pocos años después,reference,Personales y biográficas,"…o y mi padre. Los dos. Los dos murieron en esa misma época. Fueron dos golpes tremendos, ¿no? Sí. Y enseguida murió mi madre, a los pocos años también. Después murió su madre. ¿Usted estaba estudiando para entonces en las monjas josef…"
ref_educacion-con-monjas-josefinas,Educación con monjas josefinas,reference,Personales y biográficas,"…rió mi madre, a los pocos años también. Después murió su madre. ¿Usted estaba estudiando para entonces en las monjas josefinas de Guadalajara? Con las monjas josefinas de San Gabriel. De San Gabriel. Pero precisamente cuando vino la reb…"
ref_clausura-de-colegios-por-la-cristiada,Clausura de colegios por la cristiada,reference,Personales y biográficas,"…Con las monjas josefinas de San Gabriel. De San Gabriel. Pero precisamente cuando vino la rebelión cristera, clausuraron los colegios, entonces nosotros nos fuimos a Guadalajara. A la muerte de sus padres, prácticamente usted se quedó con casi…"
