source,target,relation
ref_rojas-pueblo-pampeano,cat_personales,belongs_to
ref_provincia-de-buenos-aires,cat_personales,belongs_to
ref_buenos-aires-capital,cat_personales,belongs_to
ref_la-plata-universidad-y-colegio,cat_personales,belongs_to
ref_colegio-nacional-de-la-universidad-de-la-plata,cat_personales,belongs_to
ref_estudios-de-fisica-y-matematica,cat_personales,belongs_to
ref_docencia-teoria-de-la-relatividad,cat_personales,belongs_to
ref_laboratorio-curie-paris-beca,cat_personales,belongs_to
ref_paris-estancia,cat_personales,belongs_to
ref_bruselas-estancia,cat_personales,belongs_to
ref_oferta-de-trabajo-en-la-unesco,cat_personales,belongs_to
ref_zurich-escritura-de-el-tunel,cat_personales,belongs_to
ref_milan-viaje,cat_personales,belongs_to
ref_cordoba-rancho-retiro,cat_personales,belongs_to
ref_exilio-interioraislamiento,cat_personales,belongs_to
ref_antonio-di-benedetto-solidaridad,cat_personales,belongs_to
ref_adolfo-bioy-casares-mencion-erronea,cat_personales,belongs_to
ref_julio-cortazar-coetaneo,cat_personales,belongs_to
ref_jorge-luis-borges-coetaneo-y-polemica,cat_personales,belongs_to
ref_el-tunel-novela,cat_culturales,belongs_to
ref_sobre-heroes-y-tumbas-novela,cat_culturales,belongs_to
ref_informe-sobre-ciegos-seccionnovela-interna,cat_culturales,belongs_to
ref_abaddon-el-exterminador-novela,cat_culturales,belongs_to
ref_cervantes-miguel-de,cat_culturales,belongs_to
ref_don-quijote-de-la-mancha,cat_culturales,belongs_to
ref_dostoyevski-fiodor,cat_culturales,belongs_to
ref_shakespeare-william,cat_culturales,belongs_to
ref_beckett-samuel,cat_culturales,belongs_to
ref_proust-marcel,cat_culturales,belongs_to
ref_ruben-dario,cat_culturales,belongs_to
ref_cesar-vallejo,cat_culturales,belongs_to
ref_fray-luis-de-leon-implicito-por-tradicion,cat_culturales,belongs_to
ref_grupo-de-boedo,cat_culturales,belongs_to
ref_grupo-de-florida,cat_culturales,belongs_to
ref_revista-sur-mencion-inferida-por-florida,cat_culturales,belongs_to
ref_platon,cat_pensamiento,belongs_to
ref_leibniz,cat_pensamiento,belongs_to
ref_schopenhauer,cat_pensamiento,belongs_to
ref_pascal-blaise,cat_pensamiento,belongs_to
ref_marx-karl,cat_pensamiento,belongs_to
ref_cristianismo-valoresvision,cat_pensamiento,belongs_to
ref_albert-einstein,cat_pensamiento,belongs_to
ref_teoria-de-la-relatividad,cat_pensamiento,belongs_to
ref_radiaciones-atomicas,cat_pensamiento,belongs_to
ref_atomo-de-uranio-decision-1938,cat_pensamiento,belongs_to
ref_juan-domingo-peron,cat_contexto,belongs_to
ref_peronismo,cat_contexto,belongs_to
ref_partido-comunista-inscripcion-juvenil,cat_contexto,belongs_to
ref_lenin-escuelas-leninistas,cat_contexto,belongs_to
ref_stalin-stalinismo,cat_contexto,belongs_to
ref_fascismo,cat_contexto,belongs_to
ref_ernesto-che-guevara-ideas,cat_contexto,belongs_to
ref_guerra-de-vietnam,cat_contexto,belongs_to
ref_estados-unidos-hegemonia,cat_contexto,belongs_to
ref_rusia-urss,cat_contexto,belongs_to
ref_europa-civilizacion,cat_contexto,belongs_to
ref_argentina,cat_contexto,belongs_to
ref_provincia-de-buenos-aires-2,cat_contexto,belongs_to
ref_buenos-aires,cat_contexto,belongs_to
ref_rojas-pueblo-pampeano-2,cat_contexto,belongs_to
ref_la-plata,cat_contexto,belongs_to
ref_cordoba-sierras,cat_contexto,belongs_to
ref_paris,cat_contexto,belongs_to
ref_bruselas,cat_contexto,belongs_to
ref_zurich-zurich,cat_contexto,belongs_to
ref_milan,cat_contexto,belongs_to
ref_roma,cat_contexto,belongs_to
ref_madrid,cat_contexto,belongs_to
ref_europa,cat_contexto,belongs_to
ref_estados-unidos,cat_contexto,belongs_to
ref_rusia,cat_contexto,belongs_to
ref_vietnam,cat_contexto,belongs_to
ref_descubrimiento-de-la-fision-1938,cat_contexto,belongs_to
ref_revolucion-actos-desinteresados-concepto,cat_contexto,belongs_to
ref_bombas-atomicas-segunda-guerra-mundial,cat_contexto,belongs_to
