id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_rojas-pueblo-pampeano,Rojas (pueblo pampeano),reference,Personales y biográficas,"…racias a usted. Vamos a recordar que fue en un pequeño pueblecito pampeano cuyo nombre es Rojas, que a la sazón no tenía más de 5.000 habitantes, donde vino al mundo Ernesto Sábato. Fue…"
ref_provincia-de-buenos-aires,Provincia de Buenos Aires,reference,Personales y biográficas,"…afuera. Volvamos a Rojas. ¿Era un pueblo rural? Sí, Rojas es un pueblo típicamente de la provincia de Buenos Aires. Nuestro país ha sido un país de inmigración. Es un país que desde el 1870, es decir, hac…"
ref_buenos-aires-capital,Buenos Aires (capital),reference,Personales y biográficas,"…amos a Rojas. ¿Era un pueblo rural? Sí, Rojas es un pueblo típicamente de la provincia de Buenos Aires. Nuestro país ha sido un país de inmigración. Es un país que desde el 1870, es decir, hac…"
ref_la-plata-universidad-y-colegio,La Plata (universidad y colegio),reference,Personales y biográficas,"…n tres o cuatro, empieza cuando sus padres le mandan a estudiar al Colegio Nacional de la Universidad de La Plata, donde pretenden, lógicamente, que usted haga un bachillerato. Sí, claro, eso es un momen…"
ref_colegio-nacional-de-la-universidad-de-la-plata,Colegio Nacional de la Universidad de La Plata,reference,Personales y biográficas,"…en usted ha sido también tres o cuatro, empieza cuando sus padres le mandan a estudiar al Colegio Nacional de la Universidad de La Plata, donde pretenden, lógicamente, que usted haga un bachillera…"
ref_estudios-de-fisica-y-matematica,Estudios de Física y Matemática,reference,Personales y biográficas,"…esé en las matemáticas. Y así resulta que efectivamente llega a ser físico, se doctora en ciencias físicas y matemáticas. Mientras tanto han ocurrido otras cosas, se ha ido interesando, como es lógico, por los…"
ref_docencia-teoria-de-la-relatividad,Docencia: Teoría de la Relatividad,reference,Personales y biográficas,
ref_laboratorio-curie-paris-beca,Laboratorio Curie (París) — beca,reference,Personales y biográficas,
ref_paris-estancia,París (estancia),reference,Personales y biográficas,"…de la misma manera, detesto las personas que hacen la revolución en América Latina desde París o Londres. Eso no me gusta nada, pero nada. Creo que el hombre, si tiene una idea, tiene…"
ref_bruselas-estancia,Bruselas (estancia),reference,Personales y biográficas,"…amiento se debió sobre todo a Stalin y a los crímenes del stalinismo. Cuando yo estuve en Bruselas, yo ya venía muy mal espiritualmente, yo tenía que ir a Rusia, a quedarme dos años en las…"
ref_oferta-de-trabajo-en-la-unesco,Oferta de trabajo en la UNESCO,reference,Personales y biográficas,…registra otro viaje a París un viaje a París que por cierto era con un con un cargo de la UNESCO muy bien remunerado y al que y el que por otra parte a usted no le hacía demasiado feliz…
ref_zurich-escritura-de-el-tunel,Zurich (escritura de 'El túnel'),reference,Personales y biográficas,
ref_milan-viaje,Milán (viaje),reference,Personales y biográficas,…uiza y esa noche yo tenía que esperar seis o siete cinco o seis horas creo para un tren a Milán y yo no iba a ir a un hotel por cinco o seis horas así que me puse a escribir esa noche e…
ref_cordoba-rancho-retiro,"Córdoba (rancho, retiro)",reference,Personales y biográficas,…difícil en el que Ernesto Sábato abandona Buenos Aires y se marcha a vivir a un rancho en Córdoba ¿tuvo algo que ver con eso el peronismo? Sí en parte el peronismo en parte mi crisis con…
ref_exilio-interioraislamiento,Exilio interior/aislamiento,reference,Personales y biográficas,…o momento difícil en el que Ernesto Sábato abandona Buenos Aires y se marcha a vivir a un rancho en Córdoba ¿tuvo algo que ver con eso el peronismo? Sí en parte el peronismo en parte mi…
ref_antonio-di-benedetto-solidaridad,Antonio Di Benedetto (solidaridad),reference,Personales y biográficas,…s nombres? bueno estos son nombres muy importantes después hay muchos jóvenes hay Antonio Di Benedetto que es un gran escritor y que sigue preso en la Argentina y el que no hemos logrado hasta…
ref_adolfo-bioy-casares-mencion-erronea,Adolfo Bioy Casares (mención errónea),reference,Personales y biográficas,…s bien yo creo que es heredero de la corriente de Borges somos dos líneas diferentes ¿no? Bío y Cazares Bío y Cazares también es un poco dentro de la corriente que podemos llamar de Florida ¿qu…
ref_julio-cortazar-coetaneo,Julio Cortázar (coetáneo),reference,Personales y biográficas,"…on Pedro Enrique Sureña el otro gran maestro que tuvimos en la generación posterior la de Cortázar y yo mismo es desde el punto de vista lingüístico e instrumental ha sido Borges no, qué e…"
ref_jorge-luis-borges-coetaneo-y-polemica,Jorge Luis Borges (coetáneo y polémica),reference,Personales y biográficas,"…na de incógnitas sí, sí salía del terreno de lo seguro y entraba en el terreno como diría Borges de la conjetura pero no se arrepiente no bueno me arrepiento de todo en mi vida y no me a…"
ref_el-tunel-novela,El túnel (novela),reference,Culturales y artísticas,…uy autocrítica yo publiqué muy pocas cosas tres novelas en toda mi vida mi primera novela El Túnel que creo que la he visto por acá fue publicada en el año 48 cuando yo tenía 37 años todo…
ref_sobre-heroes-y-tumbas-novela,Sobre héroes y tumbas (novela),reference,Culturales y artísticas,…sas en la Argentina en el famoso boom latinoamericano lo incluyeron a usted con esta obra sobre héroes y tumbas quisiera saber en general qué opinión le merecen por ejemplo Mario Vargas Llosa Gabriel G…
ref_informe-sobre-ciegos-seccionnovela-interna,Informe sobre ciegos (sección/novela interna),reference,Culturales y artísticas,…rís pero en cuanto a sobre héroes y tumbas hay en él sobre todo ese famoso y espeluznante informe sobre ciegos que se ha publicado también a veces de manera independiente como en esta edición que no s…
ref_abaddon-el-exterminador-novela,Abaddón el exterminador (novela),reference,Culturales y artísticas,
ref_cervantes-miguel-de,Cervantes (Miguel de),reference,Culturales y artísticas,…ett es un gran escritor. Es un escritor muy admirable pero grande en el sentido que es un Cervantes Shakespeare que ven todos los costados de la raza humana. No. No nos precipitemos. Esa cl…
