source,target,relation
ref_severo-sarduy-entrevistado,cat_personales,belongs_to
ref_nacimiento-en-camaguey,cat_personales,belongs_to
ref_vidaestancia-en-la-habana,cat_personales,belongs_to
ref_residenciaestancia-en-paris,cat_personales,belongs_to
ref_universidad-de-yale-profesor-que-lo-menciona,cat_personales,belongs_to
ref_jose-lezama-lima-mentorfigura-clave,cat_personales,belongs_to
ref_alejo-carpentier-contemporaneofigura-cubana,cat_personales,belongs_to
ref_guillermo-cabrera-infante-coetaneo,cat_personales,belongs_to
ref_reinaldo-arenas-coetaneo,cat_personales,belongs_to
ref_gestos,cat_culturales,belongs_to
ref_de-donde-son-los-cantantes,cat_culturales,belongs_to
ref_cobra,cat_culturales,belongs_to
ref_maitreya,cat_culturales,belongs_to
ref_big-bang,cat_culturales,belongs_to
ref_escrito-sobre-un-cuerpo,cat_culturales,belongs_to
ref_la-playa,cat_culturales,belongs_to
ref_barroco,cat_culturales,belongs_to
ref_mood-indigo-poemario,cat_culturales,belongs_to
ref_maravillas-de-la-naturaleza-libroobjeto-con-leonor-fini,cat_culturales,belongs_to
ref_revista-origenes,cat_culturales,belongs_to
ref_revista-ciclon,cat_culturales,belongs_to
ref_seix-barral-editorial,cat_culturales,belongs_to
ref_tusquets-editores,cat_culturales,belongs_to
ref_barral-editores,cat_culturales,belongs_to
ref_premio-medicis-francia,cat_culturales,belongs_to
ref_jorge-luis-borges,cat_culturales,belongs_to
ref_la-celestina-fernando-de-rojas,cat_culturales,belongs_to
ref_don-quijote-de-la-mancha,cat_culturales,belongs_to
ref_luis-de-gongora,cat_culturales,belongs_to
ref_santa-teresa-de-jesus,cat_culturales,belongs_to
ref_gertrudis-gomez-de-avellaneda,cat_culturales,belongs_to
ref_luis-cernuda,cat_culturales,belongs_to
ref_juan-ramon-jimenez,cat_culturales,belongs_to
ref_cesar-vallejo,cat_culturales,belongs_to
ref_julio-cortazar,cat_culturales,belongs_to
ref_mario-vargas-llosa,cat_culturales,belongs_to
ref_dante-alighieri,cat_culturales,belongs_to
ref_pablo-picasso,cat_culturales,belongs_to
ref_diego-velazquez,cat_culturales,belongs_to
ref_mark-rothko,cat_culturales,belongs_to
ref_luis-feito,cat_culturales,belongs_to
ref_leonor-fini-ilustradora,cat_culturales,belongs_to
ref_roland-barthes-semiologia,cat_pensamiento,belongs_to
ref_semiologia,cat_pensamiento,belongs_to
ref_estructuralismo,cat_pensamiento,belongs_to
ref_linguistica,cat_pensamiento,belongs_to
ref_budismo,cat_pensamiento,belongs_to
ref_buda-sakyamuni,cat_pensamiento,belongs_to
ref_sakyamuni-buda-historico,cat_pensamiento,belongs_to
ref_vishnu-tradicion-hinduista,cat_pensamiento,belongs_to
ref_vishnuita-devoto-de-vishnu,cat_pensamiento,belongs_to
ref_maitreya-bodhisattva-futuro,cat_pensamiento,belongs_to
ref_son-de-la-loma-cancion,cat_culturales,belongs_to
ref_flauta-china,cat_culturales,belongs_to
ref_flamenco-referencia-musical,cat_culturales,belongs_to
ref_cuba,cat_contexto,belongs_to
ref_la-habana,cat_contexto,belongs_to
ref_camaguey,cat_contexto,belongs_to
ref_espana,cat_contexto,belongs_to
ref_madrid,cat_contexto,belongs_to
ref_barcelona,cat_contexto,belongs_to
ref_francia,cat_contexto,belongs_to
ref_paris,cat_contexto,belongs_to
ref_india-pais,cat_contexto,belongs_to
ref_madras-india,cat_contexto,belongs_to
ref_mahabalipuram-india,cat_contexto,belongs_to
ref_kanchipuram-india,cat_contexto,belongs_to
ref_fujiyama-monte-fuji-japon,cat_contexto,belongs_to
ref_altamira-cuevas-espana,cat_contexto,belongs_to
ref_cordoba-espana,cat_contexto,belongs_to
ref_matamoros-cubamexico-aclarar,cat_contexto,belongs_to
ref_pisa-italia,cat_contexto,belongs_to
ref_stuttgart-alemania,cat_contexto,belongs_to
ref_estrenorepresentacion-de-la-playa-teatro,cat_contexto,belongs_to
ref_teatro-castle-posible-chatelet-sede-de-representacion,cat_contexto,belongs_to
ref_orsay-espacioteatro,cat_contexto,belongs_to
ref_revolucion-cuba-mencion-generica,cat_contexto,belongs_to
ref_seix-barral-correccion-de-sex-barral,cat_culturales,belongs_to
