id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_severo-sarduy-entrevistado,Severo Sarduy (entrevistado),reference,Personales y biográficas,"…escrito que en las obras de José Lezama Lima, Alejo Carpentier, Guillermo Cabrera Infante, Reinaldo Arenas y Severo Sarduy, que hoy cuenta Cuba con los mayores exponentes de la literatura neobarroca en la América Hispana. Esto está…"
ref_nacimiento-en-camaguey,Nacimiento en Camagüey,reference,Personales y biográficas,"…ado nuestra invitación. Bueno, vamos a hablar naturalmente de la vida y de la obra de este cubano que nace en Camagüey el 25 de febrero del año 1937. ¿Cómo era Camagüey por esas fechas? Ah, muy curioso que esa pregunta sea plant…"
ref_vidaestancia-en-la-habana,Vida/estancia en La Habana,reference,Personales y biográficas,"…de patrimonio. Creo que la escritura es heredada. ¿Ellos siguen viviendo en Cuba? Sí. Ellos viven en Cuba, en La Habana, con mi hermano. ¿Y de dónde vienen los Sarduy? Ah, pues es una pregunta que me interesa muchísimo. Recibí de…"
ref_residenciaestancia-en-paris,Residencia/estancia en París,reference,Personales y biográficas,"…bién sobre las paredes. He leído algún ensayo o alguna narración de algún escritor que ha visitado tu casa en París, tu apartamento a unos kilómetros de París, donde dice que en cuanto senta se encuentra uno con una pieza pin…"
ref_universidad-de-yale-profesor-que-lo-menciona,Universidad de Yale (profesor que lo menciona),reference,Personales y biográficas,"…¡Gracias! Un profesor de la Universidad de Yale ha escrito que en las obras de José Lezama Lima, Alejo Carpentier, Guillermo Cabrera Infante, Reinaldo Arenas…"
ref_jose-lezama-lima-mentorfigura-clave,José Lezama Lima (mentor/figura clave),reference,Personales y biográficas,"…¡Gracias! Un profesor de la Universidad de Yale ha escrito que en las obras de José Lezama Lima, Alejo Carpentier, Guillermo Cabrera Infante, Reinaldo Arenas y Severo Sarduy, que hoy cuenta Cuba con los ma…"
ref_alejo-carpentier-contemporaneofigura-cubana,Alejo Carpentier (contemporáneo/figura cubana),reference,Personales y biográficas,"…¡Gracias! Un profesor de la Universidad de Yale ha escrito que en las obras de José Lezama Lima, Alejo Carpentier, Guillermo Cabrera Infante, Reinaldo Arenas y Severo Sarduy, que hoy cuenta Cuba con los mayores exponentes d…"
ref_guillermo-cabrera-infante-coetaneo,Guillermo Cabrera Infante (coetáneo),reference,Personales y biográficas,"…ias! Un profesor de la Universidad de Yale ha escrito que en las obras de José Lezama Lima, Alejo Carpentier, Guillermo Cabrera Infante, Reinaldo Arenas y Severo Sarduy, que hoy cuenta Cuba con los mayores exponentes de la literatura neobarroca…"
ref_reinaldo-arenas-coetaneo,Reinaldo Arenas (coetáneo),reference,Personales y biográficas,"…ersidad de Yale ha escrito que en las obras de José Lezama Lima, Alejo Carpentier, Guillermo Cabrera Infante, Reinaldo Arenas y Severo Sarduy, que hoy cuenta Cuba con los mayores exponentes de la literatura neobarroca en la América His…"
ref_gestos,Gestos,reference,Culturales y artísticas,"…inar y en el ritmo incluso de la conversación, en la cadencia y en la música que tienen las palabras. Sí, los gestos también. Los gestos también, por supuesto. El pueblo cubano es un pueblo muy extrovertido, es un pueblo que e…"
ref_de-donde-son-los-cantantes,De dónde son los cantantes,reference,Culturales y artísticas,…i edad es Vargas Llosa que es el más joven ellos están antes mi generación sigue después 1967 segunda novela ¿de dónde son los cantantes? es una novela que está prácticamente agotada si será reeditada muy pronto por Sex Barral en Barcelona Barral…
ref_cobra,Cobra,reference,Culturales y artísticas,"…ue en definitiva lo que pasa a la mano, un poco como en esos diagramas indios, por supuesto, en la portada de Cobra por ejemplo, lo que pasa a la mano es una energía que viene del sexo. Creo que se podría hacer un diagrama tá…"
ref_maitreya,Maitreya,reference,Culturales y artísticas,"…l, en mis libros hay una historia, hay un desarrollo, hay incluso un aspecto en el próximo libro que se llama Maitreya relativamente policíaco, hay todo esto, si se quiere, hay mucho color, pero lo que importa es que él esté en…"
ref_big-bang,Big Bang,reference,Culturales y artísticas,…amos estar días enteros hablando de ella y discutiéndola citemos ahora que en 1973 aparece el libro de poemas Big Bang Big Bang sí está publicado en Barcelona en Tusquets exacto sí apareció en 1974 en Barcelona había aparecido a…
ref_escrito-sobre-un-cuerpo,Escrito sobre un cuerpo,reference,Culturales y artísticas,"…crítica que habían sido previamente escritos para revistas como Tel, Kel y Nuevo Mundo y aparecen en el libro escrito sobre un cuerpo que me parece que no tenemos aquí escrito sobre un cuerpo aparece en Sudamérica en 1969 y constituye un momen…"
ref_la-playa,La playa,reference,Culturales y artísticas,…gada a Buenos Aires en el 69 ¿no? vamos agotando los plazos en 1971 primera obra de teatro una pieza titulada La playa que se estrena en Castle sí ahora acaba de pasar en París también en el Teatre d'Orsay esta pieza ha sido rep…
ref_barroco,Barroco,reference,Culturales y artísticas,"…, había un compañero que tenía una gran casa, una gran mansión camagüeyana, colonial, en fin, también muy del barroco español y este compañero, pues, con un gusto muy típico de la época, ponía valses en un tocadisco, valses qui…"
ref_mood-indigo-poemario,Mood índigo (poemario),reference,Culturales y artísticas,…a la playa se vendían en el vestíbulo dos libros de poemas que habían aparecido en 69 en Stuttgart flamenco y mood índigo el mismo año 71 aparece Maravillas de la naturaleza ilustrado por Leonor Fini es un libro objeto de JJ Jean-J…
ref_maravillas-de-la-naturaleza-libroobjeto-con-leonor-fini,Maravillas de la naturaleza (libro‑objeto con Leonor Fini),reference,Culturales y artísticas,…o dos libros de poemas que habían aparecido en 69 en Stuttgart flamenco y mood índigo el mismo año 71 aparece Maravillas de la naturaleza ilustrado por Leonor Fini es un libro objeto de JJ Jean-Jacques Pauver que ha sido uno de los grandes especia…
