source,target,relation
ref_nacimiento-en-lima-peru-1928,cat_personales,belongs_to
ref_exilio-durante-el-ochenio-de-odria-78-anos,cat_personales,belongs_to
ref_dos-veces-casado-tres-hijos-una-nina-de-cuatro-anos,cat_personales,belongs_to
ref_padre-fallecido-madre-vive-y-volvio-al-peru,cat_personales,belongs_to
ref_participacion-directa-en-rebeliones-campesinas,cat_personales,belongs_to
ref_trabajo-de-campo-con-comuneros-andinos-cintas-y-fotos,cat_personales,belongs_to
ref_hector-chacon-el-nictalope,cat_personales,belongs_to
ref_fermin-espinosa-garabombo,cat_personales,belongs_to
ref_agapito-robles-lider-comunero,cat_personales,belongs_to
ref_raimundo-herrera-el-jinete-insomne,cat_personales,belongs_to
ref_juez-montenegro-personaje-basado-en-realidad-local,cat_personales,belongs_to
ref_pentalogia-balada-ciclo-de-cinco-novelas,cat_culturales,belongs_to
ref_redoble-por-rancas-1970,cat_culturales,belongs_to
ref_historia-de-garabombo-el-invisible,cat_culturales,belongs_to
ref_el-jinete-insomne-tercera-novela,cat_culturales,belongs_to
ref_cantar-de-agapito-robles-cuarta,cat_culturales,belongs_to
ref_la-tumba-del-relampago-quinta,cat_culturales,belongs_to
ref_poesia-las-imprecaciones,cat_culturales,belongs_to
ref_poesia-los-adioses,cat_culturales,belongs_to
ref_poesia-desenganos-del-mago,cat_culturales,belongs_to
ref_hector-chacon-el-nictalope-personaje,cat_culturales,belongs_to
ref_garabombo-el-invisible-personaje,cat_culturales,belongs_to
ref_raimundo-herrera-el-jinete-insomne-personaje,cat_culturales,belongs_to
ref_agapito-robles-personaje,cat_culturales,belongs_to
ref_miguel-angel-asturias,cat_culturales,belongs_to
ref_alejo-carpentier,cat_culturales,belongs_to
ref_juan-rulfo,cat_culturales,belongs_to
ref_pablo-neruda,cat_culturales,belongs_to
ref_ernesto-sabato,cat_culturales,belongs_to
ref_jorge-luis-borges,cat_culturales,belongs_to
ref_jose-lezama-lima-paradiso-mencion-de-la-obra,cat_culturales,belongs_to
ref_juan-rulfo-pedro-paramo,cat_culturales,belongs_to
ref_miguel-de-cervantes-el-quijote,cat_culturales,belongs_to
ref_monte-avila-editores-contrato,cat_culturales,belongs_to
ref_barcelona-centro-editorial-hispanico,cat_culturales,belongs_to
ref_ediciones-espanolas-bolsillo-de-las-novelas,cat_culturales,belongs_to
ref_television-espanola-programa-de-entrevista,cat_culturales,belongs_to
ref_cintas-magnetofonicas-testimonios,cat_culturales,belongs_to
ref_hegel-historia-ideal-de-un-pueblo,cat_pensamiento,belongs_to
ref_linguistica-comunidad-hispanica-de-300-millones-vacio-de-poder,cat_pensamiento,belongs_to
ref_ultima-gran-rebelion-quechua-19591960,cat_contexto,belongs_to
ref_masacres-y-represion-estatal-en-los-andes,cat_contexto,belongs_to
ref_multinacionales-vs-comunidades-cercos-represas,cat_contexto,belongs_to
ref_cerro-de-pasco-corporation-compania,cat_contexto,belongs_to
ref_dictadura-de-manuel-a-odria-ochenio,cat_contexto,belongs_to
ref_gobierno-revolucionario-de-la-fuerza-armada-juan-velasco-alvarado,cat_contexto,belongs_to
ref_presidencia-de-francisco-morales-bermudez,cat_contexto,belongs_to
ref_revolucion-china-campesina,cat_contexto,belongs_to
ref_caso-infarto-colectivo-envenenamiento-encubierto,cat_contexto,belongs_to
ref_entrega-de-60-mil-hectareas-en-rancas-24-de-junio-dia-de-san-juan,cat_contexto,belongs_to
ref_resolucion-del-juicio-de-chavina-junio-de-1977,cat_contexto,belongs_to
ref_liberacion-de-chacon-por-el-presidente-velasco,cat_contexto,belongs_to
ref_rancas-pasco-peru,cat_contexto,belongs_to
ref_andes-centrales-peru,cat_contexto,belongs_to
ref_cerro-de-pasco-region,cat_contexto,belongs_to
ref_la-pampa-cerro-de-pasco,cat_contexto,belongs_to
ref_lagunas-cercadas-pasco,cat_contexto,belongs_to
ref_cusco-corte-del-cusco,cat_contexto,belongs_to
ref_amazonas-selva-peruana,cat_contexto,belongs_to
ref_cepa-presidio-en-la-selva,cat_contexto,belongs_to
ref_peru,cat_contexto,belongs_to
ref_espana,cat_contexto,belongs_to
ref_barcelona-espana,cat_contexto,belongs_to
ref_lima-capital-del-peru,cat_contexto,belongs_to
ref_europa-exilio,cat_contexto,belongs_to
ref_colombia-fallo-que-no-considera-humanos-a-indios,cat_contexto,belongs_to
ref_imperio-espanol-metropoli-colonial,cat_contexto,belongs_to
ref_rancas-a-45004600-m-de-altitud,cat_contexto,belongs_to
ref_rancas-a-4600-m-otra-mencion,cat_contexto,belongs_to
ref_ferrocarril-via-sin-trenes-convoy-con-dos-vagones,cat_contexto,belongs_to
ref_cerco-de-alambres-gusano-de-alambre,cat_contexto,belongs_to
