id,label,type,group,note
cat_pensamiento,Pensamiento y conocimiento,category,Pensamiento y conocimiento,
cat_contexto,Contexto socio-histórico,category,Contexto socio-histórico,
cat_personales,Personales y biográficas,category,Personales y biográficas,
cat_culturales,Culturales y artísticas,category,Culturales y artísticas,
ref_nacimiento-en-lima-peru-1928,"Nacimiento en Lima (Perú), 1928",reference,Personales y biográficas,"…novelas de una pentalogía que se denomina en principio Balada, original de Manuel Escorza, poeta, novelista, nacido en Lima, Perú en 1928. Estas dos primeras novelas que hemos conocido también en España se titulan Redoble por Rancas, que fue publi…"
ref_exilio-durante-el-ochenio-de-odria-78-anos,Exilio durante el ochenio de Odría (7–8 años),reference,Personales y biográficas,…a tomar el camino del exilio así es fue el general Rodríaz y yo estuve exilado durante todo su gobierno es el ochenio justamente el ochenio los ocho años tuve que estar yo fuera claro que no era el único era la primera división…
ref_dos-veces-casado-tres-hijos-una-nina-de-cuatro-anos,"Dos veces casado, tres hijos, una niña de cuatro años",reference,Personales y biográficas,…no sé esos son temas tan vastos que los cuales uno no puede familia amores familia amores bueno yo he estado dos veces casado soy divorciado tengo tres hijos tengo una maravillosa niña de cuatro años hace poco cumplió cuatro años y le…
ref_padre-fallecido-madre-vive-y-volvio-al-peru,Padre fallecido; madre vive y volvió al Perú,reference,Personales y biográficas,…ís es eso y el resto pues que trato de vivir de escribir lo que puedo una civilización que ¿viven sus padres? mi padre murió mi madre vive mi madre vive estuvo un tiempo en el extranjero ahora ha vuelto a Perú ¿hace mucho que no ha id…
ref_participacion-directa-en-rebeliones-campesinas,Participación directa en rebeliones campesinas,reference,Personales y biográficas,"…e o la historia oficial no la cuenta y los indios no hablan, hay muy pocas cosas, ¿no? Yo tuve oportunidad de asistir en calidad de protagonista a una de estas grandes rebeliones y intenté contarlas como mejor pude porque, mira, yo quería mostrar que en…"
ref_trabajo-de-campo-con-comuneros-andinos-cintas-y-fotos,Trabajo de campo con comuneros andinos (cintas y fotos),reference,Personales y biográficas,…mo ven están reproducidos de una realidad viva no solamente están ahí en las fotografías están también en las cintas magnetofónicas que conserva Manuel Escorza y están sobre todo vivos allá en los Andes este es este es Fermín Espinosa conoci…
ref_hector-chacon-el-nictalope,Héctor Chacón (“El Nictálope”),reference,Personales y biográficas,…tas fotos donde están personajes de las novelas de de Escorza ¿quiénes son estos personajes? bueno este es el Nictalope Héctor Chacón el famoso Nictalope en el momento que se encuentra con su mujer a su retorno a la salida de la…
ref_fermin-espinosa-garabombo,Fermín Espinosa (“Garabombo”),reference,Personales y biográficas,…cintas magnetofónicas que conserva Manuel Escorza y están sobre todo vivos allá en los Andes este es este es Fermín Espinosa conocido con el nombre de Garabombo el invisible el transparente el transparente el hombre que no lo veían po…
ref_agapito-robles-lider-comunero,Agapito Robles (líder comunero),reference,Personales y biográficas,"…Garabombo, el Invisible. Le seguirán la tercera novela, El jirete insomne, la cuarta con el título Cantar de Agapito Robles y la quinta, La tumba del relámpago. Manuel Escorza es el hombre que ha hecho en muy pocos años, en realidad…"
ref_raimundo-herrera-el-jinete-insomne,Raimundo Herrera (“El jinete insomne”),reference,Personales y biográficas,…ble luego en la gran derrota que se produce porque esta es una sucesión de derrotas viene Raimundo Herrera el Jinete Sin Sueño con una primera victoria siempre es así son ritmos de victoria y derrotas en estas historias de campesinos y…
ref_juez-montenegro-personaje-basado-en-realidad-local,Juez Montenegro (personaje basado en realidad local),reference,Personales y biográficas,…en Garabombo pero en Redoble se cuentan cosas realmente escalofriantes como por ejemplo la de que el juez el juez Montenegro que es una especie de pequeño dictador de reyezuelo se pone a jugar al póker durante 90 días con sus 90 noche…
ref_pentalogia-balada-ciclo-de-cinco-novelas,Pentalogía 'Balada' (ciclo de cinco novelas),reference,Culturales y artísticas,"…¡Gracias! En 30 países se han publicado las dos primeras novelas de una pentalogía que se denomina en principio Balada, original de Manuel Escorza, poeta, novelista, nacido en Lima, Perú en 19…"
ref_redoble-por-rancas-1970,Redoble por Rancas (1970),reference,Culturales y artísticas,"…sta, nacido en Lima, Perú en 1928. Estas dos primeras novelas que hemos conocido también en España se titulan Redoble por Rancas, que fue publicada en 1970 y la segunda parte se llama Historia de Garabombo, el Invisible. Le seguirán la te…"
ref_historia-de-garabombo-el-invisible,"Historia de Garabombo, el Invisible",reference,Culturales y artísticas,"…én en España se titulan Redoble por Rancas, que fue publicada en 1970 y la segunda parte se llama Historia de Garabombo, el Invisible. Le seguirán la tercera novela, El jirete insomne, la cuarta con el título Cantar de Agapito Robles y la quin…"
ref_el-jinete-insomne-tercera-novela,El jinete insomne (tercera novela),reference,Culturales y artísticas,…rar cosas negativas sino para intentar demostrar cosas positivas por ejemplo usted aludía a mi próxima novela El jinete insomne ¿Quién es el jinete insomne? es otro de estos hombres que yo los juzgo extraordinarios porque los son en la m…
ref_cantar-de-agapito-robles-cuarta,Cantar de Agapito Robles (cuarta),reference,Culturales y artísticas,"…istoria de Garabombo, el Invisible. Le seguirán la tercera novela, El jirete insomne, la cuarta con el título Cantar de Agapito Robles y la quinta, La tumba del relámpago. Manuel Escorza es el hombre que ha hecho en muy pocos años, en realidad…"
ref_la-tumba-del-relampago-quinta,La tumba del relámpago (quinta),reference,Culturales y artísticas,"…seguirán la tercera novela, El jirete insomne, la cuarta con el título Cantar de Agapito Robles y la quinta, La tumba del relámpago. Manuel Escorza es el hombre que ha hecho en muy pocos años, en realidad es en 1970 cuando aparece la primera…"
ref_poesia-las-imprecaciones,Poesía: Las imprecaciones,reference,Culturales y artísticas,…o además además además Scorza se hizo conocer como poeta publicando cuatro libros de poemas cuyos títulos son Las imprecaciones los adioses desengaños del mago y el vals de los reptiles ¿qué nos podría decir Manuel Scorza acerca de su po…
