source,target,relation
ref_antonio-skarmeta,cat_personales,belongs_to
ref_edward-albee,cat_personales,belongs_to
ref_ariel-dorfman,cat_personales,belongs_to
ref_carlos-droguett,cat_personales,belongs_to
ref_francisco-urondo,cat_personales,belongs_to
ref_william-saroyan,cat_personales,belongs_to
ref_jack-kerouac,cat_personales,belongs_to
ref_radomiro-tomic,cat_personales,belongs_to
ref_isla-de-brac,cat_personales,belongs_to
ref_columbia-university,cat_personales,belongs_to
ref_joaquin-prieto-autor-antonio-prieto-interprete,cat_personales,belongs_to
ref_julio-cortazar,cat_culturales,belongs_to
ref_edward-albee-2,cat_culturales,belongs_to
ref_ariel-dorfman-2,cat_culturales,belongs_to
ref_carlos-droguett-2,cat_culturales,belongs_to
ref_jean-franco,cat_pensamiento,belongs_to
ref_oscar-collazos,cat_culturales,belongs_to
ref_francisco-urondo-2,cat_culturales,belongs_to
ref_onelio-jorge-cardoso,cat_culturales,belongs_to
ref_william-saroyan-2,cat_culturales,belongs_to
ref_jack-kerouac-2,cat_culturales,belongs_to
ref_william-faulkner,cat_culturales,belongs_to
ref_john-steinbeck,cat_culturales,belongs_to
ref_gabriel-garcia-marquez,cat_culturales,belongs_to
ref_mario-vargas-llosa,cat_culturales,belongs_to
ref_jose-lezama-lima,cat_culturales,belongs_to
ref_juan-carlos-onetti,cat_culturales,belongs_to
ref_agustin-yanez,cat_culturales,belongs_to
ref_octavio-paz,cat_culturales,belongs_to
ref_manuel-rojas,cat_culturales,belongs_to
ref_jose-donoso,cat_culturales,belongs_to
ref_manuel-puig,cat_culturales,belongs_to
ref_peter-lilienthal,cat_culturales,belongs_to
ref_eduardo-frei-montalva,cat_contexto,belongs_to
ref_radomiro-tomic-2,cat_contexto,belongs_to
ref_salvador-allende,cat_contexto,belongs_to
ref_joaquin-prieto-autor-de-todos-enamorados-menos-yo,cat_culturales,belongs_to
ref_antonio-prieto-popularizo-la-novia,cat_culturales,belongs_to
ref_sone-que-la-nieve-ardia,cat_culturales,belongs_to
ref_desnudo-en-el-tejado,cat_culturales,belongs_to
ref_tiro-libre,cat_culturales,belongs_to
ref_el-ciclista-del-san-cristobal,cat_culturales,belongs_to
ref_todos-enamorados-menos-yo,cat_culturales,belongs_to
ref_el-entusiasmo,cat_culturales,belongs_to
ref_tendencias-de-la-mas-nueva-narrativa-hispanoamericana,cat_pensamiento,belongs_to
ref_la-victoria,cat_culturales,belongs_to
ref_reina-la-tranquilidad-en-todo-el-pais,cat_culturales,belongs_to
ref_la-busqueda-radioteatro,cat_culturales,belongs_to
ref_la-mancha,cat_culturales,belongs_to
ref_rayuela-julio-cortazar,cat_culturales,belongs_to
ref_antofagasta,cat_culturales,belongs_to
ref_santiago-de-chile,cat_culturales,belongs_to
ref_buenos-aires,cat_culturales,belongs_to
ref_berlin,cat_culturales,belongs_to
ref_yugoslavia,cat_culturales,belongs_to
ref_isla-de-brac-2,cat_culturales,belongs_to
ref_tango,cat_culturales,belongs_to
ref_rock-and-roll,cat_culturales,belongs_to
ref_futbol,cat_culturales,belongs_to
ref_ciclismo,cat_culturales,belongs_to
ref_democracia-cristiana-chile,cat_contexto,belongs_to
ref_unidad-popular-chile,cat_contexto,belongs_to
ref_golpe-de-estado-en-chile-1973,cat_contexto,belongs_to
ref_reforma-agraria-chile,cat_contexto,belongs_to
ref_nacionalizacion-del-cobre-chile,cat_contexto,belongs_to
ref_instituto-nacional-santiago,cat_pensamiento,belongs_to
ref_universidad-de-chile,cat_pensamiento,belongs_to
ref_columbia-university-2,cat_pensamiento,belongs_to
ref_revista-chilena-de-literatura,cat_pensamiento,belongs_to
ref_la-quinta-rueda,cat_pensamiento,belongs_to
ref_quimantu,cat_pensamiento,belongs_to
ref_feria-del-libro-de-frankfurt,cat_culturales,belongs_to
ref_festival-de-cannes,cat_culturales,belongs_to
ref_festival-de-berlin,cat_culturales,belongs_to
ref_festival-de-san-sebastian,cat_culturales,belongs_to
ref_programa-cultural-en-tv-chilena,cat_culturales,belongs_to
