source,target,relation
ref_nacimiento-en-caracas-1906,cat_personales,belongs_to
ref_infancia-bajo-dictadura-de-juan-vicente-gomez,cat_personales,belongs_to
ref_trayectoria-politica-ministro-secretario-de-la-presidencia-senador-embajador-en-la-unesco,cat_personales,belongs_to
ref_detencion-durante-la-dictadura-de-perez-jimenez,cat_personales,belongs_to
ref_miguel-angel-asturias-amistad-y-carta-de-presentacion,cat_personales,belongs_to
ref_descendencia-y-familia-dos-hijos-varones-apellido-husler,cat_personales,belongs_to
ref_origenes-familiares-aleman-de-hanover-corsos,cat_personales,belongs_to
ref_legion-extranjera-con-bolivar-200-oficiales,cat_personales,belongs_to
ref_las-lanzas-coloradas-novela,cat_culturales,belongs_to
ref_el-camino-del-dorado-novela,cat_culturales,belongs_to
ref_el-laberinto-de-la-fortuna-novela,cat_culturales,belongs_to
ref_barrabas-y-otros-relatos-cuentos,cat_culturales,belongs_to
ref_la-otra-america-ensayo,cat_culturales,belongs_to
ref_tierra-venezolana-ensayo,cat_culturales,belongs_to
ref_don-quijote-de-la-mancha,cat_culturales,belongs_to
ref_menendez-pelayo-antologia-1892,cat_culturales,belongs_to
ref_jorge-luis-borges,cat_culturales,belongs_to
ref_inca-garcilaso-de-la-vega,cat_culturales,belongs_to
ref_comentarios-reales-obra,cat_culturales,belongs_to
ref_juan-de-mena-poeta,cat_culturales,belongs_to
ref_jose-ortega-y-gasset,cat_culturales,belongs_to
ref_rufino-blanco-fombona,cat_culturales,belongs_to
ref_andres-eloy-blanco-poesia,cat_culturales,belongs_to
ref_la-voragine-novela-mencion-como-boragine,cat_culturales,belongs_to
ref_dona-barbara-novela,cat_culturales,belongs_to
ref_don-segundo-sombra-novela,cat_culturales,belongs_to
ref_realismo-magico-termino-critico,cat_culturales,belongs_to
ref_bello-andres-bello,cat_culturales,belongs_to
ref_domingo-f-sarmiento,cat_culturales,belongs_to
ref_eugenio-maria-de-hostos,cat_culturales,belongs_to
ref_poetas-del-modernismo,cat_culturales,belongs_to
ref_adaptacion-cinematografica-de-las-lanzas-coloradas-intentos,cat_culturales,belongs_to
ref_barroco-de-indias-arte,cat_culturales,belongs_to
ref_angelitos-negros-cancion-a-partir-del-poema,cat_culturales,belongs_to
ref_coran,cat_pensamiento,belongs_to
ref_mahoma,cat_pensamiento,belongs_to
ref_francisco-de-vitoria-salamanca,cat_pensamiento,belongs_to
ref_bartolome-de-las-casas,cat_pensamiento,belongs_to
ref_universidad-de-salamanca-juntas-teologosjuristas,cat_pensamiento,belongs_to
ref_premios-nobel-mencion-prospectiva,cat_pensamiento,belongs_to
ref_juan-vicente-gomez-caudillo,cat_contexto,belongs_to
ref_caudillo-hispanoamericano-concepto,cat_contexto,belongs_to
ref_rafael-leonidas-trujillo-dictador,cat_contexto,belongs_to
ref_juan-manuel-de-rosas,cat_contexto,belongs_to
ref_facundo-quiroga,cat_contexto,belongs_to
ref_porfirio-diaz,cat_contexto,belongs_to
ref_jose-antonio-paez,cat_contexto,belongs_to
ref_cipriano-castro-mencionado-como-castro,cat_contexto,belongs_to
ref_marcos-perez-jimenez-dictadura,cat_contexto,belongs_to
ref_eleazar-lopez-contreras,cat_contexto,belongs_to
ref_isaias-medina-angarita,cat_contexto,belongs_to
ref_golpe-del-18-de-octubre-de-1945,cat_contexto,belongs_to
ref_accion-democratica-ad,cat_contexto,belongs_to
ref_romulo-gallegos-presidente-y-novelista,cat_contexto,belongs_to
ref_carlos-delgado-chalbaud-presidente-nominal,cat_contexto,belongs_to
ref_copei-partido-socialcristiano,cat_contexto,belongs_to
ref_rafael-caldera-presidente,cat_contexto,belongs_to
ref_carlos-andres-perez-presidente-slogans,cat_contexto,belongs_to
ref_opep-organizacion-petrolera,cat_contexto,belongs_to
ref_sela-sistema-economico-latinoamericano,cat_contexto,belongs_to
ref_mercado-comun-latinoamericano-alalc,cat_contexto,belongs_to
ref_pacto-andino,cat_contexto,belongs_to
ref_mercado-comun-centroamericano,cat_contexto,belongs_to
ref_organizacion-de-mercado-comun-de-las-antillas,cat_contexto,belongs_to
ref_comunidad-europea-integracion,cat_contexto,belongs_to
ref_union-sovietica,cat_contexto,belongs_to
ref_estados-unidos,cat_contexto,belongs_to
ref_espana-reyes-catolicos-carlos-v-felipe-ii-fernando-vii,cat_contexto,belongs_to
ref_junta-de-burgos-leyes-de-indias,cat_contexto,belongs_to
ref_renovales-general-espanol,cat_contexto,belongs_to
ref_ayacucho-batalla,cat_contexto,belongs_to
ref_cuba-y-puerto-rico-independencia-proyectada-por-bolivar,cat_contexto,belongs_to
ref_globalizacion-interdependencia,cat_contexto,belongs_to
ref_caracas-crecimiento-urbano,cat_contexto,belongs_to
ref_san-cristobal-cucuta-frontera,cat_contexto,belongs_to
ref_la-carlota-aeropuerto,cat_contexto,belongs_to
ref_palacio-de-miraflores-caracas,cat_contexto,belongs_to
ref_caracas-carcel-modelo,cat_contexto,belongs_to
ref_la-paz-bolivia,cat_contexto,belongs_to
ref_mont-blanc-alpes,cat_contexto,belongs_to
ref_amazonas-rio-y-selva,cat_contexto,belongs_to
