source,target,relation
ref_arequipa,cat_personales,belongs_to
ref_cochabamba-bolivia,cat_personales,belongs_to
ref_piura,cat_personales,belongs_to
ref_lima,cat_personales,belongs_to
ref_colegio-militar-leoncio-prado,cat_personales,belongs_to
ref_destino-editorial,cat_personales,belongs_to
ref_panagra-aerolinea,cat_personales,belongs_to
ref_familia-padre-piloto,cat_personales,belongs_to
ref_mario-vargas-llosa,cat_personales,belongs_to
ref_la-casa-verde,cat_culturales,belongs_to
ref_conversacion-en-la-catedral,cat_culturales,belongs_to
ref_gustave-flaubert,cat_culturales,belongs_to
ref_madame-bovary-flaubert,cat_culturales,belongs_to
ref_alexandre-dumas,cat_culturales,belongs_to
ref_victor-hugo,cat_culturales,belongs_to
ref_honore-de-balzac,cat_culturales,belongs_to
ref_jean-paul-sartre,cat_culturales,belongs_to
ref_albert-camus,cat_culturales,belongs_to
ref_jorge-luis-borges,cat_culturales,belongs_to
ref_gabriel-garcia-marquez,cat_culturales,belongs_to
ref_juan-benet,cat_culturales,belongs_to
ref_luis-goytisolo,cat_culturales,belongs_to
ref_juan-marse,cat_culturales,belongs_to
ref_camilo-jose-cela,cat_culturales,belongs_to
ref_octavio-paz,cat_culturales,belongs_to
ref_recuento-novela-de-luis-goytisolo,cat_culturales,belongs_to
ref_dictadura-militar-del-peru-19681980,cat_contexto,belongs_to
ref_junta-militar,cat_contexto,belongs_to
ref_reforma-agraria-peru,cat_contexto,belongs_to
ref_censura-peru-y-espana,cat_contexto,belongs_to
ref_francisco-morales-bermudez,cat_contexto,belongs_to
ref_premio-romulo-gallegos-caracas,cat_contexto,belongs_to
ref_premio-nobel-de-literatura-candidatura,cat_contexto,belongs_to
ref_premio-nobel-mencion-generica,cat_contexto,belongs_to
ref_festival-de-santander,cat_contexto,belongs_to
ref_universidad-de-santo-domingo-rep-dominicana,cat_contexto,belongs_to
ref_peru,cat_contexto,belongs_to
ref_espana,cat_contexto,belongs_to
ref_madrid,cat_contexto,belongs_to
ref_barcelona,cat_contexto,belongs_to
ref_america-latina,cat_contexto,belongs_to
ref_estados-unidos,cat_contexto,belongs_to
ref_caracas,cat_contexto,belongs_to
ref_caceres,cat_contexto,belongs_to
ref_santo-domingo,cat_contexto,belongs_to
ref_santander,cat_contexto,belongs_to
ref_sechura,cat_contexto,belongs_to
ref_sudamerica,cat_contexto,belongs_to
ref_america,cat_contexto,belongs_to
ref_piura-2,cat_contexto,belongs_to
ref_lima-2,cat_contexto,belongs_to
ref_arequipa-2,cat_contexto,belongs_to
ref_cochabamba,cat_contexto,belongs_to
ref_alvaro-vargas-llosa,cat_personales,belongs_to
ref_gonzalo-vargas-llosa,cat_personales,belongs_to
ref_morgana-vargas-llosa,cat_personales,belongs_to
ref_universidad-nacional-mayor-de-san-marcos,cat_personales,belongs_to
ref_boom-latinoamericano-movimiento,cat_culturales,belongs_to
ref_paris,cat_contexto,belongs_to
ref_nostradamus,cat_pensamiento,belongs_to
ref_jose-maria-gutierrez-cine,cat_culturales,belongs_to
ref_la-casa-verde-2,cat_culturales,belongs_to
ref_pantaleon-y-las-visitadoras,cat_culturales,belongs_to
ref_historia-de-un-deicidio-ensayo-sobre-garcia-marquez,cat_culturales,belongs_to
ref_facultad-de-derecho-san-marcos,cat_personales,belongs_to
ref_obra-teatral-escolar-sobre-el-inca,cat_culturales,belongs_to
